===BEGIN_METADATA===
Test Name: 2026-08-26_092540_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8400
Note: Chesterfield first runs
Test Type: Shakedown
Field Location: "38.727825 -90.512495"
Stalks: None,Probe: v4.1,Speed: None
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 113 114 115
ICB-Sensor A's Latest Calibration: 2026-08-25_164826,kA1: 280438.89025084884,dA1: 0.0078031058761128,cA1: -3971.215534212882,kA2: 260093.52084001325,dA2: 0.0473688566650279,cA2: -215.9962585791364
ICB-Sensor B's Latest Calibration: 2026-08-25_165316,kB1: 263850.7366740204,dB1: 0.0048963932295172,cB1: 3603.539220142295,kB2: 269575.5827975724,dB2: 0.0471636803862254,cB2: 3307.924762019305
ICB-Sensor C's Latest Calibration: 2026-08-25_165412,kC1: 323680.1877321439,dC1: 0.015978471794598,cC1: -10655.661219777656,kC2: 265992.7602706449,dC2: 0.0459815593936182,cC2: 771.866505569662
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001562,-1188421,-1499051,0.000978,-0262651,-1265616,0.001310,-1142819,-1326348,09:25:41.977498
0.003419,-1188858,-1499214,0.002833,-0263258,-1265539,0.003167,-1143385,-1326557,09:25:41.977498
0.005275,-1188598,-1499005,0.004688,-0262961,-1265672,0.005023,-1143411,-1326443,09:25:41.977498
0.007131,-1188515,-1499049,0.006545,-0263169,-1265625,0.006882,-1143521,-1326490,09:25:41.978500
0.008993,-1188716,-1499343,0.008406,-0263034,-1265582,0.008739,-1143210,-1326670,09:25:41.978500
0.010852,-1188682,-1499222,0.010263,-0262966,-1265783,0.010598,-1143165,-1326512,09:25:41.997498
0.012712,-1188668,-1499128,0.012132,-0263083,-1265644,0.012462,-1143251,-1326350,09:25:41.997498
0.014574,-1188535,-1499268,0.013997,-0262960,-1265453,0.014323,-1143167,-1326117,09:25:41.997498
0.016446,-1188606,-1499064,0.015876,-0262960,-1265653,0.016207,-1143435,-1326276,09:25:41.997498
0.018317,-1188543,-1499108,0.017731,-0263035,-1265743,0.018064,-1143505,-1326549,09:25:41.997498
0.020173,-1188323,-1498962,0.019587,-0263107,-1265600,0.019923,-1143352,-1326359,09:25:41.997498
0.022030,-1188401,-1499018,0.021442,-0263282,-1265492,0.021780,-1143310,-1326318,09:25:41.997498
0.023888,-1188671,-1499068,0.023303,-0263139,-1265321,0.023638,-1143288,-1326358,09:25:41.997498
0.025744,-1188442,-1499180,0.025158,-0263189,-1265394,0.025495,-1143251,-1326271,09:25:41.997498
0.027602,-1188380,-1499235,0.027013,-0263110,-1265573,0.027352,-1143146,-1326519,09:25:41.997498
0.029459,-1188622,-1499172,0.028874,-0263010,-1265749,0.029210,-1143506,-1326073,09:25:42.048999
0.031317,-1188531,-1499504,0.030731,-0263282,-1265415,0.031071,-1143391,-1326354,09:25:42.048999
0.033177,-1188673,-1499105,0.032590,-0263189,-1265678,0.032932,-1143320,-1326323,09:25:42.048999
0.035055,-1188581,-1499015,0.034453,-0263114,-1265590,0.034798,-1143528,-1326267,09:25:42.048999
0.036928,-1188377,-1498938,0.036328,-0263099,-1265647,0.036673,-1143522,-1326398,09:25:42.048999
0.038784,-1188624,-1499139,0.038188,-0263121,-1265563,0.038532,-1143372,-1326440,09:25:42.048999
0.040640,-1188509,-1499078,0.040052,-0263163,-1265912,0.040389,-1143418,-1326376,09:25:42.048999
0.042499,-1188201,-1499246,0.041909,-0263187,-1265503,0.042247,-1143258,-1326254,09:25:42.048999
0.044361,-1188703,-1499224,0.043766,-0263003,-1265629,0.044104,-1143314,-1326422,09:25:42.048999
0.046219,-1188685,-1499244,0.045623,-0263145,-1265468,0.045965,-1143077,-1326195,09:25:42.050002
0.048078,-1188549,-1499242,0.047481,-0263079,-1265648,0.047821,-1143342,-1326570,09:25:42.050002
0.049942,-1188653,-1499076,0.049336,-0263132,-1265728,0.049679,-1143666,-1326345,09:25:42.050002
0.051800,-1188594,-1499317,0.051193,-0262744,-1265365,0.051539,-1143349,-1326396,09:25:42.050002
0.053657,-1188548,-1499049,0.053048,-0263408,-1265774,0.053395,-1143359,-1326360,09:25:42.050002
0.055515,-1188495,-1499035,0.054905,-0263300,-1265369,0.055254,-1143423,-1326397,09:25:42.050002
0.057371,-1188697,-1499167,0.056760,-0263147,-1265313,0.057111,-1143401,-1326333,09:25:42.050002
0.059230,-1188656,-1499100,0.058617,-0262993,-1265796,0.058967,-1143458,-1326421,09:25:42.050002
0.061086,-1188830,-1499286,0.060474,-0263190,-1265842,0.060826,-1143670,-1326404,09:25:42.050002
0.062948,-1188510,-1499194,0.062329,-0262985,-1265578,0.062685,-1143168,-1326356,09:25:42.050002
0.064808,-1188724,-1498978,0.064190,-0263193,-1265704,0.064542,-1142875,-1326322,09:25:42.050002
0.066672,-1188651,-1499130,0.066045,-0263168,-1265599,0.066398,-1143500,-1326381,09:25:42.050002
0.068529,-1188929,-1499239,0.067904,-0263168,-1265361,0.068259,-1143592,-1326447,09:25:42.050002
0.070385,-1188384,-1498787,0.069759,-0263207,-1265704,0.070116,-1143565,-1326250,09:25:42.050002
0.072244,-1188319,-1499332,0.071615,-0263137,-1265605,0.071972,-1143291,-1326060,09:25:42.050002
0.074100,-1188675,-1499217,0.073472,-0263061,-1265609,0.073831,-1143254,-1326220,09:25:42.050002
0.075956,-1188555,-1499133,0.075330,-0263340,-1265741,0.075688,-1143519,-1326512,09:25:42.050002
0.077815,-1188739,-1499182,0.077188,-0263129,-1265499,0.077546,-1143528,-1326331,09:25:42.050002
0.079671,-1188501,-1499152,0.079043,-0262913,-1265677,0.079403,-1143559,-1326517,09:25:42.098003
0.081543,-1188672,-1499238,0.080902,-0262913,-1265687,0.081266,-1143416,-1326562,09:25:42.098003
0.083403,-1188467,-1499108,0.082761,-0263037,-1265392,0.083127,-1143282,-1326336,09:25:42.098003
0.085284,-1188556,-1499215,0.084622,-0263206,-1265504,0.085010,-1143376,-1326413,09:25:42.098003
0.087143,-1188566,-1498956,0.086487,-0263175,-1265951,0.086878,-1143452,-1326246,09:25:42.098003
0.089002,-1188715,-1499084,0.088350,-0263196,-1265533,0.088737,-1143364,-1326669,09:25:42.098003
0.090861,-1188776,-1499044,0.090207,-0263196,-1265721,0.090593,-1143171,-1326392,09:25:42.098003
0.092717,-1188708,-1498900,0.092062,-0263047,-1265393,0.092456,-1143343,-1326359,09:25:42.098003
0.094575,-1188526,-1499272,0.093919,-0262984,-1265284,0.094313,-1143252,-1326395,09:25:42.098003
0.096431,-1188539,-1499179,0.095776,-0263181,-1265756,0.096169,-1143379,-1326391,09:25:42.098003
0.098288,-1188607,-1499241,0.097641,-0263132,-1265696,0.098026,-1143181,-1326442,09:25:42.098003
0.100146,-1188634,-1498973,0.099497,-0263066,-1265336,0.099885,-1143457,-1326517,09:25:42.098003
0.102002,-1188544,-1499145,0.101352,-0263246,-1265415,0.101741,-1143247,-1326268,09:25:42.098003
0.103861,-1188479,-1498970,0.103209,-0263246,-1265307,0.103598,-1143141,-1326351,09:25:42.098003
0.105717,-1188637,-1499180,0.105064,-0263002,-1265469,0.105457,-1143535,-1326403,09:25:42.098003
0.107573,-1188645,-1499013,0.106919,-0263306,-1265777,0.107314,-1143371,-1326305,09:25:42.098003
0.109430,-1188595,-1499281,0.108776,-0263124,-1265315,0.109172,-1143190,-1326274,09:25:42.098003
0.111294,-1188875,-1499171,0.110637,-0263223,-1265799,0.111029,-1143414,-1326229,09:25:42.098003
0.113150,-1188520,-1498840,0.112494,-0263223,-1265484,0.112886,-1143215,-1326435,09:25:42.098003
0.115006,-1188685,-1499123,0.114349,-0262839,-1265673,0.114744,-1143366,-1326661,09:25:42.098003
0.116865,-1188621,-1499012,0.116210,-0262839,-1265400,0.116601,-1143322,-1326577,09:25:42.098003
0.118721,-1188795,-1499256,0.118065,-0263101,-1265504,0.118460,-1143473,-1326186,09:25:42.098003
0.120577,-1188365,-1499298,0.119920,-0263139,-1265609,0.120316,-1143434,-1326217,09:25:42.098003
0.122434,-1188358,-1499100,0.121779,-0263121,-1265730,0.122175,-1143431,-1326386,09:25:42.098003
0.124290,-1188627,-1499137,0.123635,-0262880,-1265751,0.124032,-1143247,-1326335,09:25:42.098003
0.126148,-1188334,-1499096,0.125492,-0262880,-1265320,0.125891,-1143315,-1326465,09:25:42.098003
0.128005,-1188476,-1499100,0.127347,-0262822,-1265596,0.127749,-1143328,-1326149,09:25:42.099003
0.129873,-1188486,-1499199,0.129202,-0262920,-1265597,0.129607,-1143384,-1326133,09:25:42.147021
0.131733,-1188606,-1499258,0.131067,-0263047,-1265514,0.131467,-1143134,-1326452,09:25:42.147021
0.133604,-1188440,-1499192,0.132927,-0263167,-1265476,0.133327,-1143270,-1326306,09:25:42.147021
0.135484,-1188443,-1499227,0.134789,-0263167,-1265661,0.135196,-1143319,-1326342,09:25:42.147021
0.137344,-1188483,-1499191,0.136662,-0263287,-1265685,0.137083,-1143513,-1326384,09:25:42.147021
0.139204,-1188634,-1499018,0.138521,-0263287,-1265728,0.138942,-1143478,-1326302,09:25:42.147021
0.141062,-1188524,-1499075,0.140376,-0263325,-1265398,0.140802,-1143337,-1326577,09:25:42.147021
0.142929,-1188597,-1499153,0.142233,-0263122,-1265805,0.142663,-1143197,-1326273,09:25:42.147021
0.144787,-1188490,-1499288,0.144090,-0263122,-1265444,0.144523,-1143302,-1326505,09:25:42.147021
