===BEGIN_METADATA===
Test Name: 2026-08-26_104204_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8400
Note: Chesterfield first runs
Test Type: Shakedown
Field Location: "38.727825 -90.512495"
Stalks: Airport Field,Probe: v4.1,Speed: 0.25mph
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 113 114 115
ICB-Sensor A's Latest Calibration: 2026-08-25_164826,kA1: 280438.89025084884,dA1: 0.0078031058761128,cA1: -3971.215534212882,kA2: 260093.52084001325,dA2: 0.0473688566650279,cA2: -215.9962585791364
ICB-Sensor B's Latest Calibration: 2026-08-25_165316,kB1: 263850.7366740204,dB1: 0.0048963932295172,cB1: 3603.539220142295,kB2: 269575.5827975724,dB2: 0.0471636803862254,cB2: 3307.924762019305
ICB-Sensor C's Latest Calibration: 2026-08-25_165412,kC1: 323680.1877321439,dC1: 0.015978471794598,cC1: -10655.661219777656,kC2: 265992.7602706449,dC2: 0.0459815593936182,cC2: 771.866505569662
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001611,-1306091,-1603044,0.001053,-0377699,-1399035,0.001383,-1266262,-1433914,10:42:06.185343
0.003470,-1308434,-1602526,0.002909,-0373493,-1398580,0.003241,-1266733,-1434118,10:42:06.185343
0.005326,-1306575,-1601468,0.004766,-0378413,-1402508,0.005098,-1267154,-1433810,10:42:06.185343
0.007183,-1306870,-1602990,0.006622,-0380689,-1400401,0.006955,-1267483,-1434030,10:42:06.185343
0.009042,-1309537,-1603519,0.008484,-0374852,-1398266,0.008817,-1267435,-1434269,10:42:06.185343
0.010901,-1308369,-1601668,0.010340,-0377077,-1401847,0.010674,-1267313,-1434095,10:42:06.198341
0.012761,-1305127,-1601388,0.012204,-0381374,-1401181,0.012537,-1267268,-1434106,10:42:06.198341
0.014622,-1307795,-1603287,0.014065,-0375885,-1398030,0.014399,-1267017,-1433980,10:42:06.198341
0.016493,-1307943,-1601542,0.015947,-0374994,-1400842,0.016281,-1266560,-1433801,10:42:06.198341
0.018349,-1305177,-1601044,0.017807,-0381232,-1402419,0.018142,-1266497,-1433815,10:42:06.198341
0.020209,-1306428,-1602952,0.019663,-0378742,-1398827,0.020000,-1267272,-1434241,10:42:06.198341
0.022067,-1309716,-1603317,0.021518,-0373872,-1398873,0.021860,-1267058,-1434240,10:42:06.199341
0.023924,-1307064,-1601052,0.023376,-0378749,-1402755,0.023723,-1267054,-1434191,10:42:06.249341
0.025790,-1306036,-1602376,0.025234,-0380636,-1400440,0.025584,-1267928,-1434537,10:42:06.249341
0.027651,-1309194,-1603435,0.027094,-0374189,-1397730,0.027446,-1267589,-1433967,10:42:06.249341
