===BEGIN_METADATA===
Test Name: 2026-08-27_091200_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8570
Note: Chesterfiled repeatability runs
Test Type: Calibration
Loads (N): 4.905 9.81 49.05,Positions (mm): 60 100 150
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_600SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 104
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Processed_Time
0.001552,+1305279,+1134779,09:12:02.215633
0.003407,+1304851,+1134735,09:12:02.215684
0.005265,+1304997,+1134904,09:12:02.215711
0.007120,+1305154,+1134657,09:12:02.215730
0.008979,+1305262,+1134527,09:12:02.215758
0.010834,+1305100,+1134814,09:12:02.217817
0.012702,+1305333,+1134482,09:12:02.217833
0.014560,+1305067,+1134754,09:12:02.217842
0.016459,+1304974,+1134622,09:12:02.218305
0.018315,+1305034,+1134700,09:12:02.218317
0.020172,+1305434,+1134574,09:12:02.218325
0.022036,+1305122,+1134670,09:12:02.218337
0.023894,+1305232,+1134754,09:12:02.218347
0.025749,+1305350,+1134588,09:12:02.218356
0.027608,+1304752,+1134627,09:12:02.218364
0.029467,+1304824,+1134549,09:12:02.218372
0.031323,+1305108,+1134568,09:12:02.218380
0.033180,+1305067,+1134753,09:12:02.218691
0.035035,+1304848,+1134602,09:12:02.218703
0.036894,+1305301,+1134700,09:12:02.218712
0.038749,+1305030,+1134375,09:12:02.218957
0.040612,+1305136,+1134668,09:12:02.218968
0.042468,+1305346,+1134728,09:12:02.623751
0.044331,+1305139,+1134660,09:12:02.623766
0.046204,+1305318,+1134722,09:12:02.623774
0.048069,+1305357,+1134777,09:12:02.629788
0.049946,+1305268,+1134612,09:12:02.629811
0.051805,+1305100,+1134596,09:12:02.629822
0.053696,+1305162,+1134721,09:12:02.629831
0.055553,+1305293,+1134865,09:12:02.629840
0.057409,+1305352,+1134883,09:12:02.629849
0.059270,+1305334,+1134533,09:12:02.629858
0.061127,+1305262,+1134642,09:12:02.629866
0.062983,+1305249,+1134746,09:12:02.629875
0.064843,+1305337,+1134697,09:12:02.629884
0.066698,+1304970,+1134820,09:12:02.629924
0.068556,+1305131,+1134614,09:12:02.629934
0.070411,+1305193,+1134652,09:12:02.629942
