===BEGIN_METADATA===
Test Name: 2026-08-27_094201_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8570
Note:
Test Type: Calibration
Loads (N): 4.905 9.81 49.05,Positions (mm): 60 100 150
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_600SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 105
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Processed_Time
0.001572,+0638366,+0584128,09:42:02.293935
0.003428,+0638360,+0584284,09:42:02.293951
0.005282,+0638335,+0584308,09:42:02.293959
0.007138,+0638170,+0584258,09:42:02.293964
0.008992,+0638425,+0584109,09:42:02.293969
0.010849,+0637974,+0584087,09:42:02.293973
0.012707,+0638233,+0584364,09:42:02.293979
0.014565,+0638119,+0584699,09:42:02.293983
0.016480,+0638166,+0584077,09:42:02.293987
0.018344,+0637980,+0584202,09:42:02.293991
0.020202,+0638112,+0584008,09:42:02.293994
0.022100,+0637991,+0584236,09:42:02.293999
0.023954,+0638112,+0584274,09:42:02.294003
0.025814,+0637970,+0584335,09:42:02.294007
0.027668,+0638110,+0584210,09:42:02.294011
0.029526,+0638190,+0584212,09:42:02.294385
0.031383,+0638155,+0584080,09:42:02.294391
0.033238,+0638169,+0584006,09:42:02.294396
0.035097,+0637953,+0583914,09:42:02.294400
0.036951,+0638118,+0584309,09:42:02.294404
0.038807,+0638082,+0584255,09:42:02.294408
0.040661,+0638143,+0584188,09:42:02.294412
0.042515,+0638155,+0584155,09:42:02.294416
0.044375,+0637985,+0584242,09:42:02.294420
0.046239,+0638280,+0584035,09:42:02.294424
0.048095,+0638388,+0584455,09:42:02.294428
0.049949,+0638095,+0584077,09:42:02.294433
0.051837,+0638383,+0584372,09:42:02.294438
0.053693,+0638332,+0584248,09:42:02.294442
0.055549,+0638511,+0584273,09:42:02.294446
0.057409,+0638206,+0584307,09:42:02.294449
0.059263,+0638365,+0583989,09:42:02.302163
0.061119,+0638421,+0584234,09:42:02.302171
0.062973,+0638228,+0584152,09:42:02.302175
0.064829,+0638308,+0584454,09:42:02.302178
0.066699,+0638407,+0584164,09:42:02.302182
0.068559,+0638208,+0583952,09:42:02.302185
0.070459,+0638447,+0583961,09:42:02.302188
0.072319,+0638154,+0584154,09:42:02.302191
0.074173,+0638015,+0584117,09:42:02.302196
0.076029,+0638176,+0584146,09:42:02.302200
0.077888,+0638345,+0584201,09:42:02.302203
0.079744,+0638312,+0584030,09:42:02.302206
0.081598,+0638128,+0584322,09:42:02.302503
0.083456,+0638583,+0584262,09:42:02.303055
0.085310,+0638309,+0584292,09:42:02.303065
0.087164,+0638304,+0584232,09:42:02.303072
0.089022,+0638365,+0584339,09:42:02.311142
0.090876,+0638068,+0584280,09:42:02.311166
0.092732,+0638079,+0584284,09:42:02.311174
0.094586,+0638443,+0584208,09:42:02.313722
0.096450,+0638411,+0584006,09:42:02.313729
0.098304,+0638466,+0584099,09:42:02.313733
0.100158,+0638368,+0584205,09:42:02.313740
0.102014,+0638434,+0584236,09:42:02.313743
0.103873,+0638160,+0584215,09:42:02.313747
0.105729,+0638111,+0584021,09:42:02.313750
0.107583,+0638219,+0584455,09:42:02.313755
0.109439,+0638221,+0584181,09:42:02.313758
0.111295,+0638230,+0584234,09:42:02.313762
0.113149,+0638265,+0584254,09:42:02.314652
0.115005,+0638301,+0584405,09:42:02.314663
0.116875,+0638264,+0584388,09:42:02.314669
0.118733,+0638250,+0584273,09:42:02.314675
0.120641,+0638353,+0584142,09:42:02.316202
0.122496,+0638037,+0584101,09:42:02.316382
0.124351,+0638499,+0584433,09:42:02.317029
0.126207,+0638452,+0584258,09:42:02.317039
0.128065,+0637908,+0583880,09:42:02.317044
0.129919,+0638233,+0584264,09:42:02.317049
0.131773,+0638031,+0584567,09:42:02.317053
0.133629,+0638284,+0584101,09:42:02.317058
0.135484,+0638337,+0584460,09:42:02.317062
0.137341,+0638455,+0584264,09:42:02.317066
0.139195,+0637875,+0584238,09:42:02.317071
0.141052,+0638004,+0584237,09:42:02.317076
0.142906,+0638404,+0584109,09:42:02.317586
0.144762,+0638434,+0584379,09:42:02.317593
0.146618,+0638148,+0583947,09:42:02.317598
0.148473,+0638072,+0584363,09:42:02.317602
0.150354,+0638025,+0584026,09:42:02.317605
0.152210,+0638133,+0584134,09:42:02.317609
0.154074,+0638219,+0584210,09:42:02.317613
0.155930,+0638327,+0584367,09:42:02.317617
0.157794,+0638081,+0584368,09:42:02.317623
0.159650,+0638188,+0584098,09:42:02.317627
0.161504,+0638277,+0584408,09:42:02.317631
0.163360,+0638209,+0584253,09:42:02.317634
0.165214,+0638295,+0584243,09:42:02.373680
0.167080,+0638248,+0584194,09:42:02.373804
0.168938,+0638264,+0584156,09:42:02.373918
0.170836,+0638107,+0584051,09:42:02.375531
0.172716,+0638169,+0584263,09:42:02.375637
0.174572,+0638159,+0584174,09:42:02.554568
0.176428,+0638468,+0584190,09:42:02.554576
0.178288,+0638191,+0584415,09:42:02.554580
0.180152,+0638117,+0584144,09:42:02.554588
0.182010,+0637985,+0584126,09:42:02.554592
0.183866,+0638081,+0584286,09:42:02.554596
0.185720,+0638238,+0584235,09:42:02.554600
0.187576,+0638187,+0584301,09:42:02.554603
0.189430,+0638495,+0584307,09:42:02.554607
0.191287,+0638290,+0583976,09:42:02.554610
0.193143,+0638176,+0584237,09:42:02.554613
0.194999,+0638242,+0584186,09:42:02.554617
0.196855,+0638120,+0584362,09:42:02.554620
0.198709,+0638268,+0584015,09:42:02.554624
0.200565,+0638151,+0584229,09:42:02.554627
0.202425,+0638157,+0584063,09:42:02.554630
0.204281,+0638428,+0584188,09:42:02.554633
0.206135,+0638251,+0584087,09:42:02.554638
0.207997,+0638290,+0584131,09:42:02.554642
0.209853,+0637909,+0584221,09:42:02.554645
0.211707,+0638245,+0584178,09:42:02.577149
0.213565,+0637890,+0584190,09:42:02.590066
0.215419,+0638486,+0584151,09:42:02.654631
0.217282,+0638179,+0583995,09:42:02.654646
0.219141,+0638173,+0584214,09:42:02.654654
0.221054,+0638188,+0584147,09:42:02.654661
0.222911,+0638178,+0584180,09:42:02.654668
0.224767,+0638563,+0584190,09:42:02.654678
0.226623,+0637926,+0584416,09:42:02.654685
0.228478,+0638247,+0584113,09:42:02.654690
0.230332,+0638192,+0584042,09:42:02.658699
0.232188,+0638302,+0583996,09:42:02.658714
0.234051,+0638412,+0584102,09:42:02.658723
0.235906,+0637968,+0584233,09:42:02.658730
0.237760,+0638253,+0584132,09:42:02.658921
0.239616,+0638134,+0583880,09:42:02.659171
0.241472,+0638207,+0584149,09:42:02.660146
0.243326,+0638189,+0584110,09:42:02.663498
0.245182,+0638214,+0584158,09:42:02.667481
0.247038,+0638316,+0584145,09:42:02.669096
0.248892,+0638341,+0584221,09:42:02.669273
0.250748,+0638216,+0584221,09:42:02.669558
0.252606,+0638106,+0583950,09:42:02.669571
0.254460,+0638299,+0584489,09:42:02.669581
0.256314,+0638165,+0583938,09:42:02.669590
0.258172,+0638041,+0584387,09:42:02.670633
0.260026,+0638306,+0583954,09:42:02.673288
0.261883,+0638183,+0584238,09:42:02.673611
0.263737,+0638159,+0584364,09:42:02.673622
0.265597,+0638200,+0584157,09:42:02.673833
0.267457,+0638121,+0583955,09:42:02.673845
0.269317,+0638152,+0584342,09:42:02.673857
0.271231,+0638086,+0584117,09:42:02.674043
0.273105,+0638284,+0584263,09:42:02.675417
0.274959,+0638182,+0584283,09:42:02.675424
0.276815,+0638216,+0584036,09:42:02.675428
0.278673,+0638154,+0584192,09:42:02.675433
0.280531,+0638150,+0584289,09:42:02.675436
0.282391,+0638077,+0584312,09:42:02.675440
0.284253,+0638116,+0584252,09:42:02.675443
0.286109,+0638098,+0584355,09:42:02.675447
0.287963,+0638100,+0584268,09:42:02.675450
0.289821,+0638328,+0584300,09:42:02.681636
0.291675,+0638192,+0584290,09:42:02.681645
0.293531,+0638210,+0584278,09:42:02.681650
0.295385,+0638060,+0584443,09:42:02.681654
0.297249,+0638318,+0584189,09:42:02.681658
0.299104,+0638236,+0583899,09:42:02.681666
0.300958,+0638391,+0584265,09:42:02.681670
0.302814,+0638011,+0584193,09:42:02.681674
0.304668,+0638345,+0584336,09:42:02.681678
0.306524,+0638184,+0584350,09:42:02.681682
0.308378,+0638173,+0584245,09:42:02.681686
0.310236,+0638216,+0584380,09:42:02.681690
0.312090,+0638314,+0584120,09:42:02.681694
