===BEGIN_METADATA===
Test Name: 2026-08-28_090947_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.1000
Note: Shop Testing,flat on floor for accel calibration,Left and right have own Nanos (Right_ID:01,Left_ID:02),Accel on Right
Test Type: Accel Calibration
Stalks: None,Probe: v4.1,Speed: None
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_600SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 113 114 115
ICB-Sensor A's Latest Calibration: 2026-08-25_164826,kA1: 280438.89025084884,dA1: 0.0078031058761128,cA1: -3971.215534212882,kA2: 260093.52084001325,dA2: 0.0473688566650279,cA2: -215.9962585791364
ICB-Sensor B's Latest Calibration: 2026-08-25_165316,kB1: 263850.7366740204,dB1: 0.0048963932295172,cB1: 3603.539220142295,kB2: 269575.5827975724,dB2: 0.0471636803862254,cB2: 3307.924762019305
ICB-Sensor C's Latest Calibration: 2026-08-25_165412,kC1: 323680.1877321439,dC1: 0.015978471794598,cC1: -10655.661219777656,kC2: 265992.7602706449,dC2: 0.0459815593936182,cC2: 771.866505569662
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001513,-1126828,-1483128,0.001013,-1121265,-1290776,0.001249,-0262544,-1236139,09:09:48.540971
0.003339,-1126772,-1482883,0.002829,-1121369,-1290594,0.003062,-0263226,-1236066,09:09:48.540971
0.005154,-1127508,-1483053,0.004713,-1121421,-1290781,0.004917,-0263263,-1235898,09:09:48.540971
0.007008,-1127050,-1482643,0.006711,-1121104,-1290757,0.006753,-0263199,-1236078,09:09:48.540971
0.008822,-1127518,-1482761,0.008750,-1121306,-1290683,0.008709,-0263075,-1235962,09:09:48.540971
0.010841,-1127125,-1482866,0.010799,-1121400,-1290764,0.010756,-0263091,-1236048,09:09:48.540971
0.012850,-1127196,-1482997,0.012808,-1121227,-1290737,0.012757,-0263309,-1236107,09:09:48.540971
0.014837,-1127061,-1483072,0.014794,-1121361,-1291046,0.014743,-0263084,-1235819,09:09:48.545432
0.016797,-1127172,-1483027,0.016750,-1121330,-1290844,0.016700,-0263090,-1235831,09:09:48.545432
0.018652,-1127066,-1482880,0.018610,-1121317,-1290931,0.018568,-0263063,-1235982,09:09:48.545432
0.020476,-1126868,-1482623,0.020429,-1121239,-1290750,0.020385,-0263084,-1235918,09:09:48.545432
0.022313,-1127024,-1483290,0.022271,-1121317,-1290751,0.022228,-0263100,-1236143,09:09:48.545432
0.024127,-1127457,-1482803,0.024085,-1121487,-1290971,0.024041,-0263125,-1236048,09:09:48.545432
0.026107,-1126954,-1482887,0.026066,-1121267,-1290931,0.026025,-0263005,-1235966,09:09:48.545432
0.028105,-1127456,-1483044,0.028064,-1121368,-1290876,0.028023,-0263090,-1236058,09:09:48.545432
0.030103,-1126953,-1482857,0.030062,-1121219,-1290811,0.030021,-0263330,-1236152,09:09:48.545432
0.032101,-1126785,-1482854,0.032060,-1121272,-1290684,0.032019,-0263159,-1236005,09:09:48.545432
0.034099,-1127277,-1483024,0.034058,-1121278,-1290711,0.034017,-0263233,-1236238,09:09:48.545432
0.036097,-1127307,-1483030,0.036056,-1121324,-1290741,0.036015,-0263130,-1235829,09:09:48.545432
0.038095,-1127041,-1483031,0.038054,-1121189,-1290913,0.038013,-0263005,-1235905,09:09:48.545432
0.040093,-1127353,-1483132,0.040052,-1121406,-1290882,0.040011,-0263232,-1236094,09:09:48.545432
0.042091,-1127039,-1482964,0.042050,-1121253,-1290793,0.042009,-0263133,-1235969,09:09:48.545432
