===BEGIN_METADATA===
Test Name: 2026-08-28_090947_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.1000
Note: Shop Testing,flat on floor for accel calibration,Left and right have own Nanos (Right_ID:01,Left_ID:02),Accel on Right
Test Type: Accel Calibration
Stalks: None,Probe: v4.1,Speed: None
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_600SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 104 105 106
ICB-Sensor A's Latest Calibration: 2026-08-27_101203,kA1: 251583.35181333515,dA1: 0.0058315767542051,cA1: 1305814.546855664,kA2: 258673.906603914,dA2: 0.0474442461294271,cA2: 1134462.144919887
ICB-Sensor B's Latest Calibration: 2026-08-27_101516,kB1: 287244.0937675371,dB1: 0.007414291766565,cB1: 639003.3532825765,kB2: 250059.00959891145,dB2: 0.0455907928201505,cB2: 584609.210451208
ICB-Sensor C's Latest Calibration: 2026-08-27_102213,kC1: 260622.43695157397,dC1: 0.0038658583987563,cC1: 395042.9292278472,kC2: 250129.9733329905,dC2: 0.0475404443128239,cC2: 598525.5252719513
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001510,+1212608,+1051565,0.000925,+0956837,+0562804,0.001361,+0392751,+0579565,09:09:51.219363
0.003321,+1212295,+1051642,0.002737,+0956318,+0563009,0.003179,+0392399,+0579453,09:09:51.219363
0.005133,+1212220,+1051547,0.004547,+0956712,+0562990,0.004994,+0392639,+0579713,09:09:51.219363
0.006948,+1212361,+1051867,0.006361,+0956750,+0562961,0.006812,+0392541,+0579568,09:09:51.219363
0.008762,+1212332,+1051621,0.008176,+0956270,+0563133,0.008628,+0392798,+0579565,09:09:51.219363
0.010575,+1212342,+1051830,0.009986,+0956502,+0562959,0.010443,+0392512,+0579746,09:09:51.222361
0.012391,+1212329,+1051428,0.011807,+0956507,+0562972,0.012279,+0392562,+0579273,09:09:51.222361
0.014206,+1212361,+1051352,0.013621,+0956515,+0562915,0.014098,+0392666,+0579787,09:09:51.222361
0.016031,+1212177,+1051518,0.015459,+0956548,+0563406,0.015940,+0392638,+0579649,09:09:51.272791
0.017849,+1212370,+1051581,0.017282,+0956647,+0562982,0.017760,+0392478,+0579574,09:09:51.272791
0.019665,+1212431,+1051541,0.019096,+0956381,+0563222,0.019579,+0392690,+0579320,09:09:51.272791
0.021480,+1212384,+1051785,0.020946,+0956646,+0562980,0.021419,+0392481,+0579560,09:09:51.272791
0.023298,+1212265,+1051791,0.022788,+0956490,+0562920,0.023242,+0392541,+0579732,09:09:51.274295
0.025109,+1212568,+1051430,0.024599,+0956570,+0563276,0.025058,+0392525,+0579702,09:09:51.274295
0.026923,+1212402,+1051784,0.026409,+0956424,+0562874,0.026874,+0392278,+0579689,09:09:51.274295
0.028736,+1212384,+1051378,0.028222,+0956615,+0562951,0.028695,+0392671,+0579495,09:09:51.274295
0.030553,+1212152,+1051499,0.030032,+0956299,+0563059,0.030511,+0392696,+0579488,09:09:51.274295
0.032369,+1212261,+1051554,0.031844,+0956475,+0563022,0.032327,+0392602,+0579736,09:09:51.274295
0.034186,+1212269,+1051702,0.033655,+0956645,+0562877,0.034144,+0392529,+0579603,09:09:51.274295
0.036003,+1212126,+1051681,0.035467,+0956501,+0562942,0.035960,+0392495,+0579219,09:09:51.274295
0.037817,+1212338,+1051649,0.037277,+0956289,+0563132,0.037775,+0392467,+0579667,09:09:51.274295
0.039635,+1212292,+1051564,0.039088,+0956710,+0563055,0.039593,+0392610,+0579623,09:09:51.274295
