===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,10,711.104,711.284,711.143,711.274,712.498,712.717,712.561,712.715,713.835,714.030,713.902,714.022
3,9,711.317,711.521,711.325,711.476,712.764,712.992,712.795,712.921,714.059,714.248,714.087,714.218
3,8,711.714,711.936,711.757,711.908,713.157,713.406,713.227,713.375,714.489,714.703,714.558,714.667
3,7,712.001,712.231,712.050,712.163,713.427,713.651,713.453,713.619,714.766,714.995,714.831,714.896
3,6,712.338,712.595,712.399,712.565,713.720,713.923,713.783,713.895,715.078,715.260,715.104,715.241
3,5,718.741,718.944,718.743,718.780,720.142,720.370,720.170,720.339,721.471,721.710,721.525,721.683
3,4,719.001,719.223,719.001,719.221,720.401,720.630,720.438,720.603,721.738,721.965,721.804,721.938
3,3,719.376,719.572,719.396,719.551,720.739,721.014,720.814,720.955,722.086,722.351,722.135,722.294
3,2,719.692,719.896,719.700,719.874,721.093,721.315,721.120,721.288,722.435,722.674,722.488,722.649
3,1,720.010,720.221,720.024,720.196,721.425,721.653,721.450,721.609,722.775,723.014,722.838,722.987
2,10,721.666,721.947,721.702,721.864,723.072,723.345,723.119,723.262,724.445,724.717,724.504,724.622
2,9,722.033,722.275,722.073,722.234,723.413,723.661,723.460,723.622,724.803,725.017,724.867,724.982
2,8,722.423,722.661,722.449,722.661,723.833,724.059,723.870,724.030,725.175,725.420,725.288,725.397
2,7,722.693,722.908,722.710,722.876,724.096,724.416,724.145,724.358,725.452,725.631,725.509,725.606
2,6,722.986,723.198,723.041,723.170,724.426,724.645,724.485,724.617,725.700,725.921,725.789,725.895
2,5,729.336,729.559,729.359,729.529,730.732,730.953,730.771,730.926,732.081,732.303,732.166,732.275
2,4,729.595,729.712,729.618,729.711,731.005,731.229,731.067,731.201,732.378,732.585,732.464,732.563
2,3,729.914,730.143,,,731.309,731.580,,,732.663,732.876,,
2,2,730.259,730.496,,,731.654,731.905,,,732.983,733.188,,
2,1,730.615,730.831,,,732.001,732.257,,,733.324,733.541,,
1,10,732.318,732.564,,,733.697,733.935,,,735.022,735.237,,
1,9,732.651,732.865,,,734.037,734.280,,,735.385,735.590,,
1,8,732.982,733.197,,,734.376,734.611,,,735.711,735.935,,
1,7,733.421,733.490,,,734.674,734.888,,,736.004,736.232,,
1,6,733.570,733.842,,,734.954,735.216,,,736.314,736.621,,
1,5,740.412,740.583,,,741.801,741.974,,,743.184,743.391,,
1,4,740.638,740.873,,,742.057,742.293,,,743.439,743.626,,
1,3,741.069,741.308,,,742.501,742.718,,,743.787,744.015,,
1,2,741.332,741.523,,,742.784,742.997,,,744.057,744.279,,
1,1,741.660,741.899,,,743.078,743.391,,,744.383,744.660,,
