===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,10,599.284,599.479,599.323,599.455,600.587,600.845,600.668,600.810,601.912,602.113,601.964,602.067
3,9,599.552,599.659,599.554,599.653,600.880,601.102,600.910,601.072,602.162,602.328,602.196,602.308
3,8,599.893,600.109,599.938,600.082,601.296,601.521,601.353,601.492,602.534,602.773,602.620,602.724
3,7,600.130,600.344,600.183,600.322,601.553,601.745,601.579,601.717,602.815,602.978,602.871,602.956
3,6,600.464,600.678,600.493,600.651,601.784,601.993,601.815,601.964,603.081,603.276,603.138,603.255
3,5,606.664,606.881,606.678,606.840,607.939,608.236,608.045,608.139,609.287,609.532,609.363,609.456
3,4,606.968,607.164,607.101,607.097,608.281,608.466,608.283,608.441,609.564,609.762,609.633,609.737
3,3,607.326,607.515,607.364,607.488,608.557,608.848,608.657,608.763,609.913,610.109,609.966,610.062
3,2,607.566,607.752,607.590,607.740,608.903,609.119,608.933,609.091,610.201,610.429,610.275,610.400
3,1,608.012,608.058,608.012,608.058,609.221,609.439,609.253,609.404,610.547,610.758,610.616,610.722
2,10,609.426,609.743,609.503,609.615,610.778,611.084,610.857,610.966,612.102,612.395,612.214,612.309
2,9,609.818,610.041,609.855,610.021,611.129,611.359,611.184,611.305,612.463,612.662,612.535,612.611
2,8,610.136,610.347,610.167,610.321,611.422,611.661,611.463,611.633,612.731,612.962,612.819,612.936
2,7,610.457,610.634,610.490,610.626,611.770,611.965,611.851,611.961,613.051,613.273,613.136,613.224
2,6,610.661,610.907,610.716,610.846,612.068,612.310,612.107,612.282,613.322,613.544,613.418,613.501
2,5,616.778,617.062,616.861,617.032,618.178,618.394,618.204,618.351,619.437,619.694,619.547,619.663
2,4,617.128,617.309,617.156,617.299,618.449,618.665,618.476,618.636,619.774,619.961,619.827,619.941
2,3,617.425,617.657,617.478,617.606,618.758,619.009,618.816,618.952,620.057,620.259,620.143,620.220
2,2,617.727,617.948,617.761,617.918,619.087,619.346,619.142,619.296,620.362,620.547,620.421,620.519
2,1,618.060,618.262,618.095,618.230,619.379,619.656,619.432,619.624,620.661,620.887,620.751,620.859
1,10,619.729,619.939,619.768,619.890,620.999,621.270,621.082,621.205,622.306,622.517,622.374,622.462
1,9,620.023,620.222,620.066,620.197,621.361,621.576,621.401,621.566,622.631,622.859,622.711,622.824
1,8,620.344,620.535,620.372,620.525,621.713,621.884,621.721,621.868,622.939,623.171,623.010,623.141
1,7,620.590,620.822,620.598,620.739,621.996,622.200,622.063,622.174,623.252,623.477,623.330,623.452
1,6,620.961,621.188,621.014,621.123,622.263,622.488,622.316,622.438,623.561,623.821,623.668,623.759
1,5,627.475,627.699,627.540,627.669,628.801,629.030,628.863,628.999,630.147,630.358,630.232,630.330
1,4,627.781,627.999,627.836,627.971,629.091,629.338,629.182,629.271,630.438,630.637,630.507,630.578
1,3,628.149,628.340,628.175,628.330,629.513,629.749,629.553,629.721,630.786,630.987,630.863,630.962
1,2,628.448,628.644,628.485,628.607,629.847,630.073,629.903,630.018,631.076,631.281,631.156,631.252
1,1,628.718,628.969,628.746,628.905,630.097,630.365,630.145,630.332,631.344,631.585,631.442,631.556
