===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,A_Refine_Start,A_Refine_End,B_Start,B_End,B_Refine_Start,B_Refine_End,C_Start,C_End,C_Refine_Start,C_Refine_End
3,1,711.147,711.270,,,712.566,712.709,,,713.894,714.014,,
3,2,711.337,711.468,,,712.805,712.915,,,714.071,714.210,,
3,3,711.742,711.904,,,713.210,713.371,,,714.548,714.659,,
3,4,712.010,712.157,,,713.449,713.615,,,714.770,714.904,,
3,5,712.407,712.560,,,713.765,713.889,,,715.110,715.237,,
3,6,712.767,712.838,,,714.031,714.176,,,715.424,715.548,,
3,7,713.033,713.197,,,714.400,714.568,,,715.772,715.915,,
3,8,713.405,713.546,,,714.753,714.910,,,716.129,716.271,,
3,9,713.652,713.786,,,714.998,715.149,,,716.435,716.553,,
3,10,714.030,714.151,,,715.415,715.570,,,716.808,716.923,,
3,11,714.277,714.452,,,715.698,715.861,,,717.061,717.193,,
3,12,714.701,714.839,,,716.071,716.248,,,717.430,717.556,,
3,13,,,,,716.347,716.507,,,,,,
3,14,,,,,716.661,716.812,,,717.996,718.115,,
3,15,715.504,715.650,,,716.951,717.100,,,718.278,718.429,,
3,16,,,,,717.260,717.387,,,,,,
3,17,716.222,716.334,,,717.561,717.704,,,719.011,719.045,,
3,18,716.672,716.817,,,717.970,718.134,,,719.338,719.461,,
3,19,,,,,718.212,718.393,,,719.575,719.697,,
3,20,717.174,717.303,,,718.544,718.686,,,719.908,720.011,,
3,21,717.559,717.631,,,718.860,719.005,,,720.222,720.332,,
3,22,,,,,719.208,719.337,,,,,,
3,23,,,,,719.495,719.657,,,720.914,721.017,,
3,24,,,,,719.809,719.969,,,721.196,721.314,,
3,25,,,,,720.174,720.337,,,721.529,721.677,,
3,26,,,,,720.440,720.599,,,721.806,721.934,,
3,27,719.402,719.547,,,720.820,720.949,,,722.153,722.288,,
3,28,719.708,719.874,,,721.126,721.282,,,722.504,722.643,,
3,29,720.016,720.198,,,721.456,721.604,,,722.865,722.981,,
2,1,721.723,721.860,,,723.124,723.258,,,724.513,724.614,,
2,2,722.073,722.230,,,723.462,723.616,,,724.869,724.976,,
2,3,722.469,722.655,,,723.895,724.024,,,725.250,725.391,,
2,4,722.716,722.872,,,724.153,724.352,,,725.489,725.600,,
2,5,723.043,723.166,,,724.463,724.611,,,725.768,725.889,,
2,6,723.341,723.499,,,724.759,724.902,,,726.080,726.159,,
2,7,723.622,723.796,,,725.122,725.243,,,726.401,726.540,,
2,8,723.920,724.093,,,725.345,725.519,,,726.701,726.852,,
2,9,724.399,724.565,,,725.786,725.952,,,727.156,727.280,,
2,10,724.672,724.800,,,726.039,726.208,,,727.391,727.506,,
2,11,725.002,725.150,,,726.384,726.535,,,727.734,727.861,,
2,12,725.249,725.415,,,726.671,726.829,,,728.012,728.132,,
2,13,725.519,725.667,,,726.994,727.090,,,728.268,728.390,,
