===BEGIN_STALK_TIMES===
Plot,Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
3,10,562.388,562.598,563.670,563.911,564.930,565.121
3,9,562.620,562.836,563.943,564.141,565.162,565.345
3,8,562.987,563.211,564.357,564.572,565.569,565.771
3,7,563.231,563.429,564.584,564.790,565.808,565.985
3,6,563.528,563.740,564.829,565.034,566.034,566.253
3,5,569.608,569.795,570.818,571.095,572.104,572.377
3,4,569.821,570.005,571.125,571.330,572.402,572.583
3,3,570.130,570.360,571.411,571.689,572.657,572.896
3,2,570.449,570.647,571.797,571.999,573.005,573.234
3,1,570.741,570.943,572.067,572.286,573.312,573.547
2,10,572.276,572.556,573.567,573.808,574.842,575.144
2,9,572.611,572.838,573.889,574.120,575.195,575.392
2,8,572.920,573.125,574.198,574.424,575.493,575.705
2,7,573.248,573.456,574.554,574.793,575.818,576.041
2,6,573.492,573.718,574.855,575.089,576.072,576.276
2,5,579.504,579.683,580.785,580.974,582.106,582.328
2,4,579.712,579.934,581.015,581.218,582.343,582.539
2,3,580.039,580.252,581.352,581.573,582.629,582.812
2,2,580.331,580.561,581.671,581.925,582.909,583.099
2,1,580.657,580.874,581.988,582.232,583.207,583.425
1,10,582.283,582.470,583.522,583.749,584.793,584.976
1,9,582.584,582.782,583.897,584.139,585.125,585.349
1,8,582.901,583.093,584.230,584.448,585.447,585.680
1,7,583.155,583.373,584.499,584.693,585.728,585.942
1,6,583.470,583.747,584.769,585.021,586.032,586.280
1,5,589.886,590.092,591.144,591.354,592.433,592.653
1,4,590.122,590.356,591.424,591.688,592.710,592.922
1,3,590.470,590.712,591.825,592.071,593.072,593.249
1,2,590.785,590.972,592.144,592.365,593.337,593.544
1,1,591.042,591.301,592.391,592.709,593.594,593.836
