===BEGIN_METADATA===
Test Name: 2026-09-08_094028_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8550
Note: manual drive with string
Test Type: Shakedown 3x
Stalks: West Corridor 150-200ft,Probe: v4.1,Speed: 0.5mph
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_600SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 113 114 115
ICB-Sensor A's Latest Calibration: 2026-08-25_164826,kA1: 280438.89025084884,dA1: 0.0078031058761128,cA1: -3971.215534212882,kA2: 260093.52084001325,dA2: 0.0473688566650279,cA2: -215.9962585791364
ICB-Sensor B's Latest Calibration: 2026-08-25_165316,kB1: 263850.7366740204,dB1: 0.0048963932295172,cB1: 3603.539220142295,kB2: 269575.5827975724,dB2: 0.0471636803862254,cB2: 3307.924762019305
ICB-Sensor C's Latest Calibration: 2026-08-25_165412,kC1: 323680.1877321439,dC1: 0.015978471794598,cC1: -10655.661219777656,kC2: 265992.7602706449,dC2: 0.0459815593936182,cC2: 771.866505569662
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001571,-1109221,-1487735,0.000977,-1151310,-1319035,0.001244,-0293439,-1268288,09:40:30.910565
0.003388,-1109287,-1487487,0.002948,-1151696,-1318902,0.003061,-0293823,-1268286,09:40:30.910565
0.005234,-1109692,-1487644,0.004989,-1151555,-1318634,0.004948,-0293769,-1268298,09:40:30.910565
0.007051,-1109662,-1487906,0.006987,-1151561,-1318821,0.006946,-0293881,-1268165,09:40:30.910565
0.009023,-1109189,-1487957,0.008982,-1151540,-1318780,0.008939,-0293708,-1268102,09:40:30.910565
0.011072,-1109376,-1487806,0.011028,-1151567,-1318644,0.010981,-0293670,-1268182,09:40:30.930031
0.012961,-1109462,-1487601,0.012918,-1151560,-1318793,0.012857,-0293802,-1268320,09:40:30.930031
0.014790,-1109427,-1488047,0.014747,-1151575,-1318902,0.014704,-0293846,-1268081,09:40:30.930031
0.016639,-1109588,-1487495,0.016598,-1151520,-1318866,0.016556,-0293722,-1268143,09:40:30.930031
0.018455,-1109499,-1487976,0.018414,-1151489,-1318942,0.018372,-0293858,-1268308,09:40:30.930031
0.020302,-1109830,-1487560,0.020261,-1151538,-1318753,0.020219,-0293739,-1268273,09:40:30.930031
0.022117,-1109810,-1487616,0.022076,-1151440,-1318973,0.022034,-0293937,-1268165,09:40:30.930031
0.024007,-1109679,-1487726,0.023965,-1151702,-1319040,0.023924,-0293915,-1268490,09:40:30.930031
0.026004,-1109594,-1487695,0.025963,-1151837,-1318862,0.025922,-0293894,-1268112,09:40:30.930031
0.028002,-1109249,-1487973,0.027961,-1151586,-1318846,0.027920,-0293681,-1268278,09:40:30.930031
0.029939,-1109443,-1487850,0.029891,-1151775,-1318774,0.029830,-0293900,-1268026,09:40:30.982597
0.031771,-1109738,-1487687,0.031726,-1151616,-1318938,0.031677,-0293654,-1268317,09:40:30.982597
0.033672,-1109582,-1487721,0.033630,-1151725,-1318956,0.033588,-0293813,-1268381,09:40:30.982597
0.035661,-1109661,-1488153,0.035620,-1151706,-1318966,0.035579,-0293713,-1268242,09:40:30.982597
0.037661,-1109499,-1487609,0.037618,-1151428,-1319105,0.037577,-0293872,-1268163,09:40:30.982597
0.039657,-1109532,-1487713,0.039616,-1151602,-1318729,0.039575,-0293563,-1268255,09:40:30.982597
0.041656,-1109523,-1488086,0.041615,-1151654,-1319035,0.041574,-0293624,-1268176,09:40:30.982597
0.043656,-1109516,-1487944,0.043615,-1151639,-1319052,0.043574,-0293764,-1268152,09:40:30.982597
0.045656,-1109337,-1487812,0.045615,-1151751,-1318976,0.045574,-0293783,-1268122,09:40:30.982597
0.047653,-1109699,-1487670,0.047613,-1151647,-1318618,0.047572,-0293726,-1268085,09:40:30.982597
0.049652,-1109359,-1487561,0.049611,-1151603,-1318799,0.049570,-0293482,-1268455,09:40:30.982597
0.051648,-1109536,-1487878,0.051608,-1151648,-1318608,0.051567,-0293865,-1268192,09:40:30.982597
0.053644,-1109697,-1487826,0.053604,-1151723,-1318687,0.053563,-0293540,-1268327,09:40:30.982597
0.055642,-1109485,-1487524,0.055602,-1151499,-1318756,0.055561,-0293947,-1268259,09:40:30.982597
0.057640,-1109426,-1487902,0.057599,-1151363,-1318834,0.057558,-0293911,-1268287,09:40:30.982597
0.059638,-1109457,-1487580,0.059598,-1151498,-1319022,0.059557,-0293873,-1268405,09:40:30.982597
0.061643,-1109682,-1487829,0.061602,-1151577,-1318906,0.061561,-0294010,-1267987,09:40:30.982597
0.063641,-1109589,-1487859,0.063600,-1151673,-1318794,0.063559,-0293682,-1268276,09:40:30.982597
0.065639,-1109604,-1487894,0.065598,-1151505,-1319056,0.065557,-0293783,-1268226,09:40:30.982597
0.067629,-1109602,-1487741,0.067588,-1151619,-1319056,0.067547,-0293798,-1268191,09:40:30.982597
