Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
0.000000,-0716120,-0583648,0.000000,-1163042,+0371043,21:48:51.655875
0.010025,-0717208,-0583540,0.020225,-1164002,+0371140,21:48:51.655875
0.020062,-0715860,-0583602,0.030276,-1163508,+0370767,21:48:51.655875
0.040068,-0716889,-0583713,0.040330,-1163910,+0370884,21:48:51.703896
0.050072,-0716123,-0583521,0.050396,-1163173,+0370954,21:48:51.704902
0.060090,-0717305,-0583719,0.060536,-1164130,+0371237,21:48:51.706897
0.070072,-0715764,-0583520,0.080637,-1163368,+0370787,21:48:51.706897
0.080067,-0716814,-0583712,0.090687,-1164051,+0371239,21:48:51.757327
0.100042,-0716011,-0583641,0.100806,-1163014,+0370894,21:48:51.757327
0.110069,-0717206,-0583756,0.110894,-1163938,+0371089,21:48:51.757327
0.120053,-0715700,-0583672,0.120975,-1163353,+0370675,21:48:51.757327
0.130058,-0716914,-0583635,0.141081,-1163978,+0371091,21:48:51.808888
0.150031,-0716463,-0583459,0.151176,-1163060,+0370768,21:48:51.808888
0.160023,-0717151,-0583739,0.161248,-1163963,+0371125,21:48:51.808888
0.170008,-0715529,-0583658,0.171299,-1163498,+0370765,21:48:51.809889
0.180001,-0716926,-0583771,0.181352,-1163284,+0371112,21:48:51.809889
0.189989,-0716423,-0583639,0.201465,-1162907,+0370909,21:48:51.870832
0.209964,-0716001,-0583680,0.211558,-1163865,+0370876,21:48:51.871835
0.219967,-0715567,-0583740,0.221628,-1163505,+0370764,21:48:51.871835
0.229972,-0716845,-0583578,0.231699,-1163230,+0371151,21:48:51.871835
0.239958,-0716349,-0583538,0.241751,-1163925,+0370844,21:48:51.918622
0.249942,-0715865,-0583691,0.261932,-1163823,+0370831,21:48:51.918622
0.269931,-0715671,-0583703,0.272011,-1163548,+0371187,21:48:51.918622
0.279940,-0716949,-0583517,0.282073,-1163232,+0371096,21:48:51.918622
0.289924,-0716241,-0583485,0.292123,-1164083,+0370907,21:48:51.918622
0.299910,-0716155,-0583528,0.302172,-1163075,+0370767,21:48:51.973178
0.319902,-0717006,-0583518,0.322324,-1163704,+0371077,21:48:51.973178
0.329888,-0716850,-0583510,0.332413,-1163140,+0370628,21:48:51.973178
0.339869,-0716293,-0583551,0.342471,-1164122,+0370939,21:48:51.973178
0.349852,-0715990,-0583515,0.352523,-1163101,+0370787,21:48:52.028416
0.359840,-0717030,-0583525,0.372694,-1163698,+0371171,21:48:52.028416
0.379825,-0715469,-0583380,0.382768,-1163144,+0370584,21:48:52.028416
0.389806,-0716181,-0583471,0.392822,-1164215,+0371050,21:48:52.028416
0.399873,-0716003,-0583509,0.402944,-1163239,+0370752,21:48:52.029424
0.409924,-0717088,-0583574,0.412995,-1163608,+0371171,21:48:52.076901
0.430101,-0715529,-0583541,0.433172,-1163191,+0370786,21:48:52.076901
0.440158,-0716296,-0583492,0.443231,-1164344,+0370932,21:48:52.077901
0.450217,-0715901,-0583420,0.453288,-1163162,+0370729,21:48:52.077901
0.460308,-0716888,-0583603,0.463379,-1163752,+0371115,21:48:52.134887
0.470451,-0715652,-0583521,0.483594,-1163956,+0370820,21:48:52.134887
0.490595,-0716590,-0583532,0.493664,-1163995,+0371023,21:48:52.134887
0.500648,-0715724,-0583592,0.503719,-1163312,+0371033,21:48:52.134887
0.510705,-0717080,-0583370,0.513771,-1163661,+0371098,21:48:52.134887
0.520763,-0715552,-0583576,0.523837,-1164049,+0370773,21:48:52.182992
0.540961,-0716462,-0583511,0.544033,-1163108,+0370951,21:48:52.182992
0.551015,-0715700,-0583536,0.554086,-1163423,+0371114,21:48:52.182992
0.561082,-0717047,-0583552,0.564152,-1163522,+0370727,21:48:52.183992
0.571133,-0715592,-0583450,0.574202,-1164108,+0370886,21:48:52.227977
0.581225,-0716441,-0583673,0.584296,-1162987,+0370954,21:48:52.228978
0.601335,-0716561,-0583663,0.604406,-1164008,+0371090,21:48:52.228978
0.611387,-0717034,-0583443,0.614458,-1163382,+0370701,21:48:52.228978
0.621437,-0715811,-0583616,0.624511,-1164222,+0370899,21:48:52.280451
0.631611,-0716383,-0583481,0.644763,-1162885,+0370888,21:48:52.280451
0.651747,-0716597,-0583356,0.654815,-1163501,+0371067,21:48:52.280451
0.661825,-0717038,-0583547,0.664894,-1163442,+0370605,21:48:52.342346
0.671922,-0715783,-0583407,0.674994,-1164079,+0370902,21:48:52.342346
0.682027,-0716334,-0583541,0.685097,-1162961,+0370944,21:48:52.342346
0.692078,-0716734,-0583468,0.695147,-1163885,+0371059,21:48:52.343357
0.712176,-0715590,-0583400,0.715247,-1163492,+0370643,21:48:52.343357
0.722229,-0715917,-0583367,0.725298,-1164151,+0371009,21:48:52.410163
0.732312,-0716206,-0583474,0.735386,-1163103,+0370910,21:48:52.411160
0.742425,-0716802,-0583457,0.745497,-1163939,+0371151,21:48:52.411160
0.752491,-0715592,-0583378,0.765639,-1163537,+0370730,21:48:52.411160
0.772631,-0716953,-0583437,0.775702,-1164174,+0371025,21:48:52.411160
0.782681,-0716090,-0583381,0.785752,-1163129,+0370994,21:48:52.461587
0.792731,-0716852,-0583580,0.795805,-1163736,+0371109,21:48:52.461587
0.802827,-0715483,-0583370,0.805896,-1163755,+0370685,21:48:52.461587
