===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 100,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 02,Time since Last Test: ~3min
Number of ICB-Sensors: 1,Sensor Label(s): A
ICB-Sensor A's Serial#: 001,Length: 100mm,Spacing: 40mm,Saturation Load: 70N,Factor of Safety at Saturation: 1.5
ICB-Sensor A's Latest Calibration: N/A, kA1: 1.0, dA1: 1.0, cA1: 1.0, kA2: 1.0, dA2: 1.0, cA2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Processed_Time
0.004828,-0453938,-0557834,14:19:45.784742
0.014926,-0453102,-0557834,14:19:45.786253
0.024959,-0453102,-0557892,14:19:45.786253
0.034956,-0453516,-0557472,14:19:45.786253
0.044954,-0453624,-0558159,14:19:45.786253
0.054951,-0453205,-0557325,14:19:45.833367
0.064984,-0454032,-0557967,14:19:45.833367
0.074982,-0453089,-0557759,14:19:45.833367
0.085032,-0453628,-0557365,14:19:45.833367
0.095026,-0453484,-0558085,14:19:45.833367
0.105022,-0453121,-0557299,14:19:45.879110
0.115053,-0453993,-0558014,14:19:45.879110
0.125049,-0453075,-0557729,14:19:45.879110
0.135049,-0453712,-0557547,14:19:45.879110
0.145045,-0453429,-0558162,14:19:45.926061
0.155077,-0453112,-0557326,14:19:45.926061
0.165075,-0453942,-0558083,14:19:45.926061
0.175071,-0453172,-0557745,14:19:45.926061
0.185092,-0453627,-0557420,14:19:45.926061
0.195107,-0453630,-0558116,14:19:45.972088
0.205138,-0453129,-0557377,14:19:45.972088
0.215137,-0454063,-0558033,14:19:45.972088
0.225133,-0453082,-0557739,14:19:45.972088
0.235127,-0453442,-0557438,14:19:46.019242
0.245201,-0453546,-0558242,14:19:46.019242
0.255228,-0453142,-0557362,14:19:46.019242
0.265225,-0453833,-0557999,14:19:46.019242
0.275221,-0453046,-0557739,14:19:46.019242
0.285247,-0453643,-0557404,14:19:46.064675
0.295280,-0453483,-0558162,14:19:46.064675
0.305282,-0453025,-0557375,14:19:46.065682
0.315278,-0453994,-0557985,14:19:46.065682
0.325277,-0453062,-0557855,14:19:46.065682
0.335275,-0453609,-0557472,14:19:46.111086
0.345308,-0453465,-0558388,14:19:46.111086
0.355305,-0453092,-0557303,14:19:46.111086
0.365299,-0454098,-0557876,14:19:46.111086
0.375294,-0453158,-0557807,14:19:46.157818
0.385350,-0453510,-0557326,14:19:46.157818
0.395390,-0453496,-0558270,14:19:46.157818
0.405388,-0453172,-0557416,14:19:46.157818
0.415386,-0453918,-0557966,14:19:46.157818
0.425382,-0453163,-0557775,14:19:46.204583
0.435470,-0453547,-0557324,14:19:46.204583
0.445464,-0453704,-0558271,14:19:46.204583
0.455460,-0453166,-0557366,14:19:46.204583
0.465461,-0453950,-0557984,14:19:46.204583
0.475461,-0453119,-0557800,14:19:46.253406
0.485494,-0453603,-0557329,14:19:46.253406
0.495526,-0453684,-0558141,14:19:46.253406
0.505530,-0453109,-0557388,14:19:46.253406
0.515526,-0453196,-0557929,14:19:46.297593
0.525581,-0453196,-0557806,14:19:46.297593
0.535613,-0453393,-0557366,14:19:46.297593
0.545610,-0453718,-0558182,14:19:46.297593
0.555606,-0453081,-0557338,14:19:46.298584
0.565600,-0453947,-0557803,14:19:46.345509
0.575705,-0452988,-0557977,14:19:46.345509
0.585704,-0453538,-0557366,14:19:46.345509
0.595728,-0453176,-0558112,14:19:46.345509
0.605767,-0453176,-0557464,14:19:46.345509
0.615764,-0454060,-0557812,14:19:46.396116
0.625796,-0453110,-0557914,14:19:46.396116
0.635795,-0453491,-0557403,14:19:46.396116
0.645790,-0453743,-0558140,14:19:46.396116
0.655786,-0453137,-0557436,14:19:46.439597
0.665855,-0454123,-0557882,14:19:46.439597
0.675878,-0453285,-0557951,14:19:46.439597
0.685872,-0453546,-0557428,14:19:46.439597
0.695895,-0453648,-0558198,14:19:46.439597
