===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 100,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 03,Time since Last Test: ~5min
Number of ICB-Sensors: 1,Sensor Label(s): A
ICB-Sensor A's Serial#: 001,Length: 100mm,Spacing: 40mm,Saturation Load: 70N,Factor of Safety at Saturation: 1.5
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Processed_Time
0.004783,-0454784,-0558893,14:42:29.403142
0.014808,-0454089,-0558893,14:42:29.404147
0.024841,-0454089,-0558887,14:42:29.404147
0.034851,-0454387,-0558325,14:42:29.404147
0.044847,-0454501,-0559318,14:42:29.404147
0.054844,-0453916,-0558430,14:42:29.404147
0.064841,-0454805,-0558875,14:42:29.449096
0.074874,-0453913,-0558910,14:42:29.449096
0.084870,-0454380,-0558322,14:42:29.449096
0.094866,-0454623,-0559193,14:42:29.449096
0.104865,-0453947,-0558218,14:42:29.498802
0.114919,-0454813,-0558862,14:42:29.498802
0.124913,-0454129,-0558939,14:42:29.498802
0.134910,-0454367,-0558377,14:42:29.498802
0.144906,-0454629,-0559112,14:42:29.498802
0.154901,-0454048,-0558320,14:42:29.545270
0.164986,-0454756,-0558864,14:42:29.545270
0.174983,-0454093,-0558953,14:42:29.546265
0.184978,-0454342,-0558406,14:42:29.546265
0.194974,-0454527,-0559221,14:42:29.546265
0.204969,-0453957,-0558352,14:42:29.588577
0.215026,-0454867,-0558896,14:42:29.588577
0.225042,-0453972,-0558886,14:42:29.588577
0.235041,-0454397,-0558390,14:42:29.588577
0.245037,-0453845,-0559228,14:42:29.635358
0.255072,-0453845,-0558558,14:42:29.636357
0.265069,-0454759,-0559011,14:42:29.636357
0.275068,-0454040,-0558985,14:42:29.636357
0.285065,-0454393,-0558569,14:42:29.636357
0.295064,-0454518,-0559192,14:42:29.682078
0.305136,-0453886,-0558558,14:42:29.683078
0.315162,-0454787,-0558863,14:42:29.683078
0.325170,-0454075,-0559128,14:42:29.683078
0.335164,-0454371,-0558303,14:42:29.731479
0.345159,-0454640,-0559334,14:42:29.731479
0.355187,-0453837,-0558488,14:42:29.731479
0.365183,-0454942,-0558981,14:42:29.731479
0.375178,-0454127,-0558937,14:42:29.731479
0.385172,-0454601,-0558361,14:42:29.776463
0.395202,-0454601,-0559229,14:42:29.776463
0.405197,-0453818,-0558585,14:42:29.776463
0.415194,-0454892,-0558795,14:42:29.776463
0.425234,-0454017,-0558924,14:42:29.776463
0.435235,-0454242,-0558564,14:42:29.822633
0.445309,-0454603,-0559266,14:42:29.822633
0.455310,-0453783,-0558599,14:42:29.825631
0.465303,-0454838,-0558842,14:42:29.825631
0.475299,-0454146,-0558919,14:42:29.870332
0.485296,-0454426,-0558413,14:42:29.870332
0.495335,-0454502,-0559111,14:42:29.870332
0.505332,-0453726,-0558511,14:42:29.870332
0.515329,-0454773,-0558763,14:42:29.870332
0.525357,-0454041,-0559101,14:42:29.916904
0.535389,-0454238,-0558391,14:42:29.918900
0.545391,-0454631,-0559325,14:42:29.919900
0.555385,-0454020,-0558559,14:42:29.919900
0.565382,-0454851,-0558746,14:42:29.919900
0.575379,-0454129,-0558938,14:42:29.966053
0.585409,-0454269,-0558439,14:42:29.966053
0.595411,-0454642,-0559159,14:42:29.966053
0.605405,-0453817,-0558546,14:42:29.966053
0.615400,-0454732,-0558859,14:42:29.966053
0.625429,-0454076,-0559019,14:42:30.011160
0.635463,-0454186,-0558450,14:42:30.011160
0.645461,-0454766,-0559310,14:42:30.012164
0.655463,-0453999,-0558549,14:42:30.012164
0.665462,-0454591,-0558847,14:42:30.059047
0.675495,-0454077,-0559025,14:42:30.059047
0.685498,-0454269,-0558485,14:42:30.059047
0.695495,-0454564,-0559428,14:42:30.059047
0.705492,-0453814,-0558522,14:42:30.060042
0.715493,-0454794,-0558959,14:42:30.108585
0.725531,-0454071,-0559074,14:42:30.108585
0.735526,-0454282,-0558463,14:42:30.108585
0.745525,-0454654,-0559381,14:42:30.108585
0.755528,-0453868,-0558588,14:42:30.108585
0.765525,-0454571,-0558740,14:42:30.153442
0.775560,-0454246,-0559010,14:42:30.153442
0.785574,-0454297,-0558396,14:42:30.153442
0.795570,-0454610,-0559176,14:42:30.153442
0.805565,-0453906,-0558563,14:42:30.197858
0.815631,-0454757,-0558892,14:42:30.197858
0.825643,-0454182,-0559015,14:42:30.197858
0.835685,-0454193,-0558403,14:42:30.200862
0.845679,-0454626,-0559255,14:42:30.200862
0.855688,-0453851,-0558709,14:42:30.247644
0.865725,-0454772,-0558739,14:42:30.247644
0.875728,-0454090,-0559150,14:42:30.247644
0.885723,-0454241,-0558391,14:42:30.247644
0.895718,-0454613,-0559233,14:42:30.247644
0.905712,-0453903,-0558583,14:42:30.296424
0.915746,-0454756,-0558806,14:42:30.296424
0.925744,-0454111,-0559078,14:42:30.296424
0.935767,-0454222,-0558452,14:42:30.296424
0.945763,-0454711,-0559197,14:42:30.296424
0.955770,-0453915,-0558532,14:42:30.340255
0.965802,-0454651,-0558831,14:42:30.342252
0.975799,-0454161,-0559201,14:42:30.342252
0.985796,-0454369,-0558516,14:42:30.342252
0.995793,-0454644,-0559301,14:42:30.386834
1.005823,-0453869,-0558527,14:42:30.387835
1.015822,-0454841,-0558797,14:42:30.387835
1.025816,-0454170,-0559175,14:42:30.387835
1.035849,-0454268,-0558397,14:42:30.387835
1.045851,-0454802,-0559259,14:42:30.431875
1.055883,-0453833,-0558585,14:42:30.431875
1.065880,-0454745,-0558902,14:42:30.431875
1.075876,-0454199,-0559059,14:42:30.431875
1.085871,-0454265,-0558446,14:42:30.479573
1.095936,-0454615,-0559322,14:42:30.480574
1.105962,-0453865,-0558594,14:42:30.481573
1.115960,-0454786,-0558969,14:42:30.481573
1.125956,-0454165,-0559159,14:42:30.481573
1.135979,-0454373,-0558414,14:42:30.527052
1.146009,-0454505,-0559272,14:42:30.527052
1.156005,-0454006,-0558618,14:42:30.528046
1.166004,-0454683,-0558843,14:42:30.528046
1.176001,-0454269,-0559198,14:42:30.528046
1.185997,-0454335,-0558341,14:42:30.576273
1.196047,-0454660,-0559251,14:42:30.576273
1.206047,-0454011,-0558761,14:42:30.576273
1.216046,-0454668,-0558785,14:42:30.576273
1.226044,-0454206,-0559200,14:42:30.618367
1.236066,-0454301,-0558235,14:42:30.618367
1.246095,-0454495,-0559318,14:42:30.618367
1.256090,-0453936,-0558627,14:42:30.618367
1.266085,-0454847,-0558978,14:42:30.618367
1.276081,-0454142,-0559159,14:42:30.665263
1.286116,-0454330,-0558383,14:42:30.665263
1.296115,-0454802,-0559271,14:42:30.665263
1.306111,-0453913,-0558690,14:42:30.665263
1.316106,-0454837,-0558889,14:42:30.665263
1.326102,-0454222,-0559078,14:42:30.712927
1.336133,-0454285,-0558365,14:42:30.712927
1.346154,-0454617,-0559347,14:42:30.712927
