===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 66,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 01,Time since Last Test: >24hr
Number of ICB-Sensors: 1,Sensor Label(s): B
ICB-Sensor B's Serial#: 002,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_B_sec,Strain_B1_raw,Strain_B2_raw,Processed_Time
0.004797,-0723967,-0616747,19:32:44.789900
0.014824,-0724791,-0616747,19:32:44.789900
0.024859,-0724791,-0615581,19:32:44.789900
0.034863,-0724814,-0617131,19:32:44.789900
0.044860,-0723951,-0615891,19:32:44.789900
0.054856,-0725524,-0616430,19:32:44.790901
0.064853,-0723867,-0616883,19:32:44.837003
0.074887,-0724820,-0615718,19:32:44.838002
0.084887,-0724819,-0617156,19:32:44.838002
0.094883,-0723880,-0615834,19:32:44.838002
0.104880,-0725489,-0616243,19:32:44.883566
0.114961,-0724026,-0616816,19:32:44.883566
0.124993,-0724913,-0615616,19:32:44.883566
0.134987,-0724955,-0617124,19:32:44.883566
0.144984,-0723978,-0615875,19:32:44.883566
0.154982,-0725587,-0616505,19:32:44.929112
0.165013,-0724179,-0616726,19:32:44.930592
0.175007,-0724665,-0615612,19:32:44.930592
0.185001,-0725036,-0617158,19:32:44.930592
0.194996,-0723881,-0615856,19:32:44.930592
0.204989,-0725457,-0616499,19:32:44.976418
0.215038,-0724003,-0616893,19:32:44.976418
0.225035,-0724826,-0615620,19:32:44.976418
0.235031,-0724893,-0617100,19:32:44.976418
0.245026,-0723890,-0615835,19:32:45.022748
0.255102,-0725529,-0616364,19:32:45.022748
0.265126,-0724011,-0616846,19:32:45.022748
0.275123,-0724761,-0615709,19:32:45.022748
0.285129,-0724915,-0617056,19:32:45.022748
0.295126,-0723741,-0615998,19:32:45.069082
0.305158,-0725575,-0616451,19:32:45.069082
0.315182,-0724112,-0616807,19:32:45.069082
0.325178,-0724763,-0615656,19:32:45.069082
0.335174,-0725081,-0617141,19:32:45.070088
0.345170,-0723957,-0615921,19:32:45.116295
0.355208,-0725668,-0616425,19:32:45.116295
0.365207,-0724093,-0616838,19:32:45.116295
0.375201,-0724652,-0615578,19:32:45.116295
0.385197,-0725051,-0617177,19:32:45.162849
0.395269,-0723849,-0615967,19:32:45.162849
0.405279,-0725588,-0616322,19:32:45.162849
0.415303,-0724190,-0616776,19:32:45.162849
0.425321,-0724723,-0615631,19:32:45.162849
0.435317,-0725134,-0616990,19:32:45.210228
0.445352,-0723843,-0615944,19:32:45.210228
0.455352,-0725609,-0616359,19:32:45.210228
0.465346,-0724136,-0616902,19:32:45.210228
0.475342,-0724691,-0615586,19:32:45.210228
0.485336,-0725154,-0617164,19:32:45.257352
0.495368,-0723799,-0615981,19:32:45.257352
0.505366,-0725561,-0616413,19:32:45.257352
0.515361,-0724140,-0616685,19:32:45.257352
0.525382,-0724866,-0615635,19:32:45.303098
0.535438,-0725024,-0616981,19:32:45.303098
0.545469,-0723875,-0616054,19:32:45.303098
0.555466,-0725609,-0616298,19:32:45.303098
0.565464,-0724133,-0616930,19:32:45.303098
0.575461,-0724766,-0615539,19:32:45.350115
0.585496,-0725118,-0617179,19:32:45.350115
0.595497,-0723833,-0615991,19:32:45.351116
0.605496,-0725451,-0616260,19:32:45.351116
0.615495,-0724199,-0616739,19:32:45.351116
0.625524,-0724716,-0615487,19:32:45.396088
0.635556,-0725072,-0617057,19:32:45.396088
0.645556,-0723822,-0615919,19:32:45.396088
0.655551,-0725492,-0616263,19:32:45.396088
0.665547,-0724154,-0616902,19:32:45.442122
0.675578,-0724705,-0615548,19:32:45.442122
0.685572,-0725102,-0616979,19:32:45.442565
0.695570,-0723785,-0616032,19:32:45.442565
0.705567,-0725580,-0616162,19:32:45.442565
0.715561,-0724204,-0616848,19:32:45.488430
0.725666,-0724686,-0615660,19:32:45.488430
0.735660,-0725080,-0617085,19:32:45.488430
0.745654,-0723740,-0616022,19:32:45.489438
0.755648,-0725513,-0616370,19:32:45.489438
0.765643,-0724218,-0616865,19:32:45.536330
0.775673,-0724699,-0615508,19:32:45.536330
0.785676,-0725181,-0616976,19:32:45.536330
0.795673,-0723802,-0616099,19:32:45.536330
0.805673,-0725436,-0616286,19:32:45.582493
0.815706,-0724338,-0616918,19:32:45.582493
0.825729,-0724632,-0615471,19:32:45.582493
0.835742,-0725123,-0616822,19:32:45.582493
0.845737,-0723722,-0616059,19:32:45.582493
0.855731,-0725404,-0616204,19:32:45.627890
0.865807,-0724216,-0617084,19:32:45.629291
0.875810,-0724711,-0615370,19:32:45.629291
0.885806,-0725200,-0616830,19:32:45.629291
0.895805,-0723724,-0616027,19:32:45.629795
0.905803,-0725642,-0616181,19:32:45.675611
0.915832,-0724206,-0616932,19:32:45.675611
0.925841,-0724639,-0615476,19:32:45.675611
0.935856,-0725225,-0616886,19:32:45.675611
0.945851,-0723736,-0616086,19:32:45.721730
0.955885,-0725471,-0616086,19:32:45.721730
0.965886,-0724193,-0616929,19:32:45.721730
0.975879,-0724491,-0615577,19:32:45.721730
0.985875,-0725200,-0616979,19:32:45.721730
0.995872,-0723710,-0616003,19:32:45.768641
1.005943,-0725341,-0616038,19:32:45.768641
1.015943,-0724220,-0616939,19:32:45.768641
1.025939,-0724498,-0615405,19:32:45.768641
1.035978,-0725321,-0616861,19:32:45.814058
1.045980,-0723757,-0616001,19:32:45.814058
1.056009,-0725465,-0616136,19:32:45.814058
1.066004,-0724246,-0617003,19:32:45.814058
1.076001,-0724537,-0615494,19:32:45.814058
1.086002,-0725290,-0617009,19:32:45.861382
1.096037,-0723659,-0616210,19:32:45.861382
1.106033,-0725492,-0616102,19:32:45.861382
1.116027,-0724402,-0617023,19:32:45.861382
1.126022,-0724627,-0615453,19:32:45.861382
1.136054,-0725260,-0616964,19:32:45.907962
1.146087,-0723780,-0616103,19:32:45.907962
1.156086,-0725501,-0616018,19:32:45.907962
1.166082,-0724309,-0616952,19:32:45.907962
1.176076,-0724416,-0615513,19:32:45.957879
1.186103,-0725344,-0616944,19:32:45.957879
1.196134,-0723666,-0616187,19:32:45.957879
1.206130,-0725286,-0615932,19:32:45.957879
1.216127,-0724387,-0617052,19:32:45.957879
1.226123,-0725248,-0615661,19:32:46.002165
1.236154,-0725248,-0617046,19:32:46.003164
1.246169,-0723674,-0616081,19:32:46.003164
1.256164,-0725324,-0616035,19:32:46.003164
1.266158,-0724318,-0617004,19:32:46.003164
1.276153,-0724480,-0615583,19:32:46.049308
1.286187,-0725287,-0616905,19:32:46.049308
1.296185,-0723629,-0616009,19:32:46.049308
1.306180,-0725397,-0616060,19:32:46.049308
1.316174,-0724269,-0616938,19:32:46.094178
1.326242,-0724503,-0615531,19:32:46.094178
1.336290,-0725236,-0616721,19:32:46.094178
1.346330,-0723792,-0616171,19:32:46.094178
1.356326,-0725251,-0616032,19:32:46.094178
1.366320,-0724351,-0616941,19:32:46.140911
1.376353,-0724364,-0615488,19:32:46.140911
1.386351,-0725314,-0616829,19:32:46.140911
1.396348,-0723642,-0616157,19:32:46.140911
1.406342,-0725311,-0616012,19:32:46.140911
1.416336,-0724392,-0616986,19:32:46.187893
1.426371,-0724338,-0615668,19:32:46.187893
1.436368,-0725286,-0616828,19:32:46.187893
1.446412,-0723741,-0616067,19:32:46.187893
1.456413,-0725344,-0615888,19:32:46.236139
1.466448,-0724268,-0616929,19:32:46.237140
1.476464,-0724369,-0615511,19:32:46.237140
1.486461,-0725433,-0617006,19:32:46.237140
1.496462,-0723712,-0616181,19:32:46.237140
1.506462,-0725330,-0615912,19:32:46.283256
1.516496,-0724364,-0616998,19:32:46.283256
1.526493,-0724387,-0615452,19:32:46.283256
1.536503,-0725324,-0616794,19:32:46.284255
1.546534,-0723824,-0616214,19:32:46.284255
1.556530,-0725310,-0615952,19:32:46.327278
1.566565,-0724389,-0616971,19:32:46.328274
