===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 66,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 02,Time since Last Test: ~5min
Number of ICB-Sensors: 1,Sensor Label(s): B
ICB-Sensor B's Serial#: 002,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_B_sec,Strain_B1_raw,Strain_B2_raw,Processed_Time
0.004794,-0724411,-0616578,19:49:45.696637
0.014817,-0723352,-0616578,19:49:45.696637
0.024852,-0723352,-0615286,19:49:45.697642
0.034849,-0725156,-0616092,19:49:45.697642
0.044845,-0723536,-0616361,19:49:45.697642
0.054840,-0724403,-0615217,19:49:45.743627
0.064908,-0724453,-0616684,19:49:45.743627
0.074903,-0723541,-0615414,19:49:45.743627
0.084899,-0725249,-0615991,19:49:45.744623
0.094893,-0723573,-0616383,19:49:45.744623
0.104889,-0724394,-0615147,19:49:45.788796
0.114938,-0724670,-0616662,19:49:45.789795
0.124933,-0723452,-0615427,19:49:45.789795
0.134931,-0725096,-0615950,19:49:45.789795
0.144962,-0723638,-0616459,19:49:45.789795
0.154963,-0724407,-0615055,19:49:45.835509
0.164991,-0724516,-0616704,19:49:45.835509
0.174989,-0723485,-0615487,19:49:45.835509
0.184983,-0725236,-0616074,19:49:45.835509
0.194977,-0723689,-0616414,19:49:45.881508
0.205012,-0724330,-0615141,19:49:45.882512
0.215036,-0724584,-0616644,19:49:45.882512
0.225031,-0723395,-0615521,19:49:45.882512
0.235027,-0725183,-0615994,19:49:45.882512
0.245024,-0723714,-0616557,19:49:45.928833
0.255100,-0724380,-0615210,19:49:45.928833
0.265098,-0724621,-0616751,19:49:45.928833
0.275100,-0723401,-0615536,19:49:45.928833
0.285096,-0725276,-0616009,19:49:45.977173
0.295094,-0723773,-0616501,19:49:45.977173
0.305125,-0724403,-0615334,19:49:45.977173
0.315146,-0724796,-0616747,19:49:45.977173
0.325147,-0723581,-0615641,19:49:45.978166
0.335141,-0725213,-0616066,19:49:46.024138
0.345216,-0723855,-0616535,19:49:46.024138
0.355240,-0724359,-0615261,19:49:46.024138
0.365238,-0724842,-0616734,19:49:46.024138
0.375235,-0723529,-0615680,19:49:46.024138
0.385231,-0725178,-0616021,19:49:46.068995
0.395278,-0723746,-0616751,19:49:46.068995
0.405275,-0724411,-0615174,19:49:46.068995
0.415292,-0724798,-0616686,19:49:46.068995
0.425310,-0723502,-0615757,19:49:46.115378
0.435306,-0725192,-0616051,19:49:46.115378
0.445341,-0723867,-0616770,19:49:46.115378
0.455338,-0724528,-0615149,19:49:46.115378
0.465334,-0724849,-0616792,19:49:46.115378
0.475328,-0723443,-0615748,19:49:46.162119
0.485358,-0725230,-0615905,19:49:46.162119
0.495361,-0723845,-0616588,19:49:46.162119
0.505358,-0724426,-0615205,19:49:46.162119
0.515354,-0724941,-0616688,19:49:46.162119
0.525373,-0723597,-0615657,19:49:46.208387
0.535407,-0725255,-0615920,19:49:46.208387
0.545406,-0723836,-0616643,19:49:46.208387
0.555400,-0724299,-0615142,19:49:46.208387
0.565396,-0724955,-0616675,19:49:46.257492
0.575454,-0723415,-0615755,19:49:46.257492
0.585483,-0725105,-0615782,19:49:46.257492
0.595481,-0723897,-0616637,19:49:46.257492
0.605476,-0724383,-0615127,19:49:46.257492
0.615474,-0724917,-0616570,19:49:46.300558
0.625545,-0723424,-0615706,19:49:46.300558
0.635551,-0725146,-0615735,19:49:46.300558
0.645596,-0723973,-0616601,19:49:46.300558
0.655588,-0724284,-0615258,19:49:46.300558
0.665582,-0724883,-0616649,19:49:46.347738
0.675616,-0723436,-0615666,19:49:46.347738
0.685613,-0725214,-0615824,19:49:46.347738
0.695609,-0723872,-0616630,19:49:46.347738
0.705607,-0724253,-0615239,19:49:46.393317
0.715674,-0724939,-0616617,19:49:46.393317
0.725709,-0723445,-0615763,19:49:46.393317
0.735703,-0725026,-0615685,19:49:46.393317
0.745700,-0723982,-0616726,19:49:46.393317
0.755698,-0724230,-0615257,19:49:46.440409
0.765786,-0724861,-0616718,19:49:46.440409
0.775783,-0723385,-0615834,19:49:46.440409
0.785779,-0725162,-0615881,19:49:46.440409
0.795774,-0723989,-0616691,19:49:46.440409
0.805773,-0724216,-0615298,19:49:46.485834
0.815803,-0724830,-0616752,19:49:46.485834
0.825830,-0723503,-0615891,19:49:46.485834
0.835843,-0725021,-0615806,19:49:46.485834
0.845837,-0724011,-0616727,19:49:46.531310
0.855870,-0724029,-0615264,19:49:46.532310
0.865870,-0724876,-0616619,19:49:46.532310
0.875870,-0723410,-0615935,19:49:46.532310
0.885866,-0724986,-0615794,19:49:46.532310
0.895861,-0723869,-0616688,19:49:46.577872
0.905892,-0724047,-0615300,19:49:46.578872
0.915889,-0724895,-0616681,19:49:46.578872
0.925884,-0723354,-0615773,19:49:46.578872
0.935909,-0724929,-0615747,19:49:46.624291
0.945956,-0723968,-0616773,19:49:46.629284
0.955981,-0724114,-0615227,19:49:46.629284
0.965977,-0724878,-0616627,19:49:46.629284
0.975971,-0723389,-0615894,19:49:46.629284
0.985967,-0725002,-0615664,19:49:46.672725
0.996001,-0723955,-0616856,19:49:46.673733
1.005994,-0724041,-0615170,19:49:46.673733
1.015996,-0724947,-0616591,19:49:46.673733
1.025991,-0723286,-0615894,19:49:46.673733
1.036027,-0724960,-0615711,19:49:46.716585
1.046057,-0723895,-0616687,19:49:46.717577
1.056052,-0724080,-0615239,19:49:46.718578
1.066052,-0724913,-0616564,19:49:46.718578
1.076050,-0723317,-0615907,19:49:46.765731
1.086081,-0724925,-0615762,19:49:46.766730
1.096081,-0724003,-0616761,19:49:46.766730
1.106076,-0723991,-0615341,19:49:46.766730
1.116070,-0725022,-0616611,19:49:46.766730
1.126066,-0723400,-0615869,19:49:46.810708
1.136173,-0724836,-0615608,19:49:46.810708
1.146170,-0724056,-0616723,19:49:46.810708
1.156164,-0724030,-0615209,19:49:46.810708
1.166160,-0724886,-0616485,19:49:46.810708
1.176157,-0723449,-0615894,19:49:46.862705
1.186187,-0724960,-0615595,19:49:46.862705
1.196185,-0724053,-0616676,19:49:46.862705
1.206181,-0724123,-0615220,19:49:46.862705
1.216176,-0725147,-0616472,19:49:46.908055
1.226173,-0723377,-0615911,19:49:46.908055
1.236229,-0724841,-0615497,19:49:46.908055
1.246240,-0724104,-0616691,19:49:46.908055
1.256236,-0724025,-0615160,19:49:46.908055
1.266239,-0725133,-0616465,19:49:46.953016
1.276272,-0723463,-0615879,19:49:46.953016
1.286271,-0724998,-0615583,19:49:46.953016
1.296265,-0724101,-0616666,19:49:46.953016
1.306259,-0723982,-0615106,19:49:46.953016
1.316257,-0725116,-0616489,19:49:47.001789
1.326288,-0723402,-0615923,19:49:47.001789
1.336308,-0724979,-0615469,19:49:47.001789
1.346317,-0724173,-0616665,19:49:47.001789
1.356317,-0724055,-0615187,19:49:47.045306
1.366387,-0725184,-0616422,19:49:47.045306
1.376412,-0723474,-0615927,19:49:47.045306
1.386406,-0724939,-0615397,19:49:47.045306
1.396402,-0724179,-0616828,19:49:47.046306
1.406398,-0724040,-0615286,19:49:47.092847
1.416430,-0725155,-0616315,19:49:47.092847
1.426430,-0723494,-0615868,19:49:47.092847
1.436426,-0724969,-0615338,19:49:47.092847
1.446460,-0724271,-0616679,19:49:47.092847
1.456463,-0724009,-0615177,19:49:47.139864
1.466495,-0725212,-0616370,19:49:47.139864
1.476498,-0723402,-0616000,19:49:47.139864
1.486496,-0725018,-0615456,19:49:47.139864
1.496496,-0724279,-0616797,19:49:47.187734
1.506524,-0724052,-0615260,19:49:47.187734
1.516554,-0725197,-0616308,19:49:47.187734
1.526555,-0723509,-0615984,19:49:47.187734
1.536553,-0724819,-0615424,19:49:47.188730
1.546586,-0724292,-0616724,19:49:47.231759
1.556616,-0723872,-0615285,19:49:47.232864
1.566612,-0725245,-0616419,19:49:47.233868
