===BEGIN_METADATA===
Test Name: 2026-02-06_181832_01,yyyy-mm-dd_hhmmss_{probe_num}
Note:
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
ICB-Sensor A's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 1.0,kE2: 1.0,dE2: 1.0,cE2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.017517,-1133170,-0380190,0.018336,-1980832,-0269716,0.007680,-0190131,-1416074,0.008858,-1023495,+0801709,0.009264,-0466784,-2290023,18:47:46.157589
0.064428,-1133252,-0380274,0.065033,-1981010,-0269673,0.066052,-0190512,-1415752,0.069335,-1023578,+0801199,0.069404,-0467260,-2289937,18:47:46.215724
0.111432,-1133271,-0380134,0.111641,-1981109,-0269640,0.112685,-0191592,-1415344,0.109697,-1024152,+0801577,0.109759,-0467898,-2289758,18:47:46.261636
0.181623,-1133295,-0380241,0.181759,-1980861,-0269698,0.182622,-0189925,-1415951,0.180275,-1023815,+0801258,0.180016,-0467438,-2290008,18:47:46.313518
0.216777,-1133237,-0380244,0.216866,-1981026,-0269519,0.217610,-0191235,-1414877,0.220465,-1024085,+0801685,0.220034,-0467714,-2289751,18:47:46.324894
0.263635,-1133166,-0380142,0.263695,-1980938,-0269766,0.264210,-0189799,-1416016,0.260681,-1023362,+0801223,0.260189,-0466575,-2290082,18:47:46.373112
0.287033,-1133161,-0380204,0.287172,-1980845,-0269573,0.287570,-0190234,-1415537,0.280857,-1023967,+0801356,0.280254,-0467663,-2290016,18:47:46.411720
0.322179,-1133250,-0380174,0.322280,-1981019,-0269428,0.322485,-0192182,-1414937,0.321114,-1024536,+0802043,0.320420,-0468435,-2289827,18:47:46.468797
0.369059,-1133263,-0380191,0.369188,-1980901,-0269610,0.369128,-0191074,-1415343,0.371480,-1023780,+0801611,0.370583,-0467247,-2289740,18:47:46.522524
0.415804,-1133272,-0380209,0.415925,-1981076,-0269689,0.415864,-0192375,-1415547,0.421918,-1024198,+0801871,0.420723,-0468048,-2289597,18:47:46.563447
0.474404,-1133245,-0380263,0.474536,-1981018,-0269570,0.474476,-0192108,-1415508,0.472443,-1023419,+0801680,0.470981,-0467053,-2289713,18:47:46.616429
0.521283,-1133219,-0380203,0.521400,-1980939,-0269542,0.521341,-0191479,-1415008,0.523024,-1023880,+0801901,0.531071,-0467787,-2289953,18:47:46.671845
0.579808,-1133268,-0380195,0.579925,-1981016,-0269642,0.579866,-0190872,-1415539,0.583638,-1024269,+0801480,0.581241,-0468336,-2289827,18:47:46.719410
0.626623,-1133181,-0380187,0.626742,-1980989,-0269489,0.626683,-0190970,-1415251,0.634096,-1024180,+0801497,0.631329,-0468158,-2289823,18:47:46.773799
0.673573,-1133249,-0380185,0.673631,-1981099,-0269561,0.673425,-0191866,-1415169,0.674532,-1024170,+0801833,0.681481,-0468342,-2290035,18:47:46.822397
0.731932,-1133236,-0380219,0.731991,-1981035,-0269576,0.731666,-0190534,-1415464,0.735066,-1024071,+0801378,0.731565,-0467057,-2289741,18:47:46.869087
0.778593,-1133137,-0380115,0.778651,-1980956,-0269588,0.778406,-0190315,-1414826,0.785653,-1024632,+0801390,0.781808,-0466942,-2289744,18:47:46.922668
0.825376,-1133323,-0380186,0.825436,-1981076,-0269549,0.825177,-0191314,-1415250,0.836184,-1024100,+0801547,0.831929,-0467974,-2289808,18:47:46.977068
0.883723,-1133123,-0380194,0.883782,-1980960,-0269592,0.883432,-0190908,-1415158,0.886623,-1024619,+0801579,0.881861,-0467503,-2289859,18:47:47.027862
0.930410,-1133258,-0380208,0.930470,-1981052,-0269708,0.930163,-0191460,-1415523,0.937173,-1024033,+0801559,0.931919,-0467493,-2289810,18:47:47.040863
0.988835,-1133089,-0380263,0.988756,-1981031,-0269581,0.988563,-0192027,-1415652,0.987452,-1024611,+0801525,0.982044,-0467423,-2289849,18:47:47.128417
1.035590,-1133182,-0380179,1.035476,-1981096,-0269483,1.035391,-0191644,-1415022,1.037736,-1023891,+0801541,1.042278,-0467806,-2289852,18:47:47.176792
1.094025,-1133164,-0380205,1.093879,-1981047,-0269674,1.093801,-0191469,-1415821,1.088119,-1023494,+0801746,1.092480,-0467999,-2290026,18:47:47.227155
1.140694,-1133270,-0380167,1.140599,-1981041,-0269593,1.140474,-0192746,-1415150,1.138471,-1024636,+0802071,1.142733,-0469199,-2290009,18:47:47.245083
1.187402,-1133206,-0380240,1.187255,-1980953,-0269803,1.187164,-0189820,-1416124,1.188859,-1023253,+0801345,1.182848,-0466714,-2290134,18:47:47.294181
1.199075,-1133214,-0380189,1.198932,-1980951,-0269688,1.198803,-0191687,-1415826,1.209144,-1024382,+0801337,1.202988,-0467076,-2289791,18:47:47.333265
1.245841,-1133219,-0380253,1.245740,-1980827,-0269622,1.245616,-0189831,-1415428,1.249426,-1024030,+0801686,1.243213,-0467701,-2289951,18:47:47.388322
1.304179,-1133214,-0380353,1.304092,-1981011,-0269778,1.303964,-0190743,-1416006,1.299738,-1023393,+0801533,1.303402,-0467485,-2290017,18:47:47.448797
1.350933,-1133233,-0380244,1.362413,-1980947,-0269721,1.362304,-0189746,-1415706,1.360115,-1023324,+0801530,1.353539,-0467240,-2290150,18:47:47.489262
1.397588,-1133213,-0380185,1.397338,-1981030,-0269766,1.397269,-0191263,-1415723,1.400497,-1023744,+0801630,1.393604,-0467183,-2289923,18:47:47.544346
1.444265,-1133314,-0380268,1.444005,-1981084,-0269565,1.443930,-0191979,-1414993,1.440911,-1024627,+0801796,1.443705,-0467413,-2289632,18:47:47.589034
1.502676,-1133270,-0380203,1.502384,-1981124,-0269816,1.502216,-0192803,-1415924,1.501530,-1024552,+0801428,1.503980,-0467774,-2290027,18:47:47.642192
1.549391,-1133182,-0380213,1.549009,-1981125,-0269766,1.548937,-0191778,-1415426,1.552093,-1023550,+0801750,1.554173,-0467846,-2289879,18:47:47.691857
1.596109,-1133276,-0380287,1.595841,-1981014,-0269531,1.595771,-0191653,-1414874,1.602602,-1025285,+0801458,1.604370,-0469371,-2289956,18:47:47.741979
1.654449,-1133258,-0380248,1.654193,-1981040,-0269633,1.654064,-0191969,-1415143,1.653019,-1024315,+0801838,1.654512,-0468349,-2289791,18:47:47.756190
1.701107,-1133118,-0380367,1.700847,-1980889,-0269847,1.700721,-0189847,-1415899,1.693452,-1023311,+0801192,1.694531,-0466619,-2289988,18:47:47.806846
1.712792,-1133176,-0380353,1.712602,-1980798,-0269741,1.712465,-0190436,-1415322,1.713646,-1023540,+0801629,1.714589,-0467043,-2290035,18:47:47.845359
1.759494,-1133155,-0380230,1.759249,-1981093,-0269699,1.759187,-0192128,-1415327,1.754024,-1024477,+0801652,1.754680,-0467735,-2289740,18:47:47.892580
1.806217,-1133221,-0380375,1.805878,-1981098,-0269774,1.805803,-0192066,-1415447,1.804552,-1023423,+0801656,1.804671,-0466918,-2289775,18:47:47.946320
1.852883,-1133220,-0380234,1.852678,-1981130,-0269749,1.852610,-0192355,-1415183,1.855153,-1024061,+0801809,1.855211,-0467660,-2289676,18:47:48.006441
1.911334,-1133256,-0380296,1.911060,-1981067,-0269876,1.910980,-0192107,-1415729,1.905667,-1023732,+0801634,1.905444,-0467219,-2289796,18:47:48.060491
1.958011,-1133319,-0380234,1.957808,-1981262,-0269653,1.957737,-0192649,-1415406,1.955912,-1024355,+0801677,1.955614,-0467923,-2289747,18:47:48.101581
2.016350,-1133197,-0380270,2.016144,-1981180,-0269802,2.016066,-0192090,-1415520,2.016265,-1023774,+0801530,2.015754,-0467563,-2289952,18:47:48.158371
2.063023,-1133218,-0380257,2.062815,-1981133,-0269616,2.062734,-0192035,-1414985,2.056480,-1024614,+0801706,2.055931,-0467729,-2289743,18:47:48.204910
2.109692,-1133184,-0380317,2.109558,-1980991,-0269826,2.109481,-0190638,-1415594,2.116924,-1023986,+0801247,2.116134,-0467776,-2290085,18:47:48.252661
2.168106,-1133123,-0380381,2.167960,-1980955,-0269861,2.167869,-0190202,-1415837,2.167424,-1023786,+0801263,2.166370,-0466645,-2289876,18:47:48.302355
2.214780,-1133191,-0380235,2.214654,-1981018,-0269661,2.214557,-0190165,-1415403,2.217867,-1024585,+0801199,2.216569,-0467953,-2289997,18:47:48.355342
2.261450,-1133352,-0380226,2.261304,-1981075,-0269615,2.261228,-0192210,-1414661,2.268330,-1024536,+0801670,2.266591,-0468988,-2289697,18:47:48.410617
2.319837,-1133249,-0380265,2.319576,-1981014,-0269869,2.319489,-0191588,-1415851,2.318888,-1023949,+0801237,2.316850,-0467378,-2289930,18:47:48.463875
2.366502,-1133316,-0380322,2.366295,-1981157,-0269778,2.366220,-0191897,-1414828,2.369471,-1024003,+0801937,2.367077,-0468558,-2289750,18:47:48.481744
2.389847,-1133234,-0380282,2.389729,-1980932,-0269843,2.389624,-0190427,-1415844,2.389787,-1023544,+0801189,2.397372,-0466941,-2289950,18:47:48.503731
2.413288,-1133165,-0380273,2.413216,-1981085,-0269851,2.413122,-0190892,-1415985,2.420341,-1023387,+0801409,2.417552,-0466979,-2289917,18:47:48.525440
2.471716,-1133131,-0380281,2.471567,-1980873,-0269928,2.471481,-0189752,-1416067,2.470832,-1023232,+0801210,2.467847,-0466717,-2290020,18:47:48.575453
2.483380,-1133219,-0380187,2.483256,-1980974,-0269826,2.483189,-0190284,-1415707,2.491140,-1023633,+0801321,2.487997,-0467432,-2289925,18:47:48.596367
2.506842,-1133117,-0380344,2.506773,-1980961,-0269814,2.506705,-0190261,-1415928,2.511483,-1023601,+0801316,2.508266,-0467572,-2289912,18:47:48.614756
2.518614,-1133229,-0380321,2.518553,-1980992,-0269971,2.518493,-0190049,-1416006,2.521686,-1023662,+0801223,2.528428,-0466762,-2289882,18:47:48.669178
2.577143,-1133225,-0380230,2.577025,-1981085,-0269771,2.576862,-0192440,-1415312,2.572223,-1024794,+0801593,2.578656,-0467937,-2289786,18:47:48.684323
2.600487,-1133210,-0380311,2.600356,-1980947,-0269939,2.600266,-0190189,-1415866,2.602666,-1023519,+0801232,2.598822,-0466785,-2290085,18:47:48.714123
2.612179,-1133223,-0380373,2.612120,-1980936,-0269982,2.612001,-0190002,-1415955,2.612805,-1023510,+0801284,2.619095,-0467016,-2290028,18:47:48.726838
2.635715,-1133305,-0380294,2.635657,-1981021,-0269857,2.635522,-0190211,-1415745,2.633198,-1024434,+0801180,2.639278,-0466855,-2289860,18:47:48.768767
