===BEGIN_METADATA===
Test Name: 2026-02-13_163754_01,yyyy-mm-dd_hhmmss_{probe_num}
Test Type: Calibration
Number of ICB-Sensors: 1,Sensor Label(s): A
Sensor Serial#: 001,Sensor Label on Hi-STIFFS DAQ: A
Load Type: Force (N),Force Control: Uniaxial Test Machine,Position Control: Visual Tick Marks (mm)
Loads: [10 50],Positions: [60 100],This Load: 10 N,This Position: 100 mm
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010716,-0770996,-0205533,0.010924,-1942126,-0266229,0.008119,-0047097,-1517396,0.008974,-0994247,+0798075,0.009033,-0482006,-2314235,16:37:55.754412
0.013990,-0770942,-0205500,0.014179,-1942124,-0266352,0.011354,-0047008,-1517499,0.011784,-0994536,+0797894,0.011850,-0482081,-2314083,16:37:55.820972
0.017244,-0771005,-0205638,0.017478,-1941970,-0266296,0.014726,-0071206,-1514329,0.017416,-0994473,+0798412,0.017536,-0483269,-2313878,16:37:55.820972
0.020505,-0771005,-0205741,0.020714,-1942004,-0266286,0.017960,-0068938,-1509215,0.020226,-0994635,+0797882,0.020336,-0483311,-2313956,16:37:55.820972
0.023754,-0770908,-0205653,0.023969,-1941816,-0266426,0.021201,-0069703,-1509947,0.023056,-0994405,+0797903,0.023134,-0483182,-2313992,16:37:55.820972
0.027002,-0770913,-0205647,0.027205,-1942022,-0266361,0.024454,-0069043,-1509297,0.025918,-0994562,+0797844,0.025978,-0483490,-2314025,16:37:55.820972
0.030249,-0770999,-0205598,0.030462,-1941885,-0266383,0.027690,-0067075,-1513124,0.028724,-0994449,+0797865,0.028784,-0482685,-2314093,16:37:55.820972
0.033501,-0770959,-0205533,0.033701,-1941973,-0266538,0.030949,-0068405,-1513949,0.031540,-0994560,+0798246,0.031626,-0483318,-2313912,16:37:55.820972
0.036749,-0770874,-0205534,0.036941,-1942055,-0266388,0.034194,-0069112,-1509743,0.034382,-0994407,+0797917,0.034441,-0483343,-2313968,16:37:55.820972
0.039996,-0771035,-0205676,0.040180,-1942069,-0266400,0.037520,-0064067,-1516201,0.040054,-0994498,+0798107,0.040112,-0482829,-2313816,16:37:55.820972
0.043240,-0770886,-0205752,0.043420,-1941885,-0266350,0.040757,-0054220,-1509448,0.042883,-0994411,+0797889,0.042943,-0483048,-2314216,16:37:55.820972
0.046507,-0771136,-0205760,0.046657,-1941911,-0266368,0.043995,-0046839,-1509750,0.045689,-0994495,+0797841,0.045747,-0483396,-2314372,16:37:55.820972
