===BEGIN_METADATA===
Test Name: 2026-02-16_175908_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Mediums with 6in spacing at 25ft/min. Tops removed.
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 1.0,kE2: 1.0,dE2: 1.0,cE2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.001111,-1104227,-0386343,0.001322,-1946481,-0270900,0.001747,-0054421,-1398480,0.000556,-1004948,+0820201,0.000616,-0485169,-2318408,17:59:54.438242
0.004356,-1104181,-0386377,0.004559,-1946347,-0271158,0.005042,-0054775,-1398275,0.003364,-1004850,+0820398,0.003483,-0485200,-2318307,17:59:54.471536
0.007632,-1104216,-0386500,0.007849,-1946439,-0270800,0.008277,-0054810,-1398073,0.006170,-1005122,+0819956,0.006288,-0485287,-2318259,17:59:54.471536
0.010878,-1104662,-0386388,0.011089,-1946325,-0271152,0.011513,-0059909,-1398349,0.011791,-1005181,+0820171,0.011888,-0486870,-2318563,17:59:54.471536
0.014212,-1104662,-0385909,0.014332,-1946325,-0270763,0.014780,-0059909,-1394176,0.014624,-1005181,+0820210,0.014682,-0486870,-2317944,17:59:54.471536
0.017548,-1105550,-0386055,0.017607,-1946576,-0270790,0.018019,-0068601,-1393772,0.017429,-1005560,+0820537,0.017491,-0488305,-2318194,17:59:54.471536
0.020796,-1105897,-0386001,0.020870,-1946570,-0270595,0.021263,-0067639,-1394105,0.020240,-1005704,+0820318,0.020299,-0488043,-2318061,17:59:54.471536
0.024066,-1105398,-0386052,0.024129,-1946384,-0270690,0.024584,-0066239,-1394168,0.023054,-1005467,+0820118,0.023118,-0488594,-2318208,17:59:54.471536
0.027419,-1105473,-0386094,0.027478,-1946630,-0270773,0.027818,-0066604,-1395876,0.025868,-1005414,+0820271,0.025927,-0487678,-2318010,17:59:54.471536
0.030666,-1105082,-0386031,0.030756,-1946320,-0270629,0.031055,-0065724,-1393941,0.031509,-1005545,+0820220,0.031580,-0488290,-2318125,17:59:54.471536
