===BEGIN_METADATA===
Test Name: 2026-02-16_182202_01,yyyy-mm-dd_hhmmss_{probe_num}
Note:
Test Type: Demo
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s): 001 002 003 004 005
ICB-Sensor A's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 1.0,kE2: 1.0,dE2: 1.0,cE2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010790,-1104318,-0386667,0.011002,-1946261,-0270211,0.011214,-0054723,-1392062,0.009048,-1005137,+0822036,0.009108,-0485071,-2318109,18:22:05.779030
0.014065,-1104412,-0386470,0.014257,-1946299,-0270372,0.014483,-0054956,-1389299,0.011855,-1004912,+0821935,0.011921,-0485444,-2318078,18:22:05.812351
0.017315,-1105131,-0386584,0.017557,-1946327,-0270152,0.017827,-0058852,-1390249,0.017496,-1005174,+0822100,0.017616,-0486162,-2318294,18:22:05.812351
0.020584,-1105060,-0386653,0.020794,-1946225,-0270205,0.021065,-0064687,-1391569,0.020304,-1005201,+0822025,0.020413,-0486149,-2318232,18:22:05.812351
0.023836,-1105060,-0386622,0.024036,-1946184,-0270328,0.024316,-0061167,-1391944,0.023125,-1005201,+0822211,0.023202,-0486149,-2317938,18:22:05.812351
0.027089,-1104792,-0386418,0.027273,-1946386,-0269929,0.027610,-0058831,-1389146,0.025933,-1005634,+0822102,0.026051,-0487451,-2318180,18:22:05.812351
0.030339,-1104666,-0386688,0.030516,-1946117,-0270144,0.030847,-0058882,-1390855,0.028775,-1004987,+0821894,0.028840,-0485199,-2318175,18:22:05.812351
0.033591,-1105216,-0386765,0.033768,-1945955,-0270348,0.034086,-0058917,-1392084,0.031584,-1004956,+0822027,0.031656,-0485275,-2318150,18:22:05.812351
0.036846,-1104829,-0386492,0.037005,-1946380,-0270245,0.037333,-0059858,-1390306,0.037217,-1005104,+0822154,0.037275,-0485887,-2318152,18:22:05.812351
0.040139,-1104318,-0386396,0.040353,-1946217,-0270184,0.040571,-0059846,-1389493,0.040021,-1005236,+0821993,0.040081,-0485867,-2317976,18:22:05.812351
0.043385,-1104694,-0386333,0.043594,-1946234,-0270240,0.043806,-0057591,-1390062,0.042857,-1005249,+0822058,0.042930,-0486496,-2318094,18:22:05.812351
0.046631,-1104504,-0386689,0.046832,-1946092,-0270060,0.047042,-0059712,-1392130,0.045681,-1005090,+0822023,0.045746,-0484873,-2318054,18:22:05.812351
0.049877,-1104021,-0386605,0.050070,-1946089,-0270480,0.050279,-0054917,-1391699,0.048510,-1004923,+0822000,0.048569,-0485135,-2318280,18:22:05.812351
0.053132,-1104158,-0386725,0.053313,-1946260,-0270209,0.053515,-0054882,-1392096,0.051351,-1005004,+0821849,0.051415,-0485073,-2318221,18:22:05.812351
0.056376,-1104124,-0386632,0.056550,-1946185,-0270290,0.056752,-0054851,-1391799,0.054167,-1004992,+0822047,0.054226,-0484697,-2318330,18:22:05.812351
0.059625,-1104226,-0386605,0.059790,-1946311,-0270228,0.059987,-0055056,-1392029,0.059849,-1004833,+0822086,0.059908,-0485166,-2318424,18:22:05.812351
0.062871,-1104374,-0386556,0.063043,-1946312,-0270125,0.063231,-0054658,-1392032,0.062769,-1004987,+0822000,0.062701,-0484982,-2318344,18:22:05.812351
0.066120,-1104388,-0386777,0.066281,-1946184,-0270387,0.066466,-0054902,-1392112,0.065576,-1004841,+0821927,0.065492,-0485035,-2318097,18:22:05.812859
0.069368,-1104269,-0386713,0.069520,-1946190,-0270396,0.069732,-0054822,-1392127,0.068381,-1004882,+0822092,0.068281,-0485149,-2318224,18:22:05.812859
0.072663,-1104397,-0386639,0.072758,-1946080,-0270275,0.072967,-0054675,-1392008,0.071198,-1004838,+0822198,0.071067,-0485082,-2318312,18:22:05.812859
0.075909,-1104293,-0386758,0.075994,-1946132,-0270280,0.076204,-0054824,-1392185,0.074008,-1005161,+0822140,0.073861,-0485051,-2318215,18:22:05.812859
0.079153,-1104286,-0386799,0.079231,-1946285,-0270316,0.079494,-0054915,-1391962,0.076812,-1004826,+0822084,0.079434,-0485306,-2318448,18:22:05.812859
0.082400,-1104289,-0386615,0.082524,-1946267,-0270239,0.082733,-0054703,-1392246,0.082464,-1004850,+0822114,0.082230,-0485390,-2318418,18:22:05.879185
0.085652,-1104375,-0386635,0.085762,-1946120,-0270308,0.085972,-0054790,-1391993,0.085271,-1004923,+0822029,0.085025,-0485036,-2318190,18:22:05.879185
0.088896,-1104242,-0386677,0.089002,-1946151,-0270245,0.089264,-0054881,-1391913,0.088078,-1005013,+0822041,0.087812,-0485258,-2318184,18:22:05.879185
0.092142,-1104288,-0386522,0.092280,-1946231,-0270219,0.092503,-0054862,-1391379,0.090943,-1004903,+0821934,0.093465,-0485005,-2317990,18:22:05.879185
0.095439,-1105177,-0386525,0.095516,-1946253,-0270214,0.095744,-0064404,-1390289,0.093748,-1005331,+0822132,0.096282,-0486379,-2317841,18:22:05.879185
0.098692,-1104767,-0386501,0.098760,-1946221,-0270179,0.099002,-0058981,-1391085,0.096561,-1005189,+0822198,0.099090,-0487018,-2318034,18:22:05.879185
0.101955,-1104253,-0386772,0.102013,-1946149,-0270258,0.102238,-0054971,-1391917,0.102180,-1004852,+0821904,0.101880,-0485181,-2318208,18:22:05.879185
0.105201,-1104305,-0386564,0.105313,-1946386,-0270152,0.105473,-0054799,-1391991,0.105038,-1005005,+0822163,0.104689,-0484929,-2318481,18:22:05.879185
0.108445,-1104348,-0386629,0.108550,-1946067,-0270260,0.108710,-0054991,-1392000,0.107844,-1005006,+0821880,0.107476,-0485149,-2318159,18:22:05.879185
0.111719,-1104362,-0386665,0.111788,-1946125,-0270145,0.111950,-0054818,-1392035,0.110649,-1005075,+0822111,0.110262,-0484991,-2318173,18:22:05.879185
0.114964,-1104277,-0386804,0.115025,-1946151,-0270483,0.115187,-0054837,-1392287,0.113465,-1004900,+0822076,0.113055,-0484856,-2318172,18:22:05.879185
0.118208,-1104217,-0386732,0.118266,-1946358,-0270409,0.118422,-0054781,-1392046,0.116273,-1004794,+0822074,0.115845,-0485051,-2318216,18:22:05.879185
0.121479,-1104204,-0386735,0.121539,-1946187,-0270155,0.121700,-0054852,-1392245,0.121889,-1004937,+0822128,0.121418,-0484912,-2318348,18:22:05.879185
0.124753,-1104514,-0386723,0.124812,-1946267,-0270264,0.124967,-0054739,-1391901,0.124693,-1004895,+0821916,0.124213,-0485138,-2318166,18:22:05.879185
0.127997,-1104327,-0386782,0.128057,-1946332,-0270247,0.128202,-0054622,-1392143,0.127500,-1005227,+0821959,0.127001,-0485184,-2318173,18:22:05.879185
0.131242,-1104176,-0386667,0.131300,-1946208,-0270093,0.131464,-0054903,-1391882,0.130304,-1005088,+0822077,0.129788,-0485189,-2318315,18:22:05.879185
0.134488,-1104308,-0386777,0.134604,-1946341,-0270329,0.134701,-0054742,-1392083,0.133142,-1004866,+0822200,0.132574,-0485120,-2318220,18:22:05.879185
0.137733,-1104124,-0386721,0.137842,-1945863,-0270047,0.137936,-0054767,-1392109,0.135950,-1005263,+0822073,0.135363,-0484932,-2318207,18:22:05.879185
0.140995,-1104159,-0386715,0.141078,-1946187,-0270362,0.141218,-0054889,-1392115,0.141562,-1005104,+0822002,0.140936,-0484988,-2318078,18:22:05.945540
0.144244,-1104145,-0386713,0.144317,-1946137,-0270316,0.144455,-0054920,-1391910,0.144375,-1004951,+0821923,0.143726,-0484988,-2318325,18:22:05.945540
0.147488,-1104335,-0386726,0.147561,-1946156,-0270275,0.147691,-0054820,-1391923,0.147184,-1004966,+0822004,0.146513,-0484998,-2318280,18:22:05.945540
0.150750,-1104224,-0386543,0.150921,-1946198,-0270322,0.150987,-0054704,-1391282,0.150040,-1005158,+0822054,0.149368,-0485453,-2318236,18:22:05.945540
0.154045,-1104641,-0386639,0.154166,-1946140,-0270274,0.154230,-0058740,-1392082,0.152865,-1004930,+0821987,0.152256,-0485311,-2318128,18:22:05.945540
0.157289,-1104232,-0386755,0.157403,-1946260,-0270241,0.157467,-0054982,-1392021,0.155726,-1004656,+0821994,0.155068,-0485136,-2318048,18:22:05.945540
0.160536,-1104134,-0386716,0.160639,-1946306,-0270378,0.160758,-0054868,-1391951,0.158530,-1004774,+0822172,0.160698,-0484937,-2318220,18:22:05.945540
0.163780,-1104343,-0386694,0.163876,-1946341,-0270236,0.163992,-0054703,-1391882,0.161336,-1005002,+0822129,0.163493,-0485011,-2318303,18:22:05.945540
0.167025,-1104212,-0386623,0.167114,-1946230,-0270336,0.167231,-0054716,-1392019,0.166958,-1005085,+0821812,0.166278,-0485228,-2318114,18:22:05.945540
0.170271,-1104302,-0386599,0.170351,-1946130,-0270087,0.170516,-0054832,-1392036,0.169765,-1005173,+0821966,0.169064,-0485252,-2318111,18:22:05.945540
