===BEGIN_METADATA===
Test Name: 2026-02-16_183455_01,yyyy-mm-dd_hhmmss_{probe_num}
Note:
Test Type: Demo
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s): 001 002 003 004 005
ICB-Sensor A's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-16T16:42:22.947658,kA1: 365360.95078391687,dA1: 0.0128828073827476,cA1: -1090307.8216757427,kA2: 358441.4333257384,dA2: 0.0531505602691383,cA2: -373949.500513379
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 1.0,kE2: 1.0,dE2: 1.0,cE2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010791,-1102597,-0384817,0.011002,-1945655,-0269472,0.011222,-0054481,-1388731,0.009048,-1004783,+0823339,0.009108,-0484600,-2317887,18:34:58.599474
0.014067,-1102609,-0384819,0.014256,-1945567,-0269452,0.014466,-0054486,-1387184,0.011858,-1004665,+0823309,0.011932,-0484838,-2317696,18:34:58.632716
0.017320,-1103781,-0384334,0.017493,-1945798,-0269400,0.017706,-0067916,-1384394,0.017551,-1005075,+0823429,0.017610,-0487708,-2317185,18:34:58.632716
0.020570,-1103873,-0384371,0.020743,-1945561,-0269265,0.020945,-0064960,-1384452,0.020470,-1005190,+0823462,0.020402,-0487304,-2317134,18:34:58.632716
0.023816,-1103873,-0384409,0.023982,-1945561,-0269399,0.024184,-0064960,-1384892,0.023285,-1005190,+0823416,0.023216,-0487304,-2317286,18:34:58.632716
0.027061,-1103724,-0384382,0.027227,-1945637,-0269285,0.027470,-0065189,-1385067,0.026091,-1005215,+0823302,0.026018,-0487256,-2317074,18:34:58.632716
0.030325,-1103657,-0384612,0.030487,-1945703,-0269220,0.030711,-0062646,-1385677,0.028934,-1004854,+0823401,0.028805,-0486152,-2317335,18:34:58.632716
0.033572,-1103815,-0384320,0.033725,-1945718,-0269323,0.033953,-0065672,-1384891,0.031788,-1004956,+0823419,0.031599,-0487513,-2317236,18:34:58.632716
0.036822,-1103944,-0384437,0.036964,-1945819,-0269447,0.037190,-0066646,-1386361,0.034596,-1005115,+0823461,0.037248,-0487721,-2317384,18:34:58.632716
0.040094,-1103627,-0384269,0.040201,-1945794,-0269378,0.040425,-0066287,-1384651,0.040268,-1005223,+0823412,0.040035,-0487755,-2317165,18:34:58.632716
0.043357,-1103783,-0384259,0.043439,-1945745,-0269434,0.043661,-0066530,-1384790,0.043078,-1005338,+0823465,0.042857,-0487739,-2317199,18:34:58.632716
0.046613,-1103440,-0384766,0.046676,-1945690,-0269279,0.046898,-0061241,-1388530,0.045896,-1005037,+0823147,0.045656,-0487992,-2317490,18:34:58.632716
0.049976,-1102549,-0384813,0.049919,-1945700,-0269620,0.050168,-0054479,-1388704,0.048704,-1004828,+0823334,0.048459,-0484895,-2317720,18:34:58.632716
0.053288,-1102548,-0384894,0.053219,-1945590,-0269464,0.053405,-0054731,-1388656,0.051520,-1004658,+0823232,0.051254,-0484707,-2317892,18:34:58.632716
