===BEGIN_METADATA===
Test Name: 2026-02-20_195705_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: 20N
Test Type: Force Cycle
Test Number in Session: 0,Time since Last Test: 
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s): 005 002 003 004 001
ICB-Sensor A's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Latest Calibration: 2026-02-16T16:42:22.947658,kE1: 365360.95078391687,dE1: 0.0128828073827476,cE1: -1090307.8216757427,kE2: 358441.4333257384,dE2: 0.0531505602691383,cE2: -373949.500513379
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010713,+0501825,+0583622,0.010921,-8388608,-8388608,0.008116,-8388608,-8388608,0.008972,-8388608,-8388608,0.009030,-8388608,-8388608,19:57:06.514236
0.013993,+0501734,+0583614,0.014186,-8388608,-8388608,0.011353,-8388608,-8388608,0.011780,-8388608,-8388608,0.011845,-8388608,-8388608,19:57:06.547537
0.017248,+0500578,+0583725,0.017534,-8388608,-8388608,0.014724,-8388608,-8388608,0.017414,-8388608,-8388608,0.017474,-8388608,-8388608,19:57:06.547537
0.020560,+0500903,+0584039,0.020771,-8388608,-8388608,0.017960,-8388608,-8388608,0.020223,-8388608,-8388608,0.020281,-8388608,-8388608,19:57:06.547537
0.023821,+0500597,+0583956,0.024012,-8388608,-8388608,0.021203,-8388608,-8388608,0.023059,-8388608,-8388608,0.023119,-8388608,-8388608,19:57:06.547537
0.027071,+0500570,+0584112,0.027248,-8388608,-8388608,0.024461,-8388608,-8388608,0.025987,-8388608,-8388608,0.025919,-8388608,-8388608,19:57:06.547537
0.030318,+0500546,+0583987,0.030497,-8388608,-8388608,0.027701,-8388608,-8388608,0.028819,-8388608,-8388608,0.028754,-8388608,-8388608,19:57:06.547537
0.033570,+0500747,+0583784,0.033741,-8388608,-8388608,0.030944,-8388608,-8388608,0.031652,-8388608,-8388608,0.031562,-8388608,-8388608,19:57:06.547537
0.036823,+0501044,+0583961,0.036984,-8388608,-8388608,0.034201,-8388608,-8388608,0.034459,-8388608,-8388608,0.034388,-8388608,-8388608,19:57:06.547537
0.040071,+0500587,+0584035,0.040250,-8388608,-8388608,0.037457,-8388608,-8388608,0.040131,-8388608,-8388608,0.039965,-8388608,-8388608,19:57:06.547537
0.043318,+0500642,+0583971,0.043487,-8388608,-8388608,0.040694,-8388608,-8388608,0.042951,-8388608,-8388608,0.042782,-8388608,-8388608,19:57:06.547537
0.046565,+0500531,+0583490,0.046732,-8388608,-8388608,0.043933,-8388608,-8388608,0.045756,-8388608,-8388608,0.045629,-8388608,-8388608,19:57:06.547537
0.049811,+0501522,+0583465,0.050025,-8388608,-8388608,0.047216,-8388608,-8388608,0.048561,-8388608,-8388608,0.048420,-8388608,-8388608,19:57:06.547537
0.053066,+0501638,+0583379,0.053271,-8388608,-8388608,0.050454,-8388608,-8388608,0.051369,-8388608,-8388608,0.051273,-8388608,-8388608,19:57:06.547537
0.056312,+0501540,+0583504,0.056511,-8388608,-8388608,0.053690,-8388608,-8388608,0.054175,-8388608,-8388608,0.054066,-8388608,-8388608,19:57:06.547537
0.059557,+0501539,+0583729,0.059748,-8388608,-8388608,0.056927,-8388608,-8388608,0.059807,-8388608,-8388608,0.059641,-8388608,-8388608,19:57:06.547537
0.062805,+0501574,+0583488,0.062986,-8388608,-8388608,0.060162,-8388608,-8388608,0.062643,-8388608,-8388608,0.062430,-8388608,-8388608,19:57:06.547537
0.066050,+0501671,+0583581,0.066223,-8388608,-8388608,0.063402,-8388608,-8388608,0.065452,-8388608,-8388608,0.065218,-8388608,-8388608,19:57:06.547537
0.069296,+0501578,+0583487,0.069461,-8388608,-8388608,0.066670,-8388608,-8388608,0.068257,-8388608,-8388608,0.068006,-8388608,-8388608,19:57:06.547537
0.072545,+0501727,+0583530,0.072742,-8388608,-8388608,0.069935,-8388608,-8388608,0.071065,-8388608,-8388608,0.070793,-8388608,-8388608,19:57:06.547537
0.075791,+0501632,+0583647,0.075980,-8388608,-8388608,0.073184,-8388608,-8388608,0.073877,-8388608,-8388608,0.073587,-8388608,-8388608,19:57:06.547537
0.079036,+0501613,+0583645,0.079221,-8388608,-8388608,0.076435,-8388608,-8388608,0.076683,-8388608,-8388608,0.079163,-8388608,-8388608,19:57:06.547537
0.082280,+0501588,+0583533,0.082463,-8388608,-8388608,0.079673,-8388608,-8388608,0.082339,-8388608,-8388608,0.081951,-8388608,-8388608,19:57:06.615720
0.085525,+0501684,+0583524,0.085702,-8388608,-8388608,0.082910,-8388608,-8388608,0.085144,-8388608,-8388608,0.084745,-8388608,-8388608,19:57:06.615720
0.088769,+0501647,+0583584,0.088982,-8388608,-8388608,0.086196,-8388608,-8388608,0.087949,-8388608,-8388608,0.087531,-8388608,-8388608,19:57:06.615720
0.092016,+0501462,+0583647,0.092224,-8388608,-8388608,0.092668,-8388608,-8388608,0.090756,-8388608,-8388608,0.093154,-8388608,-8388608,19:57:06.615720
0.095283,+0500995,+0583780,0.095472,-8388608,-8388608,0.095915,-8388608,-8388608,0.093567,-8388608,-8388608,0.095975,-8388608,-8388608,19:57:06.615720
0.098555,+0501032,+0583635,0.098726,-8388608,-8388608,0.099152,-8388608,-8388608,0.099211,-8388608,-8388608,0.098785,-8388608,-8388608,19:57:06.615720
0.101860,+0501508,+0583419,0.101965,-8388608,-8388608,0.102389,-8388608,-8388608,0.102025,-8388608,-8388608,0.101575,-8388608,-8388608,19:57:06.615720
0.105108,+0501457,+0583368,0.105203,-8388608,-8388608,0.105625,-8388608,-8388608,0.104830,-8388608,-8388608,0.104377,-8388608,-8388608,19:57:06.615720
0.108355,+0501563,+0583477,0.108442,-8388608,-8388608,0.108859,-8388608,-8388608,0.107637,-8388608,-8388608,0.107164,-8388608,-8388608,19:57:06.615720
0.111632,+0501751,+0583575,0.111691,-8388608,-8388608,0.112120,-8388608,-8388608,0.110443,-8388608,-8388608,0.109950,-8388608,-8388608,19:57:06.615720
0.114930,+0501621,+0583512,0.114988,-8388608,-8388608,0.115359,-8388608,-8388608,0.113250,-8388608,-8388608,0.112744,-8388608,-8388608,19:57:06.615720
0.118174,+0501605,+0583557,0.118234,-8388608,-8388608,0.118600,-8388608,-8388608,0.116057,-8388608,-8388608,0.118318,-8388608,-8388608,19:57:06.615720
0.121421,+0501622,+0583596,0.121486,-8388608,-8388608,0.121836,-8388608,-8388608,0.121678,-8388608,-8388608,0.121105,-8388608,-8388608,19:57:06.615720
0.124671,+0501552,+0583608,0.124784,-8388608,-8388608,0.125073,-8388608,-8388608,0.124511,-8388608,-8388608,0.123895,-8388608,-8388608,19:57:06.615720
0.127916,+0501778,+0583573,0.128021,-8388608,-8388608,0.128357,-8388608,-8388608,0.127315,-8388608,-8388608,0.126681,-8388608,-8388608,19:57:06.615720
0.131161,+0501725,+0583641,0.131258,-8388608,-8388608,0.131594,-8388608,-8388608,0.130120,-8388608,-8388608,0.132258,-8388608,-8388608,19:57:06.615720
0.134409,+0501702,+0583639,0.134496,-8388608,-8388608,0.134829,-8388608,-8388608,0.132936,-8388608,-8388608,0.135046,-8388608,-8388608,19:57:06.615720
0.137656,+0501717,+0583567,0.137733,-8388608,-8388608,0.138117,-8388608,-8388608,0.135741,-8388608,-8388608,0.137833,-8388608,-8388608,19:57:06.615720
0.140908,+0501478,+0583388,0.140974,-8388608,-8388608,0.141352,-8388608,-8388608,0.141411,-8388608,-8388608,0.140621,-8388608,-8388608,19:57:06.615720
0.144155,+0501525,+0583538,0.144213,-8388608,-8388608,0.144587,-8388608,-8388608,0.144271,-8388608,-8388608,0.143416,-8388608,-8388608,19:57:06.615720
0.147401,+0501475,+0583444,0.147481,-8388608,-8388608,0.147880,-8388608,-8388608,0.147077,-8388608,-8388608,0.146203,-8388608,-8388608,19:57:06.615720
0.150672,+0501797,+0583683,0.150732,-8388608,-8388608,0.151120,-8388608,-8388608,0.152698,-8388608,-8388608,0.151782,-8388608,-8388608,19:57:06.713993
0.153920,+0501684,+0583462,0.153983,-8388608,-8388608,0.154384,-8388608,-8388608,0.155505,-8388608,-8388608,0.154581,-8388608,-8388608,19:57:06.713993
