===BEGIN_METADATA===
Test Name: 2026-02-23_115049_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: 50N
Test Type: Demo
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s): 005 002 003 004 001
ICB-Sensor A's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Latest Calibration: 2026-02-16T16:42:22.947658,kE1: 365360.95078391687,dE1: 0.0128828073827476,cE1: -1090307.8216757427,kE2: 358441.4333257384,dE2: 0.0531505602691383,cE2: -373949.500513379
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010900,+0506974,+0583846,0.011102,-8388608,-8388608,0.008293,-8388608,-8388608,0.008991,-8388608,-8388608,0.009106,-8388608,-8388608,11:50:51.232184
0.014206,+0506852,+0583894,0.014352,-8388608,-8388608,0.011528,-8388608,-8388608,0.011801,-8388608,-8388608,0.011896,-8388608,-8388608,11:50:51.266520
0.017562,+0506824,+0583725,0.017622,-8388608,-8388608,0.014778,-8388608,-8388608,0.017439,-8388608,-8388608,0.017503,-8388608,-8388608,11:50:51.266520
0.020808,+0506733,+0583784,0.020868,-8388608,-8388608,0.018013,-8388608,-8388608,0.020250,-8388608,-8388608,0.020310,-8388608,-8388608,11:50:51.266520
0.024054,+0506943,+0583812,0.024112,-8388608,-8388608,0.021251,-8388608,-8388608,0.023082,-8388608,-8388608,0.023141,-8388608,-8388608,11:50:51.266520
0.027410,+0506828,+0583739,0.027469,-8388608,-8388608,0.024604,-8388608,-8388608,0.025888,-8388608,-8388608,0.025948,-8388608,-8388608,11:50:51.266520
0.030655,+0506720,+0583679,0.030713,-8388608,-8388608,0.027839,-8388608,-8388608,0.028695,-8388608,-8388608,0.028753,-8388608,-8388608,11:50:51.266520
0.033902,+0506846,+0583745,0.033960,-8388608,-8388608,0.031076,-8388608,-8388608,0.031504,-8388608,-8388608,0.031566,-8388608,-8388608,11:50:51.266520
0.037176,+0506876,+0583710,0.037293,-8388608,-8388608,0.034370,-8388608,-8388608,0.037118,-8388608,-8388608,0.037234,-8388608,-8388608,11:50:51.266520
0.040423,+0506853,+0584051,0.040532,-8388608,-8388608,0.037605,-8388608,-8388608,0.039925,-8388608,-8388608,0.040020,-8388608,-8388608,11:50:51.266520
0.043671,+0506764,+0583787,0.043770,-8388608,-8388608,0.040840,-8388608,-8388608,0.042740,-8388608,-8388608,0.042806,-8388608,-8388608,11:50:51.266520
0.046916,+0506920,+0583836,0.047090,-8388608,-8388608,0.044077,-8388608,-8388608,0.045546,-8388608,-8388608,0.045604,-8388608,-8388608,11:50:51.266520
0.050160,+0506759,+0583899,0.050327,-8388608,-8388608,0.047313,-8388608,-8388608,0.048377,-8388608,-8388608,0.048437,-8388608,-8388608,11:50:51.266520
0.053412,+0506878,+0583801,0.053570,-8388608,-8388608,0.050548,-8388608,-8388608,0.051184,-8388608,-8388608,0.051243,-8388608,-8388608,11:50:51.365800
0.056661,+0506827,+0583716,0.056916,-8388608,-8388608,0.053785,-8388608,-8388608,0.056800,-8388608,-8388608,0.056858,-8388608,-8388608,11:50:51.365800
0.059940,+0506814,+0583868,0.060153,-8388608,-8388608,0.057131,-8388608,-8388608,0.059605,-8388608,-8388608,0.059665,-8388608,-8388608,11:50:51.365800
0.063200,+0506769,+0583790,0.063401,-8388608,-8388608,0.060367,-8388608,-8388608,0.062476,-8388608,-8388608,0.062538,-8388608,-8388608,11:50:51.365800
0.066461,+0506818,+0583789,0.066644,-8388608,-8388608,0.063635,-8388608,-8388608,0.065310,-8388608,-8388608,0.065368,-8388608,-8388608,11:50:51.365800
0.069706,+0506817,+0583748,0.069880,-8388608,-8388608,0.066870,-8388608,-8388608,0.068142,-8388608,-8388608,0.068201,-8388608,-8388608,11:50:51.365800
0.072954,+0506772,+0584006,0.073117,-8388608,-8388608,0.070106,-8388608,-8388608,0.070948,-8388608,-8388608,0.071008,-8388608,-8388608,11:50:51.365800
0.076202,+0506811,+0583901,0.076353,-8388608,-8388608,0.073347,-8388608,-8388608,0.073760,-8388608,-8388608,0.073819,-8388608,-8388608,11:50:51.365800
0.079447,+0506921,+0583713,0.079648,-8388608,-8388608,0.076687,-8388608,-8388608,0.079374,-8388608,-8388608,0.079506,-8388608,-8388608,11:50:51.365800
0.082692,+0506637,+0583717,0.082884,-8388608,-8388608,0.079922,-8388608,-8388608,0.082180,-8388608,-8388608,0.082296,-8388608,-8388608,11:50:51.365800
0.085940,+0506822,+0583838,0.086121,-8388608,-8388608,0.083161,-8388608,-8388608,0.084987,-8388608,-8388608,0.085084,-8388608,-8388608,11:50:51.365800
0.089185,+0506853,+0583692,0.089362,-8388608,-8388608,0.086449,-8388608,-8388608,0.087798,-8388608,-8388608,0.087903,-8388608,-8388608,11:50:51.365800
0.092431,+0506732,+0583827,0.092600,-8388608,-8388608,0.089684,-8388608,-8388608,0.090648,-8388608,-8388608,0.090707,-8388608,-8388608,11:50:51.365800
