===BEGIN_METADATA===
Test Name: 2026-02-26_193133_01,yyyy-mm-dd_hhmmss_{probe_num}
Note:
Test Type: Calibration
Loads (N): 10 35 70,Positions (mm): 60 75 100 115
Number of ICB-Sensors: 1,Sensor Label(s): D,Sensor Serial#(s): 004
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010697,-8388608,-8388608,0.01091,-8388608,-8388608,0.008104,-8388608,-8388608,0.008958,94,-162,0.009016,873138,312318,19:31:36.888184
0.013971,-8388608,-8388608,0.014163,-8388608,-8388608,0.01134,-8388608,-8388608,0.011764,-69,-174,0.011829,873378,312188,19:31:36.953889
0.01722,-8388608,-8388608,0.0174,-8388608,-8388608,0.014718,-8388608,-8388608,0.017517,-754,389,0.017458,872979,312589,19:31:36.953889
0.020466,-8388608,-8388608,0.020636,-8388608,-8388608,0.017952,-8388608,-8388608,0.020362,-732,128,0.020296,872961,312739,19:31:36.953889
0.02371,-8388608,-8388608,0.023881,-8388608,-8388608,0.021191,-8388608,-8388608,0.023186,-521,202,0.02312,872972,312529,19:31:36.953889
0.026961,-8388608,-8388608,0.027117,-8388608,-8388608,0.024456,-8388608,-8388608,0.025995,-821,310,0.025916,873089,312483,19:31:36.953889
0.030223,-8388608,-8388608,0.03039,-8388608,-8388608,0.027698,-8388608,-8388608,0.02883,-249,102,0.028706,873403,312273,19:31:36.953889
0.033468,-8388608,-8388608,0.033627,-8388608,-8388608,0.030937,-8388608,-8388608,0.031684,-96,-195,0.031517,873077,312315,19:31:36.953889
0.036714,-8388608,-8388608,0.036867,-8388608,-8388608,0.034184,-8388608,-8388608,0.034491,-15,-437,0.034329,873291,312562,19:31:36.953889
0.04,-8388608,-8388608,0.040163,-8388608,-8388608,0.037421,-8388608,-8388608,0.040103,210,-65,0.03994,873088,312439,19:31:36.953889
0.043245,-8388608,-8388608,0.043402,-8388608,-8388608,0.040656,-8388608,-8388608,0.042911,-14,-191,0.042746,873207,312351,19:31:36.953889
0.04649,-8388608,-8388608,0.046639,-8388608,-8388608,0.043891,-8388608,-8388608,0.045718,77,-72,0.045566,873110,312295,19:31:36.953889
0.049736,-8388608,-8388608,0.049875,-8388608,-8388608,0.047179,-8388608,-8388608,0.048523,-58,-205,0.048354,873326,312383,19:31:36.953889
0.053039,-8388608,-8388608,0.053114,-8388608,-8388608,0.050416,-8388608,-8388608,0.051337,119,-238,0.051188,873429,312454,19:31:36.953889
0.056283,-8388608,-8388608,0.05635,-8388608,-8388608,0.053655,-8388608,-8388608,0.054155,138,-161,0.053976,873133,312189,19:31:36.953889
0.059527,-8388608,-8388608,0.059644,-8388608,-8388608,0.05689,-8388608,-8388608,0.056961,265,-161,0.059585,873189,312207,19:31:36.953889
0.062774,-8388608,-8388608,0.062888,-8388608,-8388608,0.060126,-8388608,-8388608,0.062612,196,-1,0.062373,873085,312239,19:31:36.953889
0.066018,-8388608,-8388608,0.066126,-8388608,-8388608,0.063369,-8388608,-8388608,0.065417,66,-25,0.06516,873519,312177,19:31:36.953889
0.069265,-8388608,-8388608,0.069399,-8388608,-8388608,0.066612,-8388608,-8388608,0.068222,-33,-175,0.067946,873153,312197,19:31:36.953889
0.072543,-8388608,-8388608,0.072637,-8388608,-8388608,0.069897,-8388608,-8388608,0.071078,42,-160,0.070734,873291,312353,19:31:36.953889
0.075787,-8388608,-8388608,0.075874,-8388608,-8388608,0.073138,-8388608,-8388608,0.073887,146,-189,0.073524,873347,312249,19:31:36.953889
0.079034,-8388608,-8388608,0.079165,-8388608,-8388608,0.076373,-8388608,-8388608,0.076692,21,-124,0.079105,873254,312362,19:31:36.953889
0.082281,-8388608,-8388608,0.082405,-8388608,-8388608,0.079607,-8388608,-8388608,0.082344,-192,-142,0.081915,873488,312156,19:31:37.053639
0.085529,-8388608,-8388608,0.085645,-8388608,-8388608,0.082844,-8388608,-8388608,0.08515,-167,-23,0.084716,873529,312267,19:31:37.053639
0.088773,-8388608,-8388608,0.088882,-8388608,-8388608,0.086085,-8388608,-8388608,0.087955,108,-147,0.087544,873177,312407,19:31:37.053639
0.09202,-8388608,-8388608,0.092118,-8388608,-8388608,0.092576,-8388608,-8388608,0.093612,264,-179,0.093171,873486,312390,19:31:37.053639
0.095348,-8388608,-8388608,0.095409,-8388608,-8388608,0.095851,-8388608,-8388608,0.096455,-661,230,0.096013,873288,312335,19:31:37.053639
0.098596,-8388608,-8388608,0.098668,-8388608,-8388608,0.099088,-8388608,-8388608,0.099262,-389,16,0.098806,873286,312362,19:31:37.053639
0.101881,-8388608,-8388608,0.101941,-8388608,-8388608,0.102342,-8388608,-8388608,0.102069,-20,-17,0.101595,873272,312398,19:31:37.053639
0.105158,-8388608,-8388608,0.105216,-8388608,-8388608,0.105577,-8388608,-8388608,0.10488,196,-218,0.104401,873069,312402,19:31:37.053639
0.108404,-8388608,-8388608,0.108463,-8388608,-8388608,0.108862,-8388608,-8388608,0.107689,23,-195,0.107187,873155,312217,19:31:37.053639
0.111656,-8388608,-8388608,0.111714,-8388608,-8388608,0.112099,-8388608,-8388608,0.11054,29,-168,0.109973,873331,312407,19:31:37.053639
0.114903,-8388608,-8388608,0.114961,-8388608,-8388608,0.115334,-8388608,-8388608,0.113397,131,-17,0.112768,873193,312266,19:31:37.053639
0.118148,-8388608,-8388608,0.118207,-8388608,-8388608,0.118624,-8388608,-8388608,0.116204,-7,-370,0.118342,873466,312345,19:31:37.053639
0.121417,-8388608,-8388608,0.121481,-8388608,-8388608,0.12188,-8388608,-8388608,0.121819,120,-192,0.121129,873173,312593,19:31:37.053639
0.124684,-8388608,-8388608,0.124742,-8388608,-8388608,0.125118,-8388608,-8388608,0.124626,-89,-58,0.12392,873017,312237,19:31:37.053639
0.127931,-8388608,-8388608,0.127989,-8388608,-8388608,0.128385,-8388608,-8388608,0.127431,-94,6,0.126709,873241,312181,19:31:37.053639
0.131191,-8388608,-8388608,0.131249,-8388608,-8388608,0.131622,-8388608,-8388608,0.130238,66,-219,0.132301,873421,312262,19:31:37.053639
0.134442,-8388608,-8388608,0.134559,-8388608,-8388608,0.134868,-8388608,-8388608,0.133094,-4,-123,0.135088,873371,312319,19:31:37.053639
0.137686,-8388608,-8388608,0.137798,-8388608,-8388608,0.138161,-8388608,-8388608,0.135903,24,-75,0.137876,873027,312217,19:31:37.053639
0.140952,-8388608,-8388608,0.141038,-8388608,-8388608,0.141396,-8388608,-8388608,0.141513,-1,60,0.140664,873199,312382,19:31:37.053639
0.144199,-8388608,-8388608,0.144275,-8388608,-8388608,0.14463,-8388608,-8388608,0.144333,14,-322,0.143454,873199,312303,19:31:37.053639
0.147446,-8388608,-8388608,0.147512,-8388608,-8388608,0.147915,-8388608,-8388608,0.147138,-130,-76,0.14624,873347,312424,19:31:37.053639
0.150722,-8388608,-8388608,0.15078,-8388608,-8388608,0.151154,-8388608,-8388608,0.149945,21,-153,0.151829,873113,312230,19:31:37.087118
0.153969,-8388608,-8388608,0.154028,-8388608,-8388608,0.154439,-8388608,-8388608,0.152759,22,-268,0.154624,873090,312295,19:31:37.087118
0.157255,-8388608,-8388608,0.157313,-8388608,-8388608,0.157696,-8388608,-8388608,0.155571,-9,-28,0.157412,873256,312187,19:31:37.087118
0.183288,-8388608,-8388608,0.183347,-8388608,-8388608,0.183723,-8388608,-8388608,0.183793,-60,181,0.185339,873121,312249,19:31:37.087118
0.186579,-8388608,-8388608,0.1867,-8388608,-8388608,0.187016,-8388608,-8388608,0.186641,-17,-410,0.188154,873110,312396,19:31:37.087118
0.189835,-8388608,-8388608,0.18994,-8388608,-8388608,0.190251,-8388608,-8388608,0.189447,229,-110,0.190945,873237,312305,19:31:37.087118
0.19308,-8388608,-8388608,0.193177,-8388608,-8388608,0.193486,-8388608,-8388608,0.192253,-124,-147,0.193734,873395,312132,19:31:37.087118
0.196324,-8388608,-8388608,0.196414,-8388608,-8388608,0.196737,-8388608,-8388608,0.19506,85,-92,0.196571,873366,312155,19:31:37.087118
0.199575,-8388608,-8388608,0.199688,-8388608,-8388608,0.199973,-8388608,-8388608,0.197879,-1,-242,0.199405,873388,312310,19:31:37.087118
0.202819,-8388608,-8388608,0.202925,-8388608,-8388608,0.203208,-8388608,-8388608,0.200685,-48,-85,0.202191,873148,312496,19:31:37.087118
0.206065,-8388608,-8388608,0.206162,-8388608,-8388608,0.206449,-8388608,-8388608,0.206297,82,-348,0.204979,873244,312412,19:31:37.087118
0.209316,-8388608,-8388608,0.209486,-8388608,-8388608,0.209688,-8388608,-8388608,0.209154,116,14,0.20781,873491,312438,19:31:37.087118
0.212563,-8388608,-8388608,0.212724,-8388608,-8388608,0.212923,-8388608,-8388608,0.211961,-163,-284,0.210616,873116,312177,19:31:37.087118
0.21581,-8388608,-8388608,0.215963,-8388608,-8388608,0.21616,-8388608,-8388608,0.214766,-113,-17,0.216219,873275,312140,19:31:37.087118
0.219092,-8388608,-8388608,0.219211,-8388608,-8388608,0.219394,-8388608,-8388608,0.217698,54,-37,0.219033,873210,312373,19:31:37.087118
0.222338,-8388608,-8388608,0.222448,-8388608,-8388608,0.222629,-8388608,-8388608,0.220555,-59,-191,0.221821,873246,312455,19:31:37.087118
0.225585,-8388608,-8388608,0.225686,-8388608,-8388608,0.225869,-8388608,-8388608,0.226169,-45,-200,0.224607,873199,312421,19:31:37.153738
0.228854,-8388608,-8388608,0.228923,-8388608,-8388608,0.229104,-8388608,-8388608,0.228982,-245,-109,0.227399,873306,312198,19:31:37.153738
0.232099,-8388608,-8388608,0.232162,-8388608,-8388608,0.23234,-8388608,-8388608,0.231789,74,-90,0.230188,873259,312186,19:31:37.153738
0.235357,-8388608,-8388608,0.23548,-8388608,-8388608,0.235576,-8388608,-8388608,0.234594,205,-138,0.235767,873296,312510,19:31:37.153738
0.23867,-8388608,-8388608,0.238728,-8388608,-8388608,0.238896,-8388608,-8388608,0.237422,-69,-339,0.238569,873116,312489,19:31:37.153738
0.241921,-8388608,-8388608,0.24198,-8388608,-8388608,0.242136,-8388608,-8388608,0.240239,123,-101,0.241367,873214,312399,19:31:37.153738
0.245167,-8388608,-8388608,0.245226,-8388608,-8388608,0.24537,-8388608,-8388608,0.245854,-185,-121,0.244155,873345,312294,19:31:37.153738
0.248418,-8388608,-8388608,0.248477,-8388608,-8388608,0.248631,-8388608,-8388608,0.248689,49,-71,0.246955,873198,312363,19:31:37.153738
0.251664,-8388608,-8388608,0.251777,-8388608,-8388608,0.251868,-8388608,-8388608,0.251503,207,-58,0.249741,873144,312255,19:31:37.153738
0.254909,-8388608,-8388608,0.255013,-8388608,-8388608,0.255106,-8388608,-8388608,0.254312,344,-124,0.255313,873427,312331,19:31:37.153738
0.258161,-8388608,-8388608,0.25825,-8388608,-8388608,0.258386,-8388608,-8388608,0.257124,344,-302,0.258101,873252,312340,19:31:37.153738
0.261406,-8388608,-8388608,0.261487,-8388608,-8388608,0.26162,-8388608,-8388608,0.259928,122,89,0.260889,873415,312262,19:31:37.153738
0.264654,-8388608,-8388608,0.264725,-8388608,-8388608,0.264855,-8388608,-8388608,0.262736,-92,-100,0.263677,873232,312427,19:31:37.153738
0.267926,-8388608,-8388608,0.267984,-8388608,-8388608,0.268146,-8388608,-8388608,0.265543,133,-164,0.266466,873227,312198,19:31:37.153738
0.271222,-8388608,-8388608,0.271281,-8388608,-8388608,0.271437,-8388608,-8388608,0.271162,12,-419,0.269262,873361,312416,19:31:37.153738
0.274467,-8388608,-8388608,0.274527,-8388608,-8388608,0.274675,-8388608,-8388608,0.27397,-64,-386,0.272051,873243,312533,19:31:37.153738
0.277714,-8388608,-8388608,0.277773,-8388608,-8388608,0.27791,-8388608,-8388608,0.27678,25,-206,0.277625,873252,312278,19:31:37.153738
0.28096,-8388608,-8388608,0.281077,-8388608,-8388608,0.281145,-8388608,-8388608,0.27959,100,-371,0.280413,873254,312290,19:31:37.153738
0.284205,-8388608,-8388608,0.284314,-8388608,-8388608,0.28438,-8388608,-8388608,0.282423,-134,-102,0.283204,873508,312453,19:31:37.153738
0.287455,-8388608,-8388608,0.287553,-8388608,-8388608,0.287669,-8388608,-8388608,0.285232,151,-358,0.285992,873262,312355,19:31:37.153738
0.290716,-8388608,-8388608,0.2908,-8388608,-8388608,0.290919,-8388608,-8388608,0.290859,-43,-225,0.28878,873180,312318,19:31:37.153738
0.293962,-8388608,-8388608,0.294038,-8388608,-8388608,0.294156,-8388608,-8388608,0.293667,-61,-100,0.291569,873306,312619,19:31:37.253496
0.297254,-8388608,-8388608,0.297316,-8388608,-8388608,0.297433,-8388608,-8388608,0.296479,54,-216,0.297155,873192,312441,19:31:37.253496
0.300529,-8388608,-8388608,0.300587,-8388608,-8388608,0.300684,-8388608,-8388608,0.299303,34,181,0.300016,873235,312418,19:31:37.253496
0.303823,-8388608,-8388608,0.303882,-8388608,-8388608,0.303942,-8388608,-8388608,0.302144,166,19,0.30281,873344,312219,19:31:37.253496
0.307087,-8388608,-8388608,0.307146,-8388608,-8388608,0.307205,-8388608,-8388608,0.304951,-50,-266,0.30563,873261,312281,19:31:37.253496
0.310332,-8388608,-8388608,0.31039,-8388608,-8388608,0.310449,-8388608,-8388608,0.307763,-46,48,0.308422,873072,312671,19:31:37.253496
0.313577,-8388608,-8388608,0.313691,-8388608,-8388608,0.313749,-8388608,-8388608,0.313417,169,-122,0.311208,873416,312289,19:31:37.253496
0.316885,-8388608,-8388608,0.316944,-8388608,-8388608,0.317004,-8388608,-8388608,0.316227,-9,-111,0.316823,873528,312340,19:31:37.253496
