===BEGIN_METADATA===
Test Name: 2026-02-26_200427_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: [60 75 100 115]mm,[10 35 70]N,DAQ: D,SN: 004
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-23T16:59:05.038064,kA1: 365360.95078391687,dA1: 0.0128828073827476,cA1: -1090307.8216757427,kA2: 358441.4333257384,dA2: 0.0531505602691383,cA2: -373949.500513379
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010952,-8388608,-8388608,0.011168,-8388608,-8388608,0.008356,-8388608,-8388608,0.008995,-0389043,+0627149,0.009054,+0874778,+0312990,20:04:33.309320
0.014262,-8388608,-8388608,0.014425,-8388608,-8388608,0.011593,-8388608,-8388608,0.011802,-0389163,+0627574,0.011860,+0874898,+0313153,20:04:33.342472
0.017549,-8388608,-8388608,0.017763,-8388608,-8388608,0.014950,-8388608,-8388608,0.017429,-0389179,+0627244,0.017488,+0874419,+0313061,20:04:33.342472
0.020793,-8388608,-8388608,0.021000,-8388608,-8388608,0.021424,-8388608,-8388608,0.020238,-0389052,+0627502,0.020296,+0874708,+0313020,20:04:33.342472
0.024052,-8388608,-8388608,0.024244,-8388608,-8388608,0.024668,-8388608,-8388608,0.023167,-0389147,+0627573,0.023109,+0874797,+0313109,20:04:33.342472
0.027300,-8388608,-8388608,0.027485,-8388608,-8388608,0.027903,-8388608,-8388608,0.025983,-0388908,+0627525,0.025924,+0874994,+0313146,20:04:33.342472
0.030547,-8388608,-8388608,0.030724,-8388608,-8388608,0.031138,-8388608,-8388608,0.031629,-0389125,+0627408,0.031544,+0874758,+0313179,20:04:33.342472
0.033807,-8388608,-8388608,0.033966,-8388608,-8388608,0.034403,-8388608,-8388608,0.034463,-0389131,+0627281,0.034344,+0874703,+0313130,20:04:33.342472
0.037053,-8388608,-8388608,0.037207,-8388608,-8388608,0.037639,-8388608,-8388608,0.037275,-0389408,+0627344,0.037132,+0874653,+0313232,20:04:33.342472
0.040300,-8388608,-8388608,0.040443,-8388608,-8388608,0.040874,-8388608,-8388608,0.040138,-0389401,+0627633,0.039925,+0874275,+0312994,20:04:33.342472
0.043546,-8388608,-8388608,0.043682,-8388608,-8388608,0.044115,-8388608,-8388608,0.042970,-0389201,+0627523,0.042723,+0874957,+0313025,20:04:33.342472
0.046813,-8388608,-8388608,0.046921,-8388608,-8388608,0.047351,-8388608,-8388608,0.045792,-0389042,+0627194,0.045570,+0874885,+0313014,20:04:33.342472
0.050063,-8388608,-8388608,0.050159,-8388608,-8388608,0.050586,-8388608,-8388608,0.048599,-0389047,+0627329,0.048376,+0874716,+0313102,20:04:33.342472
0.053312,-8388608,-8388608,0.053398,-8388608,-8388608,0.053827,-8388608,-8388608,0.051403,-0389139,+0627176,0.051172,+0874865,+0313145,20:04:33.342472
0.056556,-8388608,-8388608,0.056634,-8388608,-8388608,0.057079,-8388608,-8388608,0.057019,-0389069,+0627383,0.056749,+0874683,+0312987,20:04:33.342472
