Load (N),Position (mm),Strain_D1_avg,Strain_D2_avg
10,60,179466.27923095468,52081.335884763736
35,60,628407.9439311335,181892.1844476327
70,60,1255396.362276806,362902.593220339
10,75,227374.82808215634,101220.57674996118
35,75,795171.48683173,353180.6922672554
70,75,1588655.2847107274,704924.2047317211
10,100,310644.21712386876,184754.43516685523
35,100,1086950.1548343475,645839.1892494928
70,100,2170617.2392911864,1290137.7635067615
10,115,360220.4241732514,234879.3997658765
35,115,1258942.555361487,819850.0800324371
70,115,2513211.2438257746,1637147.150105844
