===BEGIN_METADATA===
Test Name: 2026-02-28_181538_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: [60 75 95]mm,[10 35 65]N,DAQ: A,SN: 001
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010926,+0047216,+0639026,0.011133,-8388608,-8388608,0.008325,-8388608,-8388608,0.009025,-0384016,+0633215,0.009134,+0857243,+0297929,18:15:43.317215
0.014241,+0047391,+0639455,0.014384,-8388608,-8388608,0.011563,-8388608,-8388608,0.011832,-0383942,+0632926,0.011921,+0856950,+0297907,18:15:43.350849
0.017607,+0047431,+0639209,0.017666,-8388608,-8388608,0.014837,-8388608,-8388608,0.017491,-0384123,+0633076,0.017549,+0856860,+0298178,18:15:43.350849
0.020852,+0047469,+0639240,0.020910,-8388608,-8388608,0.021309,-8388608,-8388608,0.020298,-0384087,+0633001,0.020358,+0857349,+0298008,18:15:43.350849
0.024099,+0047409,+0639188,0.024158,-8388608,-8388608,0.024648,-8388608,-8388608,0.023129,-0384105,+0633029,0.023189,+0857026,+0298063,18:15:43.350849
0.027456,+0047302,+0639185,0.027516,-8388608,-8388608,0.027882,-8388608,-8388608,0.025936,-0384029,+0633049,0.025996,+0857027,+0297975,18:15:43.350849
0.030702,+0047480,+0639197,0.030762,-8388608,-8388608,0.031117,-8388608,-8388608,0.031551,-0384084,+0633191,0.031615,+0856962,+0297815,18:15:43.350849
0.033956,+0047480,+0639292,0.034014,-8388608,-8388608,0.034352,-8388608,-8388608,0.034468,-0383979,+0633007,0.034410,+0856916,+0297976,18:15:43.350849
0.037314,+0047433,+0639190,0.037255,-8388608,-8388608,0.037587,-8388608,-8388608,0.037374,-0383994,+0633147,0.037196,+0857010,+0298007,18:15:43.350849
0.040559,+0047172,+0639315,0.040493,-8388608,-8388608,0.040822,-8388608,-8388608,0.040180,-0383987,+0633213,0.039982,+0857224,+0297976,18:15:43.350849
0.043804,+0047246,+0639216,0.043736,-8388608,-8388608,0.044060,-8388608,-8388608,0.042987,-0384184,+0632980,0.042777,+0857370,+0297967,18:15:43.350849
0.047077,+0047376,+0639297,0.047019,-8388608,-8388608,0.047295,-8388608,-8388608,0.045796,-0384226,+0633077,0.045568,+0857016,+0298015,18:15:43.350849
0.050345,+0047369,+0639304,0.050282,-8388608,-8388608,0.050530,-8388608,-8388608,0.048603,-0384088,+0633265,0.048354,+0856993,+0298118,18:15:43.350849
0.053593,+0047448,+0639218,0.053523,-8388608,-8388608,0.053767,-8388608,-8388608,0.051411,-0384120,+0632942,0.051141,+0857184,+0297849,18:15:43.417392
0.056838,+0047062,+0639361,0.056777,-8388608,-8388608,0.057001,-8388608,-8388608,0.057061,-0384011,+0633045,0.056717,+0857200,+0298084,18:15:43.417392
0.060160,+0047372,+0639304,0.060032,-8388608,-8388608,0.060243,-8388608,-8388608,0.059875,-0383956,+0633198,0.059559,+0857052,+0298022,18:15:43.417392
0.063405,+0047262,+0639197,0.063295,-8388608,-8388608,0.063479,-8388608,-8388608,0.062683,-0384018,+0633097,0.062373,+0856926,+0297835,18:15:43.417904
0.066654,+0047282,+0639149,0.066535,-8388608,-8388608,0.066718,-8388608,-8388608,0.065488,-0383819,+0632975,0.065163,+0857159,+0298059,18:15:43.417904
0.069900,+0047523,+0639063,0.069797,-8388608,-8388608,0.070013,-8388608,-8388608,0.068336,-0384134,+0633081,0.067988,+0857271,+0297889,18:15:43.417904
0.073146,+0047271,+0639231,0.073039,-8388608,-8388608,0.073248,-8388608,-8388608,0.071144,-0384084,+0633099,0.070774,+0857273,+0298042,18:15:43.417904
0.076410,+0047263,+0639196,0.076276,-8388608,-8388608,0.076485,-8388608,-8388608,0.073955,-0383856,+0633086,0.076351,+0857157,+0298029,18:15:43.417904
0.079655,+0047312,+0639250,0.079513,-8388608,-8388608,0.079721,-8388608,-8388608,0.079572,-0384030,+0633100,0.079140,+0857300,+0297687,18:15:43.417904
0.082900,+0047293,+0639098,0.082753,-8388608,-8388608,0.082958,-8388608,-8388608,0.082382,-0383875,+0633014,0.081931,+0857049,+0297965,18:15:43.417904
0.086174,+0047300,+0639099,0.085994,-8388608,-8388608,0.086233,-8388608,-8388608,0.085187,-0383857,+0633040,0.084723,+0857256,+0297783,18:15:43.417904
0.089455,+0047310,+0639283,0.089233,-8388608,-8388608,0.089514,-8388608,-8388608,0.087993,-0384043,+0633234,0.087509,+0857320,+0298088,18:15:43.417904
0.092702,+0047355,+0639341,0.092477,-8388608,-8388608,0.092761,-8388608,-8388608,0.090800,-0383981,+0633082,0.090295,+0857272,+0297784,18:15:43.417904
0.095948,+0047336,+0639177,0.095718,-8388608,-8388608,0.096006,-8388608,-8388608,0.093607,-0383901,+0633055,0.095881,+0857225,+0297940,18:15:43.417904
