Load (N),Position (mm),Strain_B1_avg,Strain_B2_avg
10,60,162432.51346841475,40798.81501787842
30,60,484628.63838862546,121149.0222748815
60,60,966665.6178111588,241271.8472103004
10,75,204528.22210526312,82145.45605263158
30,75,611683.312121212,245604.07828282824
60,75,1221172.8612021855,490080.9827868851
10,100,276284.4715753424,152157.15
30,100,825780.3422222221,454615.6923076922
60,100,1648227.2583106265,907694.1305177109
10,115,319569.5380764163,194322.73992094857
30,115,956641.6705018359,581401.8036719705
60,115,1910410.1017689903,1161326.7997918834
