===BEGIN_METADATA===
Test Name: 2026-03-01_140529_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: First data
Test Type: Lab Medium
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28T19:18:25.552308,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28T20:33:55.494496,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010947,+0042258,+0634703,0.011157,+0086110,+0628655,0.008351,+0396965,-0129586,0.008988,-0387566,+0634762,0.009048,+0860903,-1736075,14:05:33.455770
0.014253,+0042442,+0634894,0.014416,+0086196,+0628594,0.011587,+0396974,-0129648,0.011794,-0387685,+0634787,0.011854,+0861017,-1736020,14:05:33.522753
0.017540,+0042376,+0634763,0.017758,+0086210,+0628564,0.014946,+0395947,-0128602,0.017421,-0388335,+0634732,0.017480,+0860894,-1735818,14:05:33.522753
0.020787,+0042296,+0634892,0.021000,+0086026,+0628625,0.021418,+0395936,-0129082,0.020228,-0387526,+0635183,0.020287,+0861173,-1735832,14:05:33.523259
0.024035,+0042433,+0634859,0.024240,+0086125,+0628722,0.024665,+0395673,-0129856,0.023108,-0387343,+0635202,0.023176,+0860958,-1735871,14:05:33.523259
0.027284,+0042207,+0634654,0.027479,+0086102,+0628727,0.027900,+0394351,-0129616,0.025923,-0388127,+0635524,0.025981,+0860868,-1735933,14:05:33.523259
0.030528,+0042427,+0634957,0.030717,+0086128,+0628579,0.031139,+0396911,-0129548,0.031557,-0387555,+0635071,0.031645,+0861130,-1736237,14:05:33.523259
0.033779,+0042427,+0634739,0.033956,+0086128,+0628744,0.034377,+0396346,-0129001,0.034435,-0387353,+0635003,0.034495,+0860989,-1736252,14:05:33.523259
0.037028,+0042461,+0634860,0.037203,+0086008,+0628565,0.037612,+0394861,-0128466,0.037261,-0388884,+0635006,0.037319,+0860824,-1736080,14:05:33.523259
0.040278,+0042363,+0634835,0.040448,+0086135,+0628545,0.040849,+0395966,-0129119,0.040174,-0387965,+0635235,0.040107,+0860747,-1735958,14:05:33.523259
0.043525,+0042356,+0634749,0.043692,+0086216,+0628680,0.044088,+0395908,-0129100,0.042990,-0387551,+0635097,0.042918,+0860874,-1736113,14:05:33.523259
0.046771,+0042375,+0634754,0.046931,+0086261,+0628538,0.047325,+0396843,-0129790,0.045826,-0387247,+0634699,0.045767,+0861015,-1736004,14:05:33.523259
