===BEGIN_METADATA===
Test Name: 2026-03-01_141248_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: First data
Test Type: Lab Medium. 1mph
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28T19:18:25.552308,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28T20:33:55.494496,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010785,+0040677,+0633392,0.010996,+0085327,+0626989,0.011211,+0396022,-0131462,0.009044,-0389770,+0632260,0.009103,+0858782,-1711852,14:12:53.938690
0.014051,+0040719,+0633380,0.014261,+0085139,+0627197,0.014468,+0396034,-0130601,0.011849,-0389886,+0632167,0.011918,+0858900,-1712039,14:12:54.001408
0.017302,+0040664,+0633240,0.017500,+0084944,+0627375,0.017706,+0392304,-0130658,0.017558,-0391627,+0632497,0.017616,+0858821,-1712124,14:12:54.001408
0.020551,+0040759,+0633265,0.020736,+0084978,+0627225,0.020941,+0393309,-0129514,0.020392,-0391817,+0632781,0.020450,+0858431,-1712111,14:12:54.001408
0.023799,+0040759,+0633475,0.023983,+0084978,+0627389,0.024184,+0392981,-0129546,0.023220,-0391817,+0632995,0.023280,+0858431,-1712346,14:12:54.001408
0.027048,+0040804,+0633518,0.027220,+0085057,+0627396,0.027419,+0392430,-0130154,0.026028,-0391154,+0632874,0.026086,+0858905,-1711997,14:12:54.001408
0.030417,+0040778,+0633483,0.030475,+0085251,+0627342,0.030654,+0394688,-0129334,0.028897,-0391384,+0632329,0.028955,+0858793,-1711906,14:12:54.001408
0.033661,+0040783,+0633546,0.033719,+0085026,+0627104,0.033890,+0394229,-0131167,0.031710,-0390365,+0632835,0.031811,+0858909,-1712134,14:12:54.001408
0.036905,+0040714,+0633454,0.036964,+0085260,+0627194,0.037128,+0395899,-0131314,0.034593,-0389597,+0631996,0.034656,+0858806,-1711917,14:12:54.001408
0.040150,+0040951,+0633480,0.040208,+0085392,+0627302,0.040385,+0395922,-0131366,0.040326,-0389680,+0631971,0.040267,+0858732,-1711868,14:12:54.001408
0.043411,+0040746,+0633359,0.043471,+0085250,+0627110,0.043623,+0395775,-0131474,0.043132,-0389907,+0632142,0.043064,+0858770,-1711916,14:12:54.001408
0.046657,+0040626,+0633279,0.046715,+0085145,+0627133,0.046858,+0395990,-0131342,0.045939,-0389641,+0632304,0.045852,+0858804,-1711853,14:12:54.001408
0.049902,+0040702,+0633363,0.049962,+0085078,+0627001,0.050093,+0395673,-0131320,0.048746,-0389817,+0632021,0.048638,+0858700,-1712116,14:12:54.001408
0.053150,+0040852,+0633437,0.053266,+0085295,+0627256,0.053328,+0395996,-0131548,0.051586,-0389654,+0632072,0.051428,+0858709,-1711930,14:12:54.001408
0.056397,+0041011,+0633269,0.056504,+0085183,+0627226,0.056562,+0395833,-0131480,0.054392,-0389695,+0632032,0.054224,+0858761,-1711991,14:12:54.001408
0.059644,+0040800,+0633289,0.059743,+0085186,+0627079,0.059859,+0395805,-0131376,0.057199,-0389791,+0632093,0.059801,+0858747,-1711870,14:12:54.001408
0.062890,+0041011,+0633374,0.062979,+0085297,+0627297,0.063095,+0395998,-0131458,0.062821,-0389864,+0632213,0.062589,+0858881,-1711934,14:12:54.001408
0.066135,+0040844,+0633384,0.066216,+0085211,+0627119,0.066331,+0395834,-0131369,0.065628,-0389738,+0632025,0.065382,+0858642,-1712086,14:12:54.001408
0.069379,+0040908,+0633460,0.069455,+0085331,+0627186,0.069619,+0395801,-0131503,0.068434,-0389842,+0632118,0.068168,+0858751,-1712181,14:12:54.001408
0.072640,+0040904,+0633292,0.072762,+0085131,+0627295,0.072855,+0395876,-0131483,0.071295,-0390001,+0632212,0.070955,+0858805,-1712062,14:12:54.001408
0.075888,+0040875,+0633332,0.076001,+0085175,+0627065,0.076092,+0395946,-0131424,0.074107,-0389969,+0632155,0.073747,+0858700,-1711903,14:12:54.001408
0.079137,+0040811,+0633360,0.079241,+0085148,+0627193,0.079379,+0395817,-0131411,0.076913,-0389648,+0631955,0.079321,+0858850,-1711783,14:12:54.001408
0.082396,+0040708,+0633312,0.082478,+0085206,+0627200,0.082621,+0395985,-0131238,0.082538,-0389649,+0632049,0.082110,+0858798,-1711772,14:12:54.035195
0.085656,+0040831,+0633458,0.085725,+0085305,+0627203,0.085882,+0395805,-0131409,0.085370,-0389816,+0632140,0.084945,+0858955,-1711988,14:12:54.035195
0.088920,+0040943,+0633355,0.088980,+0085043,+0627100,0.089120,+0395745,-0131326,0.088180,-0389691,+0632225,0.087739,+0858843,-1712055,14:12:54.035195
0.092167,+0040953,+0633456,0.092278,+0085098,+0627028,0.092356,+0395901,-0131571,0.090987,-0389763,+0631978,0.090601,+0858905,-1711927,14:12:54.035195
