===BEGIN_METADATA===
Test Name: 2026-03-01_141457_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: First data
Test Type: Lab Medium. 0.5mph
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28T19:18:25.552308,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28T20:33:55.494496,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010821,+0041166,+0633671,0.010880,+0085736,+0627355,0.008023,+0396246,-0130867,0.009080,-0389344,+0632598,0.009138,+0859256,-1705578,14:15:04.616559
0.014110,+0041174,+0633347,0.014168,+0085495,+0627415,0.011259,+0396330,-0130940,0.011885,-0389252,+0632346,0.011970,+0859308,-1705560,14:15:04.648727
0.017355,+0041022,+0633549,0.017415,+0085379,+0627503,0.014534,+0396455,-0131042,0.014716,-0389377,+0632524,0.014775,+0859090,-1705460,14:15:04.648727
0.020663,+0041109,+0633473,0.020721,+0085376,+0627225,0.017851,+0396534,-0131127,0.020327,-0389336,+0632450,0.020387,+0859288,-1705675,14:15:04.648727
0.023912,+0041197,+0633570,0.023970,+0085564,+0627180,0.021087,+0396191,-0131052,0.023149,-0389269,+0632397,0.023212,+0859107,-1705536,14:15:04.648727
0.027156,+0041054,+0633568,0.027216,+0085510,+0627291,0.024325,+0396369,-0130934,0.026002,-0389420,+0632572,0.026061,+0859184,-1705550,14:15:04.648727
0.030408,+0040906,+0633762,0.030518,+0085473,+0627262,0.027560,+0396481,-0130756,0.028839,-0389284,+0632376,0.028957,+0859281,-1705508,14:15:04.648727
0.033656,+0040979,+0633409,0.033756,+0085563,+0627398,0.030795,+0396422,-0131233,0.031650,-0389439,+0632344,0.031745,+0859014,-1705478,14:15:04.648727
0.036904,+0041087,+0633442,0.036995,+0085634,+0627353,0.034032,+0396332,-0131202,0.034464,-0389227,+0632575,0.034534,+0859301,-1705552,14:15:04.648727
0.040149,+0041090,+0633587,0.040266,+0085625,+0627426,0.037327,+0396321,-0130967,0.040076,-0389266,+0632444,0.040208,+0859360,-1705529,14:15:04.648727
0.043393,+0041106,+0633512,0.043502,+0085443,+0627583,0.040561,+0396627,-0130950,0.042888,-0389226,+0632564,0.042995,+0859211,-1705593,14:15:04.648727
0.046638,+0040958,+0633397,0.046741,+0085681,+0627324,0.043800,+0396523,-0131088,0.045695,-0389251,+0632436,0.045781,+0858994,-1705605,14:15:04.648727
