===BEGIN_METADATA===
Test Name: 2026-03-13_134711_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: [60,75,95]mm [10,35,70]N
Test Type: Calibration Eval
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010937,+0037678,+0598562,0.011157,+0061670,+0603956,0.008345,+0379731,-0146820,0.008980,-0408880,+0600284,0.009038,+0857892,+0373498,13:47:16.384593
0.014246,+0037846,+0598452,0.014414,+0061636,+0603948,0.011580,+0379730,-0146833,0.011788,-0408980,+0600288,0.011846,+0857625,+0373430,13:47:16.451008
0.017542,+0037661,+0598315,0.017756,+0061224,+0603750,0.014950,+0378940,-0146086,0.017424,-0409523,+0600413,0.017483,+0857739,+0373415,13:47:16.451008
0.020787,+0037949,+0598733,0.020996,+0061537,+0603911,0.021425,+0379657,-0146382,0.020233,-0409309,+0600431,0.020293,+0857633,+0373571,13:47:16.451008
0.024039,+0037806,+0598497,0.024235,+0061635,+0603797,0.024780,+0379540,-0146648,0.023043,-0409089,+0600608,0.023103,+0857608,+0373350,13:47:16.451008
0.027384,+0037824,+0598471,0.027586,+0061546,+0603721,0.028014,+0379339,-0146371,0.025849,-0409481,+0600398,0.025908,+0857871,+0373731,13:47:16.451008
0.030631,+0037711,+0598347,0.030822,+0061409,+0603835,0.031249,+0378816,-0146440,0.031478,-0409014,+0600608,0.031554,+0857566,+0373644,13:47:16.451008
0.033895,+0037711,+0598505,0.034061,+0061409,+0603826,0.034492,+0378979,-0146654,0.034335,-0409386,+0600680,0.034395,+0857498,+0373543,13:47:16.451008
0.037257,+0038064,+0598518,0.037324,+0061638,+0604018,0.037730,+0379187,-0146091,0.037141,-0409298,+0600680,0.037199,+0857693,+0373717,13:47:16.451008
0.040508,+0037702,+0598465,0.040571,+0061823,+0603857,0.040965,+0379778,-0146545,0.039946,-0409227,+0600553,0.040004,+0857712,+0373543,13:47:16.451008
0.043764,+0037702,+0598594,0.043837,+0061823,+0603832,0.044276,+0379778,-0146518,0.042756,-0409086,+0600294,0.042814,+0857564,+0373546,13:47:16.451008
0.047081,+0037799,+0598460,0.047140,+0061415,+0603827,0.047511,+0378045,-0146681,0.045562,-0409050,+0600656,0.045622,+0857742,+0373632,13:47:16.451008
0.050325,+0037936,+0598282,0.050384,+0061710,+0603767,0.050749,+0379693,-0146528,0.048367,-0408733,+0600332,0.048427,+0857745,+0373634,13:47:16.451008
0.053584,+0037972,+0598345,0.053648,+0061534,+0603763,0.053986,+0378774,-0146674,0.054102,-0409350,+0600426,0.054044,+0857527,+0373550,13:47:16.451008
0.056889,+0037789,+0598268,0.057006,+0061557,+0603723,0.057221,+0379737,-0146711,0.056947,-0408834,+0600720,0.056831,+0857638,+0373730,13:47:16.451008
0.060133,+0037836,+0598372,0.060243,+0061721,+0603670,0.060459,+0379836,-0146814,0.059752,-0408717,+0600366,0.059618,+0857712,+0373473,13:47:16.517743
0.063398,+0037933,+0598647,0.063523,+0061683,+0603780,0.063696,+0379769,-0146506,0.062559,-0409015,+0600521,0.062407,+0857732,+0373687,13:47:16.517743
