===BEGIN_METADATA===
Test Name: 2026-03-15_135934_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Full new setup. Good calibrations. New stalk base with weights.
Test Type: Lab Medium
"Speed: 25ft/min,Stalk Spacing: 6inNumber of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010708,+0041559,+0601304,0.010920,+0073084,+0602050,0.008114,+0377591,-0148394,0.008969,-0408384,+0609870,0.009027,+0852370,+0445283,13:59:41.466775
0.013984,+0041534,+0601337,0.014191,+0073085,+0601925,0.011351,+0377322,-0148427,0.011776,-0408712,+0609914,0.011839,+0851726,+0444849,13:59:41.533183
0.017239,+0041438,+0601433,0.017532,+0072424,+0602429,0.014725,+0376640,-0148383,0.017413,-0411735,+0610909,0.017473,+0846238,+0446037,13:59:41.533183
0.020558,+0041260,+0601347,0.020770,+0072581,+0602410,0.017960,+0376750,-0147728,0.020222,-0411231,+0611012,0.020280,+0846986,+0445844,13:59:41.533183
0.023810,+0041210,+0601377,0.024013,+0072637,+0602413,0.021199,+0376714,-0147740,0.023063,-0411637,+0610768,0.023126,+0847206,+0445927,13:59:41.533183
0.027060,+0041326,+0601381,0.027251,+0072422,+0602361,0.024455,+0376796,-0147981,0.025986,-0411610,+0610842,0.025915,+0846348,+0445827,13:59:41.533183
0.030331,+0041434,+0601294,0.030508,+0072625,+0602095,0.027696,+0376997,-0147850,0.028829,-0409459,+0610592,0.028768,+0850381,+0445679,13:59:41.533183
0.033579,+0041297,+0601450,0.033754,+0072601,+0602496,0.030933,+0376804,-0148070,0.031638,-0411266,+0610789,0.031559,+0847162,+0445812,13:59:41.533183
0.036828,+0041496,+0601464,0.036993,+0072851,+0602388,0.034183,+0376984,-0147789,0.034443,-0410176,+0610831,0.034374,+0849630,+0445822,13:59:41.533183
0.040076,+0041292,+0601161,0.040238,+0072713,+0602355,0.037450,+0376875,-0147617,0.040135,-0410993,+0610986,0.039956,+0847310,+0445671,13:59:41.533183
0.043323,+0041379,+0601389,0.043474,+0072650,+0602403,0.040684,+0376939,-0147698,0.042957,-0411611,+0610968,0.042764,+0846548,+0445713,13:59:41.533183
0.046569,+0041393,+0601397,0.046715,+0072669,+0601944,0.043937,+0377150,-0147755,0.045764,-0411376,+0610319,0.045646,+0846663,+0445321,13:59:41.533183
