===BEGIN_METADATA===
Test Name: 2026-03-15_141941_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Full new setup. Good calibrations. New stalk base with weights. Top of stalks removed
Test Type: Lab Medium. Halves
"Speed: 25ft/min,Stalk Spacing: 6inNumber of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010772,+0040615,+0600426,0.010981,+0073843,+0602091,0.011202,+0377172,-0149309,0.009032,-0409039,+0610138,0.009091,+0849121,+0442077,14:19:44.586671
0.014053,+0040794,+0600265,0.014236,+0073498,+0601977,0.014458,+0377232,-0149260,0.011837,-0408906,+0610296,0.011902,+0848733,+0442062,14:19:44.653889
0.017297,+0040761,+0600525,0.017588,+0073678,+0602106,0.017803,+0377092,-0149307,0.017470,-0409113,+0610250,0.017529,+0849028,+0442242,14:19:44.653889
0.020612,+0040553,+0600549,0.020826,+0073735,+0602134,0.021039,+0377165,-0149365,0.020275,-0409085,+0610302,0.020334,+0848971,+0442231,14:19:44.653889
0.023858,+0040553,+0600460,0.024065,+0073732,+0602115,0.024278,+0377170,-0149297,0.023097,-0409085,+0609919,0.023155,+0848971,+0442250,14:19:44.653889
0.027105,+0040718,+0600457,0.027302,+0073733,+0602095,0.027513,+0377243,-0149210,0.026012,-0408983,+0610095,0.025954,+0849261,+0442091,14:19:44.653889
0.030349,+0040781,+0600583,0.030538,+0073929,+0601952,0.030748,+0377191,-0149375,0.028843,-0409273,+0610401,0.028785,+0849124,+0442048,14:19:44.653889
0.033600,+0040639,+0600471,0.033775,+0073713,+0602127,0.033983,+0377264,-0149484,0.031650,-0408744,+0610009,0.031572,+0849082,+0442363,14:19:44.653889
0.036846,+0040602,+0600511,0.037012,+0073668,+0602222,0.037219,+0377264,-0149492,0.037278,-0409173,+0610276,0.037152,+0849197,+0442452,14:19:44.653889
0.040148,+0040713,+0600496,0.040248,+0073630,+0601994,0.040454,+0377119,-0149194,0.040090,-0408868,+0610318,0.039940,+0849191,+0442294,14:19:44.653889
0.043395,+0040823,+0600480,0.043487,+0073772,+0602183,0.043693,+0377279,-0149533,0.042898,-0408963,+0610137,0.042740,+0849290,+0442044,14:19:44.653889
0.046640,+0040589,+0600642,0.046724,+0073589,+0602127,0.046980,+0377184,-0149406,0.045707,-0408835,+0610205,0.045529,+0849278,+0442383,14:19:44.653889
