===BEGIN_METADATA===
Test Name: 2026-03-26_115238_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: v3.2 tryout
Test Type: Lab Medium. Demo
"Speed: 25ft/min,Stalk Spacing: 6inNumber of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010943,+0053996,+0636551,0.011154,-8388608,-8388608,0.008343,+0439666,-0107446,0.008983,-0392444,+0613247,0.009041,+0864885,+0380707,11:52:42.012675
0.014251,+0053951,+0636504,0.014399,-8388608,-8388608,0.011579,+0439513,-0107411,0.011790,-0392561,+0613116,0.011850,+0864982,+0380707,11:52:42.082264
0.017532,+0052968,+0637157,0.017648,-8388608,-8388608,0.014960,+0439685,-0107657,0.017590,-0392391,+0613400,0.017471,+0864347,+0380892,11:52:42.082264
0.020776,+0052526,+0637353,0.020887,-8388608,-8388608,0.021442,+0439691,-0107611,0.020398,-0392900,+0613503,0.020260,+0864497,+0380805,11:52:42.082264
0.024051,+0052441,+0637043,0.024127,-8388608,-8388608,0.024738,+0439737,-0107568,0.023206,-0392540,+0613377,0.023060,+0864608,+0381090,11:52:42.082264
0.027305,+0052532,+0637253,0.027374,-8388608,-8388608,0.027973,+0439716,-0107366,0.026013,-0392782,+0613479,0.025848,+0864349,+0380986,11:52:42.082264
0.030554,+0053401,+0636585,0.030612,-8388608,-8388608,0.031213,+0439693,-0107569,0.031642,-0392971,+0613247,0.031463,+0864536,+0380869,11:52:42.082264
0.033807,+0053401,+0637262,0.033871,-8388608,-8388608,0.034524,+0439693,-0107458,0.034462,-0392971,+0613508,0.034300,+0864536,+0380970,11:52:42.082264
0.037061,+0052468,+0637277,0.037178,-8388608,-8388608,0.037759,+0439505,-0107408,0.037271,-0392781,+0613293,0.037119,+0864606,+0380731,11:52:42.082264
0.040354,+0053260,+0637560,0.040413,-8388608,-8388608,0.040996,+0439865,-0107469,0.040076,-0392678,+0613632,0.042703,+0864430,+0380868,11:52:42.082264
0.043614,+0053758,+0636585,0.043672,-8388608,-8388608,0.044235,+0439865,-0107392,0.042903,-0392208,+0613189,0.045490,+0864480,+0380902,11:52:42.082264
0.046870,+0053758,+0636462,0.046989,-8388608,-8388608,0.047472,+0439716,-0107422,0.045710,-0392455,+0613261,0.048324,+0865047,+0380829,11:52:42.082264
0.050115,+0054000,+0636641,0.050228,-8388608,-8388608,0.050706,+0439605,-0107473,0.051358,-0392155,+0613270,0.051112,+0864895,+0380572,11:52:42.082264
0.053370,+0054000,+0636174,0.053465,-8388608,-8388608,0.053959,+0439605,-0107409,0.054168,-0392237,+0613082,0.053901,+0864895,+0380876,11:52:42.082264
0.056618,+0053997,+0636581,0.056746,-8388608,-8388608,0.057248,+0439634,-0107426,0.056975,-0392242,+0613317,0.056687,+0864934,+0380689,11:52:42.082264
0.059886,+0053844,+0636286,0.059984,-8388608,-8388608,0.060485,+0439863,-0107378,0.059827,-0392271,+0613191,0.059473,+0864983,+0380729,11:52:42.082264
0.063139,+0053951,+0636564,0.063226,-8388608,-8388608,0.063724,+0439643,-0107542,0.062634,-0392199,+0612995,0.062263,+0864966,+0380889,11:52:42.082264
0.066388,+0054004,+0636415,0.066508,-8388608,-8388608,0.066960,+0439733,-0107519,0.065442,-0392271,+0613225,0.065050,+0865062,+0380944,11:52:42.082264
0.069634,+0053870,+0636537,0.069752,-8388608,-8388608,0.070195,+0439627,-0107642,0.068248,-0392202,+0612992,0.067843,+0865019,+0381036,11:52:42.082264
0.072879,+0053818,+0636567,0.072988,-8388608,-8388608,0.073480,+0439671,-0107654,0.071096,-0392146,+0612973,0.073422,+0865110,+0380967,11:52:42.082264
0.076123,+0053923,+0636409,0.076266,-8388608,-8388608,0.076771,+0439723,-0107405,0.076711,-0392426,+0613085,0.076208,+0865150,+0380711,11:52:42.082264
0.079370,+0053873,+0636474,0.079503,-8388608,-8388608,0.080007,+0439556,-0107370,0.079563,-0392165,+0613216,0.078994,+0864979,+0380728,11:52:42.082264
0.082646,+0053938,+0636514,0.082740,-8388608,-8388608,0.083252,+0439721,-0107632,0.082369,-0392335,+0613081,0.081782,+0864709,+0380837,11:52:42.082264
0.085893,+0054077,+0636524,0.086019,-8388608,-8388608,0.086489,+0439613,-0107456,0.085175,-0392293,+0613219,0.084568,+0864982,+0380908,11:52:42.082264
