===BEGIN_METADATA===
Test Name: 2026-03-27_124234_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: v3.2 w/accelerometer
Test Type: Lab Medium. Demo
"Speed: 50ft/min,Stalk Spacing: 6inNumber of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010935,+0043272,+0625144,0.011146,-8388608,-8388608,0.008333,+0403260,-0132994,0.008976,-0401190,+0596480,0.009034,+0855259,+0368563,12:42:40.563378
0.014254,+0043247,+0625369,0.014399,-8388608,-8388608,0.011572,+0403251,-0132991,0.011782,-0400978,+0596753,0.011841,+0855333,+0368969,12:42:40.628460
0.017532,+0041591,+0625838,0.017747,-8388608,-8388608,0.014945,+0402691,-0132774,0.017413,-0401904,+0596989,0.017471,+0854564,+0369113,12:42:40.628460
0.020778,+0041387,+0626298,0.020985,-8388608,-8388608,0.021420,+0402634,-0132877,0.020218,-0402052,+0596834,0.020277,+0854564,+0368994,12:42:40.628460
0.024041,+0041424,+0626062,0.024228,-8388608,-8388608,0.024659,+0402835,-0133058,0.023100,-0402057,+0596788,0.023164,+0854601,+0368820,12:42:40.628460
0.027287,+0041549,+0626140,0.027466,-8388608,-8388608,0.027893,+0402756,-0132981,0.025910,-0402008,+0596842,0.025975,+0854630,+0369099,12:42:40.628460
0.030534,+0041497,+0625396,0.030707,-8388608,-8388608,0.031132,+0402741,-0132864,0.031583,-0401608,+0596788,0.031667,+0854911,+0369016,12:42:40.628460
0.033799,+0041497,+0626233,0.033943,-8388608,-8388608,0.034387,+0402741,-0132752,0.034446,-0402012,+0596897,0.034506,+0854640,+0369060,12:42:40.628460
0.037061,+0041398,+0625428,0.037180,-8388608,-8388608,0.037624,+0402731,-0133055,0.037252,-0401675,+0596547,0.037311,+0854731,+0368985,12:42:40.628460
0.040397,+0042171,+0625802,0.040457,-8388608,-8388608,0.040864,+0402796,-0132842,0.040061,-0401443,+0596737,0.040119,+0854894,+0368812,12:42:40.628460
0.043647,+0043137,+0625634,0.043730,-8388608,-8388608,0.044099,+0402985,-0132904,0.042901,-0401470,+0596783,0.042964,+0855176,+0368937,12:42:40.628460
0.046916,+0042897,+0625281,0.046975,-8388608,-8388608,0.047453,+0403197,-0132911,0.045715,-0401239,+0596668,0.045775,+0855235,+0368838,12:42:40.628460
0.050263,+0043181,+0625122,0.050321,-8388608,-8388608,0.050690,+0403162,-0132898,0.048524,-0401171,+0596695,0.048583,+0855317,+0368963,12:42:40.628460
0.053516,+0043178,+0625188,0.053576,-8388608,-8388608,0.053929,+0403028,-0132773,0.051330,-0401277,+0596808,0.051395,+0855259,+0368914,12:42:40.628460
0.056762,+0043262,+0625171,0.056820,-8388608,-8388608,0.057164,+0403272,-0132971,0.057068,-0401316,+0596688,0.057002,+0855289,+0368936,12:42:40.628460
0.060022,+0043192,+0625029,0.060122,-8388608,-8388608,0.060399,+0403102,-0132927,0.059964,-0401031,+0596704,0.059836,+0855124,+0368872,12:42:40.628460
0.063273,+0043186,+0625124,0.063362,-8388608,-8388608,0.063637,+0403126,-0132963,0.062770,-0401200,+0596602,0.062625,+0855309,+0368889,12:42:40.628460
0.066517,+0043214,+0625253,0.066599,-8388608,-8388608,0.066874,+0403180,-0132856,0.065579,-0401485,+0596654,0.065413,+0855470,+0368714,12:42:40.629482
0.069762,+0043104,+0625360,0.069878,-8388608,-8388608,0.070111,+0403136,-0132914,0.068384,-0401380,+0596819,0.068199,+0855301,+0368993,12:42:40.629482
0.073008,+0043211,+0625115,0.073120,-8388608,-8388608,0.073352,+0403112,-0132827,0.071223,-0401148,+0596743,0.070989,+0855424,+0368902,12:42:40.629482
0.076253,+0043334,+0625061,0.076356,-8388608,-8388608,0.076625,+0403332,-0132773,0.074030,-0401297,+0596673,0.076567,+0855083,+0368773,12:42:40.629482
0.079502,+0043206,+0625220,0.079639,-8388608,-8388608,0.079917,+0403300,-0133123,0.079697,-0401163,+0596917,0.079355,+0855324,+0368926,12:42:40.629482
0.082784,+0043117,+0625051,0.082875,-8388608,-8388608,0.083162,+0403245,-0132859,0.082505,-0401184,+0596813,0.082144,+0855353,+0368809,12:42:40.728862
0.086029,+0043432,+0625338,0.086116,-8388608,-8388608,0.086398,+0402994,-0132806,0.085311,-0401372,+0596702,0.084935,+0855091,+0368911,12:42:40.728862
0.089275,+0043076,+0625140,0.089398,-8388608,-8388608,0.089633,+0403332,-0133029,0.088116,-0400994,+0596694,0.087721,+0855381,+0368660,12:42:40.728862
0.092560,+0043213,+0625474,0.092677,-8388608,-8388608,0.092885,+0403078,-0132904,0.090997,-0401464,+0596716,0.090507,+0855107,+0368818,12:42:40.728862
0.095806,+0043136,+0625044,0.095916,-8388608,-8388608,0.096121,+0403001,-0132858,0.093805,-0401106,+0596694,0.096183,+0855404,+0368799,12:42:40.728862
0.099054,+0043206,+0625202,0.099154,-8388608,-8388608,0.099355,+0403003,-0132835,0.099421,-0401216,+0596466,0.098988,+0855135,+0368812,12:42:40.728862
0.102302,+0043288,+0624798,0.102392,-8388608,-8388608,0.102592,+0403227,-0132930,0.102232,-0401271,+0596456,0.101775,+0855257,+0368831,12:42:40.728862
0.105548,+0043246,+0625079,0.105629,-8388608,-8388608,0.105829,+0403221,-0132884,0.105041,-0401220,+0596582,0.104575,+0855319,+0368802,12:42:40.728862
0.108812,+0043321,+0624992,0.108870,-8388608,-8388608,0.109064,+0403122,-0133050,0.107847,-0401267,+0596814,0.107361,+0855359,+0368813,12:42:40.728862
0.112173,+0043418,+0625255,0.112115,-8388608,-8388608,0.112328,+0403313,-0132864,0.110652,-0401051,+0596588,0.110147,+0855209,+0368889,12:42:40.728862
0.115419,+0043433,+0625107,0.115353,-8388608,-8388608,0.115563,+0403210,-0132954,0.113459,-0401218,+0596660,0.112938,+0855131,+0368830,12:42:40.728862
0.118664,+0043022,+0625238,0.118589,-8388608,-8388608,0.118798,+0403070,-0132850,0.116265,-0401473,+0596526,0.118514,+0855218,+0368937,12:42:40.728862
0.121967,+0043246,+0625192,0.121834,-8388608,-8388608,0.122034,+0403153,-0133036,0.121907,-0401088,+0596618,0.121301,+0855239,+0368914,12:42:40.728862
0.125213,+0043336,+0625083,0.125086,-8388608,-8388608,0.125271,+0403220,-0133234,0.124713,-0401248,+0596657,0.124090,+0855349,+0368792,12:42:40.728862
0.128457,+0043177,+0625320,0.128347,-8388608,-8388608,0.128568,+0403146,-0132811,0.127520,-0401228,+0596545,0.126893,+0855138,+0368585,12:42:40.728862
0.131702,+0043296,+0625258,0.131586,-8388608,-8388608,0.131821,+0403103,-0133087,0.130326,-0401159,+0596596,0.132472,+0855174,+0368837,12:42:40.728862
0.134948,+0043014,+0625392,0.134846,-8388608,-8388608,0.135055,+0403203,-0133084,0.133166,-0401093,+0596773,0.135260,+0855352,+0369025,12:42:40.728862
0.138193,+0043194,+0625158,0.138104,-8388608,-8388608,0.138328,+0403128,-0132856,0.135972,-0401239,+0596610,0.138046,+0855199,+0368773,12:42:40.729377
0.141439,+0043102,+0625087,0.141344,-8388608,-8388608,0.141565,+0403218,-0132947,0.141623,-0401238,+0596530,0.140832,+0855306,+0368504,12:42:40.729377
0.144712,+0043248,+0625154,0.144590,-8388608,-8388608,0.144799,+0403086,-0132942,0.144436,-0401205,+0596586,0.143620,+0855306,+0368845,12:42:40.729377
0.147956,+0043357,+0625251,0.147864,-8388608,-8388608,0.148090,+0403149,-0133032,0.147257,-0401246,+0596672,0.146411,+0855266,+0368949,12:42:40.729377
0.151204,+0043214,+0625227,0.151104,-8388608,-8388608,0.151333,+0403053,-0133011,0.152883,-0401345,+0596450,0.151987,+0855353,+0368951,12:42:40.761843
0.154447,+0043119,+0625054,0.154347,-8388608,-8388608,0.154568,+0403105,-0132970,0.152883,-0401258,+0596450,0.154789,+0855216,+0368727,12:42:40.761843
0.157692,+0043235,+0625203,0.157633,-8388608,-8388608,0.157856,+0402954,-0132998,0.155688,-0401084,+0596531,0.157575,+0855115,+0368813,12:42:40.761843
0.193505,+0041950,+0625406,0.193375,-8388608,-8388608,0.193585,+0402895,-0132989,0.192234,-0401230,+0596951,0.193933,+0854893,+0369049,12:42:40.761843
0.196779,+0043077,+0624899,0.196650,-8388608,-8388608,0.196838,+0402988,-0133087,0.195091,-0401243,+0596610,0.196720,+0855139,+0368661,12:42:40.761843
0.200026,+0043222,+0625305,0.199889,-8388608,-8388608,0.200086,+0403138,-0132979,0.197900,-0401410,+0596672,0.199506,+0855336,+0369010,12:42:40.761843
0.203272,+0043285,+0625223,0.203125,-8388608,-8388608,0.203330,+0403231,-0132899,0.200708,-0401117,+0596810,0.202292,+0855220,+0368902,12:42:40.761843
0.206538,+0043237,+0625377,0.206419,-8388608,-8388608,0.206631,+0403127,-0133071,0.206357,-0401184,+0596610,0.205080,+0855298,+0368871,12:42:40.761843
0.209783,+0043293,+0625155,0.209657,-8388608,-8388608,0.209868,+0403320,-0132939,0.209166,-0401219,+0596583,0.207873,+0855156,+0368809,12:42:40.761843
0.213029,+0043146,+0625208,0.212895,-8388608,-8388608,0.213103,+0403281,-0132807,0.211972,-0400944,+0596784,0.210660,+0855226,+0368799,12:42:40.761843
0.216317,+0043199,+0625189,0.216136,-8388608,-8388608,0.216376,+0403266,-0132835,0.214780,-0401134,+0596607,0.216258,+0855034,+0368831,12:42:40.761843
0.219563,+0043345,+0624982,0.219376,-8388608,-8388608,0.219621,+0403166,-0133051,0.217601,-0401257,+0596802,0.219062,+0855213,+0368842,12:42:40.761843
0.222807,+0043298,+0625314,0.222613,-8388608,-8388608,0.222866,+0403289,-0132864,0.220406,-0401277,+0596551,0.221868,+0855211,+0368897,12:42:40.761843
0.226138,+0043211,+0625008,0.225850,-8388608,-8388608,0.226196,+0403262,-0133019,0.226021,-0401261,+0596575,0.224678,+0854975,+0368947,12:42:40.761843
0.229382,+0043115,+0625097,0.229160,-8388608,-8388608,0.229440,+0403266,-0132897,0.228828,-0401421,+0596411,0.227483,+0855131,+0368995,12:42:40.761843
0.232627,+0043149,+0625111,0.232396,-8388608,-8388608,0.232686,+0403166,-0133137,0.231632,-0401368,+0596853,0.230289,+0855328,+0368737,12:42:40.761843
0.235957,+0043371,+0625241,0.235635,-8388608,-8388608,0.236016,+0403220,-0132851,0.234438,-0401290,+0596528,0.235900,+0855051,+0368616,12:42:40.761843
