===BEGIN_METADATA===
Test Name: 2026-04-08_205140_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010764,+0018871,+0622650,0.010968,-8388608,-8388608,0.011209,+0301453,-0141514,0.011830,-0399054,+0615011,0.011888,+0852671,+0378255,20:51:46.335064
0.014027,+0018907,+0622747,0.014212,-8388608,-8388608,0.014445,+0301307,-0141585,0.014663,-0399046,+0614991,0.014725,+0852823,+0377960,20:51:46.435809
0.017325,+0018942,+0622486,0.017453,-8388608,-8388608,0.017806,+0301398,-0141607,0.017513,-0399015,+0615044,0.017571,+0852985,+0378124,20:51:46.435809
0.020651,+0018806,+0622515,0.020710,-8388608,-8388608,0.021041,+0301411,-0141522,0.020317,-0398982,+0615045,0.020377,+0852750,+0378054,20:51:46.435809
0.023898,+0019227,+0622697,0.023960,-8388608,-8388608,0.024308,+0301533,-0141636,0.023125,-0398916,+0614881,0.023184,+0852711,+0378164,20:51:46.435809
0.027146,+0018852,+0622674,0.027206,-8388608,-8388608,0.027544,+0301306,-0141633,0.026043,-0398679,+0614941,0.025985,+0852664,+0378118,20:51:46.435809
0.030408,+0018893,+0622623,0.030507,-8388608,-8388608,0.030781,+0301399,-0141488,0.028947,-0398860,+0614957,0.028828,+0852709,+0378276,20:51:46.435809
0.033653,+0019087,+0622511,0.033746,-8388608,-8388608,0.034016,+0301461,-0141552,0.031752,-0398999,+0615055,0.031615,+0852581,+0377912,20:51:46.435809
0.036900,+0019000,+0622691,0.036983,-8388608,-8388608,0.037255,+0301428,-0141385,0.034557,-0398710,+0615141,0.037196,+0852781,+0377877,20:51:46.435809
