----------META DATA----------
SOFTWARE VERSION,2.3.0
DEVICE MAC ADDRESS,b8:27:eb:11:33:db
DEVICE OPERATOR,AL+CA
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,01:52:39,Local Time
PLOT,1001,#
TEST NUMBER,55,#
HEIGHT,76.6,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,Med lab Half length
PRE_TEST_NOTE_2,s05
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (ADC*A + B = stored_value)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.028949269317560866,-1.3346983708123412,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,0.011885895404120442,-64.83755942947695,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
79.50999999999999,91.973,-0.673,2.7182,0.0
116.923,92.021,-1.125,2.834,0.0
122.54599999999999,92.044,-1.125,2.8919,0.0
127.665,92.032,-1.125,2.8919,0.0
132.78199999999998,92.056,-1.429,2.9208,0.0
137.96800000000002,92.044,-1.657,2.8919,0.0
143.063,92.032,-1.963,2.9208,0.0
148.10399999999998,92.056,-0.448,2.9787,0.0
153.255,92.068,-1.201,2.9787,0.0
158.33,92.104,-0.298,3.0077,0.0
163.369,92.08,-1.201,3.0366,0.0
168.409,92.139,-0.673,3.0077,0.0
173.57399999999998,92.092,-1.581,3.0077,0.0
178.62599999999998,92.104,-1.05,3.0656,0.0
