----------META DATA----------
SOFTWARE VERSION,2.3.0
DEVICE MAC ADDRESS,b8:27:eb:11:33:db
DEVICE OPERATOR,AL+CA
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,02:03:07,Local Time
PLOT,1001,#
TEST NUMBER,80,#
HEIGHT,76.6,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,Med Lab Full Length
PRE_TEST_NOTE_2,s07
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (ADC*A + B = stored_value)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.028949269317560866,-1.3346983708123412,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,0.011885895404120442,-64.83755942947695,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
79.884,92.651,-0.448,3.6446,0.0
127.994,92.651,0.222,3.8472,0.0
133.525,92.698,0.297,3.8762,0.0
138.769,92.674,0.371,3.9051,0.0
143.87800000000001,92.71,0.222,3.8762,0.0
149.045,92.686,-0.0,3.9341,0.0
154.165,92.722,0.371,3.963,0.0
159.265,92.722,0.592,3.963,0.0
164.33100000000002,92.71,0.444,3.992,0.0
169.41699999999997,92.758,0.371,3.992,0.0
174.529,92.758,0.444,4.0209,0.0
179.678,92.781,0.592,3.963,0.0
184.768,92.781,0.297,3.992,0.0
189.965,92.781,0.297,4.0499,0.0
195.05499999999998,92.853,0.074,4.0209,0.0
