===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End,D_Start,D_End,E_Start,E_End
0,3.760,4.721,,,6.786,7.795,8.084,9.245,9.503,10.516
1,5.060,6.027,,,7.979,8.944,9.357,10.580,10.848,11.844
2,6.191,7.103,,,9.220,10.222,10.629,11.797,11.988,12.983
3,7.598,8.594,,,10.708,11.727,12.089,13.223,13.415,14.411
4,8.800,9.705,,,11.841,12.844,13.233,14.372,14.546,15.525
5,10.060,11.022,,,13.116,14.135,14.473,15.629,15.850,16.838
6,11.462,12.374,,,14.452,15.465,15.845,16.990,17.210,18.156
7,12.472,13.419,,,15.537,16.526,16.884,18.040,18.231,19.275
8,14.125,15.073,,,17.213,18.167,18.498,19.683,19.972,20.960
9,15.602,16.543,,,18.687,19.683,20.061,21.257,21.594,22.540
10,16.660,17.618,,,19.807,20.801,21.267,22.419,22.650,23.624
11,17.811,18.759,,,21.048,22.075,22.556,23.557,23.761,24.637
12,19.255,20.226,,,22.453,23.463,23.909,24.812,25.031,26.024
13,20.632,21.625,,,23.717,24.638,25.000,26.128,26.350,27.354
14,22.001,22.897,,,24.852,25.834,26.222,27.399,27.601,28.570
15,23.126,24.067,,,26.037,27.041,27.459,28.561,28.802,29.670
