===BEGIN_METADATA===
Test Name: 2026-06-01_135745_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Transient test at 95 mm,sensor 5
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-06-01_114440,kE1: 400760.0480001549,dE1: 0.0051895819381482,cE1: 1628.088568478357,kE2: 414429.2917922791,dE2: 0.0473708582349138,cE2: 901.1825807712156
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.010857,-8388608,-8388608,0.011054,-8388608,-8388608,0.011493,-8388608,-8388608,0.011884,-8388608,-8388608,0.011942,+0872914,-0209122,,,,,,,,,,,,,,,,,,,,,,,,,13:57:46.945614
0.014122,-8388608,-8388608,0.014294,-8388608,-8388608,0.014817,-8388608,-8388608,0.014699,-8388608,-8388608,0.014760,+0872856,-0209416,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012028
0.017407,-8388608,-8388608,0.017636,-8388608,-8388608,0.018053,-8388608,-8388608,0.017511,-8388608,-8388608,0.017573,+0872741,-0209243,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012100
0.020664,-8388608,-8388608,0.020873,-8388608,-8388608,0.021295,-8388608,-8388608,0.020324,-8388608,-8388608,0.020382,+0872532,-0209385,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012126
0.023919,-8388608,-8388608,0.024122,-8388608,-8388608,0.024655,-8388608,-8388608,0.023131,-8388608,-8388608,0.023192,+0872667,-0209244,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012153
0.027177,-8388608,-8388608,0.027458,-8388608,-8388608,0.027890,-8388608,-8388608,0.025939,-8388608,-8388608,0.025997,+0872924,-0209392,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012174
0.030484,-8388608,-8388608,0.030699,-8388608,-8388608,0.031129,-8388608,-8388608,0.028743,-8388608,-8388608,0.028802,+0872980,-0209333,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012194
0.033737,-8388608,-8388608,0.033941,-8388608,-8388608,0.034490,-8388608,-8388608,0.034368,-8388608,-8388608,0.034431,+0872715,-0209513,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012214
0.036999,-8388608,-8388608,0.037296,-8388608,-8388608,0.037724,-8388608,-8388608,0.037177,-8388608,-8388608,0.037236,+0872921,-0209457,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012235
0.040325,-8388608,-8388608,0.040534,-8388608,-8388608,0.040959,-8388608,-8388608,0.039990,-8388608,-8388608,0.040051,+0872966,-0209380,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012254
0.043597,-8388608,-8388608,0.043779,-8388608,-8388608,0.044203,-8388608,-8388608,0.042800,-8388608,-8388608,0.042864,+0872526,-0209231,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012285
0.046862,-8388608,-8388608,0.047015,-8388608,-8388608,0.047438,-8388608,-8388608,0.045723,-8388608,-8388608,0.045655,+0872421,-0209560,,,,,,,,,,,,,,,,,,,,,,,,,13:57:47.012306
