===BEGIN_METADATA===
Test Name: 2026-06-02_142659_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Transient test, new filter characteristics, at 60mm
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-06-02_141512,kE1: 399957.2154399161,dE1: 0.0049884628004022,cE1: 3321.271967449924,kE2: 414819.21561406605,dE2: 0.0472948365972602,cE2: 1998.9488005689343
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.010705,-8388608,-8388608,0.010915,-8388608,-8388608,0.011340,-8388608,-8388608,0.011769,-8388608,-8388608,0.011827,+1140540,+1033694,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.916265
0.013961,-8388608,-8388608,0.014155,-8388608,-8388608,0.014654,-8388608,-8388608,0.014591,-8388608,-8388608,0.014712,+1140742,+1033855,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949265
0.017238,-8388608,-8388608,0.017392,-8388608,-8388608,0.017889,-8388608,-8388608,0.017450,-8388608,-8388608,0.017510,+1140077,+1033791,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949339
0.020595,-8388608,-8388608,0.020654,-8388608,-8388608,0.021124,-8388608,-8388608,0.020261,-8388608,-8388608,0.020320,+1139091,+1032744,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949373
0.023845,-8388608,-8388608,0.023908,-8388608,-8388608,0.024383,-8388608,-8388608,0.023072,-8388608,-8388608,0.023139,+1138501,+1033329,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949405
0.027100,-8388608,-8388608,0.027160,-8388608,-8388608,0.027621,-8388608,-8388608,0.025886,-8388608,-8388608,0.025944,+1138830,+1033389,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949438
0.030436,-8388608,-8388608,0.030499,-8388608,-8388608,0.030858,-8388608,-8388608,0.028694,-8388608,-8388608,0.028755,+1137460,+1033319,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949471
0.033693,-8388608,-8388608,0.033759,-8388608,-8388608,0.034107,-8388608,-8388608,0.031502,-8388608,-8388608,0.031562,+1137964,+1033257,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949505
0.036949,-8388608,-8388608,0.037010,-8388608,-8388608,0.037407,-8388608,-8388608,0.037133,-8388608,-8388608,0.037256,+1136811,+1033030,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949535
0.040314,-8388608,-8388608,0.040250,-8388608,-8388608,0.040646,-8388608,-8388608,0.039975,-8388608,-8388608,0.040153,+1139175,+1033527,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949565
0.043566,-8388608,-8388608,0.043490,-8388608,-8388608,0.043887,-8388608,-8388608,0.042792,-8388608,-8388608,0.042944,+1136737,+1032955,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949593
0.046810,-8388608,-8388608,0.046735,-8388608,-8388608,0.047186,-8388608,-8388608,0.045623,-8388608,-8388608,0.045732,+1136967,+1032996,,,,,,,,,,,,,,,,,,,,,,,,,14:27:03.949620
