===BEGIN_METADATA===
Test Name: 2026-06-10_115136_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration
Loads (N): 5 35 60,Positions (mm): 60 75 95
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 001
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.008176,13,-62,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.677972
0.011403,13,110,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.01468,-8,-9,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.017907,-138,10,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.021132,-49,29,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.024364,-156,3,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.027591,-22,-2,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.030818,-79,-67,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.034047,-49,-35,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.03728,-192,-15,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.040506,-181,-153,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.043741,-206,40,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.046966,147,77,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.050193,-122,-156,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.053426,-107,42,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.056659,-146,9,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
0.059884,-7,-24,,,,,,,,,,,,,,,,,,,,,,,,,11:51:41.944739
