===BEGIN_METADATA===
Test Name: 2026-06-10_190041_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7900
Note: new DAQ PCB
Test Type: Lab Trials
Stalks: Medium B-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A C E,Sensor SNs: 002 004 011
ICB-Sensor A's Latest Calibration: 2026-02-28_191825,kA1: 285806.85492483515,dA1: 0.0038186954053924,cA1: 1779.0295562932731,kA2: 278780.10405734595,dA2: 0.0456960408628126,cA2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-26_195246,kC1: 327901.7793019196,dC1: 0.0055431319529345,cC1: 1092.3920580442064,kC2: 331651.3310431668,dC2: 0.0445085069339955,cC2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2027-02-28_181436,kE1: 349273.60227475094,dE1: 0.0045245532907721,cE1: 1102.3374494942836,kE2: 346675.0994387471,dE2: 0.0451524381538289,cE2: 681.8182371353614
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.000677,+1474182,+0832058,0.001123,+0814179,+0543531,0.001414,+0692146,+0590695,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.539319
0.003914,+1474190,+0832154,0.004363,+0814329,+0543498,0.004649,+0691976,+0590768,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.007144,+1474133,+0831967,0.007604,+0814000,+0543547,0.007884,+0692027,+0590643,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.010381,+1474059,+0832063,0.010843,+0814217,+0543550,0.011130,+0692160,+0590827,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.013701,+1474059,+0832214,0.014101,+0814217,+0543632,0.014378,+0692096,+0590642,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.016937,+1474177,+0832044,0.017340,+0813942,+0543361,0.017614,+0692187,+0590512,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.020194,+1473977,+0832162,0.020583,+0813973,+0543489,0.020856,+0692043,+0590612,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.023466,+1474113,+0831933,0.023823,+0813693,+0543412,0.024095,+0692071,+0590746,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.026700,+1474028,+0831900,0.027064,+0813866,+0543324,0.027341,+0692189,+0590688,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.029939,+1474011,+0832144,0.030315,+0814057,+0543441,0.030579,+0692036,+0590661,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.033215,+1474131,+0832137,0.033559,+0814098,+0543639,0.033819,+0692003,+0590363,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.036448,+1474298,+0831994,0.036802,+0814095,+0543491,0.037055,+0692269,+0590618,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.039686,+1474057,+0832078,0.040042,+0813946,+0543476,0.040291,+0692175,+0590567,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.042970,+1474039,+0832072,0.043288,+0814050,+0543646,0.043531,+0692185,+0590724,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.046203,+1474088,+0832040,0.046528,+0814164,+0543402,0.046768,+0692029,+0590744,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.049434,+1474199,+0832221,0.049767,+0813874,+0543590,0.050003,+0691985,+0590690,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.052672,+1474272,+0832094,0.053005,+0814158,+0543523,0.053245,+0692073,+0590614,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.055902,+1474132,+0832136,0.056244,+0813954,+0543357,0.056481,+0691960,+0590582,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.059135,+1473926,+0832030,0.059483,+0813957,+0543412,0.059716,+0692139,+0590618,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
0.062371,+1474246,+0831991,0.062721,+0814097,+0543482,0.062953,+0692076,+0590736,,,,,,,,,,,,,,,,,,,,,,,,,19:00:43.606029
