===BEGIN_METADATA===
Test Name: 2026-06-10_190300_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7900
Note: new DAQ PCB
Test Type: Lab Trials
Stalks: Medium B-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A C E,Sensor SNs: 001 003 005
ICB-Sensor A's Latest Calibration: 2026-06-10_120245,kA1: 351744.8279932664,dA1: 0.0047992474300278,cA1: 574.4369624970714,kA2: 347604.75378667994,dA2: 0.0452453444842415,cA2: 26.023574759543408
ICB-Sensor C's Latest Calibration: 2026-06-10_123441,kC1: 404490.3474918268,dC1: 0.0058500260575673,cC1: -424.13011759193614,kC2: 405133.76531753375,dC2: 0.0464478645606266,cC2: -666.3897116323351
ICB-Sensor E's Latest Calibration: 2026-06-10_125420,kE1: 400701.3726474917,dE1: 0.0048205226419293,cE1: 882.2936293203384,kE2: 414755.3371693164,dE2: 0.0469718114713248,cE2: 464.95427689049393
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.000619,+0748296,+1069437,0.000997,+0573226,+1042612,0.001301,+1081067,+1142882,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.175235
0.003846,+0748438,+1069503,0.004226,+0573339,+1042528,0.004529,+1081003,+1142863,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.007074,+0748339,+1069747,0.007457,+0573219,+1042571,0.007757,+1081108,+1142712,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.010307,+0748211,+1069742,0.010692,+0573385,+1042505,0.010989,+1081043,+1142801,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.013629,+0748211,+1069599,0.013937,+0573210,+1042696,0.014224,+1081080,+1142806,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.016858,+0748018,+1069773,0.017168,+0572966,+1042583,0.017452,+1081023,+1142812,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.020086,+0747993,+1069650,0.020396,+0573239,+1042729,0.020681,+1080996,+1142868,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.023337,+0748007,+1069713,0.023629,+0573155,+1042730,0.023916,+1080993,+1142721,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.026563,+0747906,+1069595,0.026858,+0573354,+1042614,0.027145,+1080949,+1142664,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.029820,+0747923,+1069680,0.030091,+0573205,+1042655,0.030381,+1081051,+1142712,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.033073,+0747932,+1069764,0.033322,+0573246,+1042525,0.033625,+1081072,+1142844,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.036304,+0747856,+1069709,0.036551,+0573190,+1042600,0.036865,+1080989,+1142954,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.039534,+0747911,+1069737,0.039779,+0573295,+1042785,0.040095,+1080908,+1142857,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.042778,+0747826,+1069552,0.043019,+0573155,+1042632,0.043330,+1080870,+1142911,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.046021,+0748398,+1069627,0.046250,+0573346,+1042730,0.046558,+1081015,+1142860,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.049248,+0748255,+1069602,0.049482,+0573301,+1042567,0.049786,+1081038,+1142779,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.052479,+0748316,+1069822,0.052711,+0573375,+1042705,0.053022,+1081030,+1143037,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.055705,+0748369,+1069656,0.055939,+0573256,+1042715,0.056251,+1081071,+1142912,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.058932,+0748111,+1069739,0.059170,+0573327,+1042650,0.059480,+1081104,+1142905,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.062163,+0748111,+1069641,0.062398,+0573562,+1042686,0.062709,+1081028,+1142785,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.065388,+0748442,+1069536,0.065629,+0573288,+1042515,0.065937,+1081066,+1142836,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.068615,+0748337,+1069521,0.068857,+0573268,+1042735,0.069165,+1080999,+1142861,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.071844,+0748337,+1069396,0.072094,+0573268,+1042746,0.072395,+1081102,+1142546,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.075069,+0748505,+1069641,0.075322,+0573302,+1042684,0.075624,+1081007,+1142918,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.078294,+0748167,+1069533,0.078551,+0573204,+1042314,0.078852,+1080934,+1142651,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.081526,+0748317,+1069589,0.081783,+0573168,+1042530,0.082084,+1081018,+1142760,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.084753,+0748441,+1069525,0.085012,+0573269,+1042615,0.085312,+1081096,+1142952,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.087980,+0748525,+1069554,0.088244,+0573311,+1042721,0.088542,+1080856,+1142853,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.091213,+0748419,+1069556,0.091472,+0573278,+1042763,0.091773,+1081055,+1142744,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.094480,+0748167,+1069526,0.094717,+0573180,+1042644,0.095027,+1080918,+1142804,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.097745,+0748335,+1069442,0.097945,+0573430,+1042675,0.098255,+1081099,+1142765,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.100979,+0748484,+1069687,0.101174,+0573301,+1042709,0.101493,+1081034,+1142884,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.104217,+0748286,+1069588,0.104402,+0573232,+1042705,0.104722,+1081125,+1142787,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.107444,+0748377,+1069590,0.107635,+0573206,+1042691,0.107950,+1080995,+1142744,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.110669,+0748355,+1069541,0.110865,+0573179,+1042560,0.111178,+1081005,+1142891,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.113902,+0748381,+1069794,0.114096,+0573178,+1042654,0.114408,+1081044,+1142694,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.117129,+0748346,+1069629,0.117326,+0573259,+1042504,0.117636,+1081003,+1142829,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.120354,+0748522,+1069710,0.120554,+0573355,+1042643,0.120866,+1080884,+1142892,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.123585,+0748319,+1069546,0.123785,+0573445,+1042728,0.124097,+1081095,+1142783,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.126811,+0748329,+1069604,0.127014,+0573375,+1042689,0.127325,+1081119,+1142832,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.130038,+0748495,+1069661,0.130246,+0573330,+1042790,0.130553,+1080838,+1142810,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.133267,+0748290,+1069689,0.133474,+0573343,+1042735,0.133783,+1081130,+1142913,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.136492,+0748173,+1069690,0.136705,+0573290,+1042636,0.137015,+1081015,+1142890,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.306106
0.139718,+0748210,+1069575,0.139934,+0573240,+1042517,0.140247,+1081161,+1142928,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.142956,+0748382,+1069620,0.143168,+0573239,+1042537,0.143474,+1081092,+1142930,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.146259,+0748438,+1069609,0.146400,+0573274,+1042682,0.146712,+1081062,+1142844,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.149492,+0748622,+1069619,0.149630,+0573142,+1042667,0.149949,+1081088,+1142817,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
0.152732,+0748324,+1069770,0.152859,+0573425,+1042781,0.153217,+1081114,+1142830,,,,,,,,,,,,,,,,,,,,,,,,,19:03:01.375079
