===BEGIN_METADATA===
Test Name: 2026-06-16_200427_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration Verify
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.008170,+0679536,+0908807,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.690476
0.011402,+0679350,+0908717,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.014713,+0679350,+0908939,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.017953,+0679430,+0908870,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.021186,+0679303,+0908933,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.024452,+0679322,+0908765,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.027691,+0679486,+0908974,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.030925,+0679297,+0908914,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.034176,+0679352,+0908839,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.037406,+0679359,+0908839,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.040639,+0679330,+0908725,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.043876,+0679368,+0908788,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.047112,+0679401,+0908903,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.050345,+0679339,+0908671,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.053583,+0679461,+0908826,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.056816,+0679311,+0908757,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.060047,+0679299,+0908865,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.063313,+0679179,+0908823,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.066546,+0679258,+0908769,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
0.069776,+0679148,+0908926,,,,,,,,,,,,,,,,,,,,,,,,,20:04:29.824006
