===BEGIN_METADATA===
"This CSV contains gyroscope, accelerometer, and magnetometer data synced with the test named below."
Test Name: 2026-07-07_150514_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Calibrations: (not implemented yet)
===END_METADATA===
===BEGIN_DATA===
Time (sec),Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Processed_Time
0.000204,+0000016,+0000005,+0000003,+0000058,-0000088,+0004151,-0000800,+0000520,-0002362,15:05:18.312816
0.000534,+0000004,-0000010,-0000008,+0000077,-0000091,+0004149,-0000800,+0000520,-0002362,15:05:18.312816
0.000867,+0000008,-0000013,+0000000,+0000060,-0000073,+0004145,-0000800,+0000520,-0002362,15:05:18.312816
0.001200,+0000011,-0000047,-0000012,+0000074,-0000069,+0004154,-0000790,+0000524,-0002331,15:05:18.312816
0.001533,+0000027,-0000045,-0000019,+0000062,-0000080,+0004151,-0000790,+0000524,-0002331,15:05:18.312816
0.001866,+0000000,-0000028,+0000003,+0000061,-0000115,+0004185,-0000790,+0000524,-0002331,15:05:18.312816
0.002199,-0000017,+0000004,+0000003,+0000072,-0000100,+0004158,-0000798,+0000548,-0002345,15:05:18.312816
0.002532,+0000008,-0000021,-0000018,+0000062,-0000102,+0004148,-0000798,+0000548,-0002345,15:05:18.312816
0.002865,+0000014,-0000021,+0000004,+0000041,-0000088,+0004151,-0000798,+0000548,-0002345,15:05:18.312816
0.003198,+0000019,-0000035,-0000016,+0000074,-0000085,+0004152,-0000802,+0000540,-0002342,15:05:18.312816
0.003531,+0000020,-0000042,-0000005,+0000080,-0000074,+0004164,-0000802,+0000540,-0002342,15:05:18.312816
0.003864,+0000021,-0000023,+0000006,+0000064,-0000091,+0004149,-0000802,+0000540,-0002342,15:05:18.312816
0.004197,+0000011,-0000018,-0000019,+0000084,-0000075,+0004155,-0000806,+0000532,-0002337,15:05:18.312816
0.004530,+0000002,-0000009,-0000005,+0000055,-0000095,+0004162,-0000806,+0000532,-0002337,15:05:18.312816
0.004863,+0000008,-0000018,-0000010,+0000045,-0000098,+0004154,-0000806,+0000532,-0002337,15:05:18.312816
0.005196,+0000022,-0000033,-0000002,+0000060,-0000069,+0004136,-0000810,+0000516,-0002362,15:05:18.312816
0.005529,+0000019,-0000012,-0000004,+0000066,-0000092,+0004151,-0000810,+0000516,-0002362,15:05:18.312816
0.005862,+0000010,-0000037,-0000016,+0000067,-0000083,+0004154,-0000810,+0000516,-0002362,15:05:18.312816
0.006195,+0000010,-0000005,-0000008,+0000068,-0000073,+0004163,-0000802,+0000520,-0002354,15:05:18.312816
0.006528,-0000005,-0000008,+0000005,+0000073,-0000064,+0004179,-0000802,+0000520,-0002354,15:05:18.312816
0.006861,+0000023,-0000026,-0000021,+0000078,-0000101,+0004144,-0000802,+0000520,-0002354,15:05:18.312816
0.007194,+0000011,-0000032,-0000012,+0000088,-0000093,+0004151,-0000796,+0000512,-0002350,15:05:18.312816
0.007527,+0000003,-0000021,+0000000,+0000050,-0000087,+0004150,-0000796,+0000512,-0002350,15:05:18.312816
0.007860,+0000010,-0000021,-0000007,+0000054,-0000072,+0004156,-0000796,+0000512,-0002350,15:05:18.312816
0.008193,+0000022,-0000021,-0000016,+0000066,-0000080,+0004153,-0000800,+0000524,-0002341,15:05:18.312816
0.008526,-0000006,-0000005,-0000010,+0000065,-0000095,+0004153,-0000800,+0000524,-0002341,15:05:18.312816
0.008859,+0000019,-0000027,-0000008,+0000058,-0000087,+0004146,-0000800,+0000524,-0002341,15:05:18.312816
0.009192,+0000021,-0000036,-0000013,+0000062,-0000099,+0004156,-0000810,+0000528,-0002319,15:05:18.312816
0.009525,+0000027,-0000032,-0000003,+0000059,-0000097,+0004157,-0000810,+0000528,-0002319,15:05:18.312816
0.009858,+0000025,-0000015,-0000016,+0000081,-0000095,+0004168,-0000810,+0000528,-0002319,15:05:18.315403
0.010192,+0000009,-0000026,-0000010,+0000060,-0000086,+0004150,-0000796,+0000520,-0002357,15:05:18.315403
0.010530,-0000005,-0000002,-0000007,+0000068,-0000068,+0004170,-0000796,+0000520,-0002357,15:05:18.315403
0.011140,+0000024,-0000037,-0000021,+0000065,-0000076,+0004154,-0000796,+0000520,-0002357,15:05:18.316825
0.011360,+0000024,-0000037,-0000021,+0000063,-0000078,+0004162,-0000812,+0000514,-0002363,15:05:18.316825
0.011568,+0000005,-0000013,+0000001,+0000063,-0000078,+0004162,-0000812,+0000514,-0002363,15:05:18.316825
0.011859,+0000009,-0000014,-0000010,+0000076,-0000087,+0004170,-0000812,+0000514,-0002363,15:05:18.316825
0.012191,+0000029,-0000027,-0000004,+0000069,-0000098,+0004174,-0000816,+0000526,-0002362,15:05:18.316825
0.012524,+0000005,-0000024,-0000005,+0000045,-0000099,+0004173,-0000816,+0000526,-0002362,15:05:18.316825
0.012855,+0000022,-0000032,-0000015,+0000057,-0000082,+0004154,-0000816,+0000526,-0002362,15:05:18.316825
0.013190,+0000011,-0000030,-0000010,+0000052,-0000100,+0004150,-0000796,+0000524,-0002351,15:05:18.316825
0.013522,+0000023,-0000046,-0000012,+0000073,-0000096,+0004162,-0000796,+0000524,-0002351,15:05:18.316825
0.013854,+0000012,-0000005,-0000007,+0000065,-0000123,+0004148,-0000796,+0000524,-0002351,15:05:18.316825
0.014187,+0000013,-0000019,-0000002,+0000045,-0000093,+0004157,-0000808,+0000536,-0002367,15:05:18.316825
0.014520,-0000005,-0000003,+0000000,+0000068,-0000101,+0004134,-0000808,+0000536,-0002367,15:05:18.316825
0.014853,+0000020,-0000030,-0000010,+0000054,-0000087,+0004148,-0000808,+0000536,-0002367,15:05:18.316825
0.015186,+0000020,-0000036,-0000013,+0000040,-0000080,+0004176,-0000802,+0000526,-0002360,15:05:18.316825
0.015519,+0000016,-0000047,-0000013,+0000052,-0000066,+0004150,-0000802,+0000526,-0002360,15:05:18.316825
0.015853,+0000002,-0000012,-0000007,+0000054,-0000090,+0004146,-0000802,+0000526,-0002360,15:05:18.316825
0.016185,+0000000,-0000007,-0000002,+0000065,-0000089,+0004164,-0000798,+0000532,-0002365,15:05:18.316825
0.016519,+0000024,-0000036,-0000008,+0000061,-0000082,+0004148,-0000798,+0000532,-0002365,15:05:18.316825
0.016851,+0000019,-0000031,+0000001,+0000056,-0000100,+0004157,-0000798,+0000532,-0002365,15:05:18.316825
0.017184,+0000019,-0000043,-0000016,+0000063,-0000086,+0004157,-0000824,+0000530,-0002339,15:05:18.316825
0.017517,+0000021,-0000005,-0000003,+0000045,-0000088,+0004160,-0000824,+0000530,-0002339,15:05:18.316825
0.017850,+0000009,-0000023,-0000016,+0000052,-0000081,+0004156,-0000824,+0000530,-0002339,15:05:18.316825
0.018183,-0000014,+0000000,+0000006,+0000061,-0000105,+0004156,-0000812,+0000524,-0002340,15:05:18.316825
0.018516,+0000014,-0000037,-0000011,+0000057,-0000084,+0004121,-0000812,+0000524,-0002340,15:05:18.316825
0.018849,+0000022,-0000036,-0000010,+0000067,-0000085,+0004153,-0000812,+0000524,-0002340,15:05:18.316825
0.019182,+0000013,-0000024,-0000007,+0000055,-0000083,+0004138,-0000804,+0000522,-0002336,15:05:18.316825
0.019515,+0000003,-0000018,-0000007,+0000072,-0000086,+0004162,-0000804,+0000522,-0002336,15:05:18.316825
0.019848,+0000014,-0000027,-0000011,+0000059,-0000084,+0004138,-0000804,+0000522,-0002336,15:05:18.316825
0.020181,+0000003,-0000005,-0000005,+0000065,-0000089,+0004150,-0000806,+0000528,-0002319,15:05:18.316825
0.020514,+0000003,-0000032,-0000016,+0000070,-0000080,+0004150,-0000806,+0000528,-0002319,15:05:18.316825
0.020847,+0000027,-0000030,-0000007,+0000044,-0000084,+0004145,-0000806,+0000528,-0002319,15:05:18.316825
0.021180,+0000006,-0000027,-0000013,+0000071,-0000106,+0004155,-0000804,+0000530,-0002319,15:05:18.316825
0.021513,+0000022,-0000018,-0000015,+0000078,-0000093,+0004156,-0000804,+0000530,-0002319,15:05:18.316825
0.021846,+0000008,-0000012,-0000005,+0000066,-0000097,+0004162,-0000804,+0000530,-0002319,15:05:18.316825
0.022179,+0000006,-0000011,-0000006,+0000084,-0000085,+0004150,-0000804,+0000524,-0002344,15:05:18.316825
0.022512,+0000017,-0000029,+0000005,+0000066,-0000089,+0004150,-0000804,+0000524,-0002344,15:05:18.316825
0.022845,+0000025,-0000035,-0000019,+0000065,-0000093,+0004139,-0000804,+0000524,-0002344,15:05:18.316825
0.023178,+0000011,-0000037,-0000010,+0000051,-0000096,+0004157,-0000804,+0000524,-0002333,15:05:18.316825
0.023511,+0000008,-0000016,-0000011,+0000070,-0000090,+0004148,-0000804,+0000524,-0002333,15:05:18.316825
0.023844,+0000005,-0000013,-0000014,+0000061,-0000080,+0004139,-0000804,+0000524,-0002333,15:05:18.316825
0.024177,+0000000,+0000003,+0000011,+0000073,-0000092,+0004147,-0000802,+0000528,-0002331,15:05:18.316825
0.024510,+0000003,-0000008,-0000002,+0000071,-0000075,+0004145,-0000802,+0000528,-0002331,15:05:18.316825
0.024843,+0000011,-0000034,-0000010,+0000042,-0000077,+0004148,-0000802,+0000528,-0002331,15:05:18.316825
0.025176,+0000014,-0000023,-0000017,+0000048,-0000105,+0004165,-0000812,+0000520,-0002332,15:05:18.316825
0.025509,+0000013,-0000029,+0000000,+0000077,-0000078,+0004150,-0000812,+0000520,-0002332,15:05:18.316825
0.025842,+0000008,-0000007,-0000010,+0000052,-0000089,+0004151,-0000812,+0000520,-0002332,15:05:18.316825
0.026175,+0000010,-0000015,+0000000,+0000064,-0000096,+0004160,-0000808,+0000520,-0002314,15:05:18.316825
0.026508,+0000008,-0000024,-0000010,+0000054,-0000076,+0004137,-0000808,+0000520,-0002314,15:05:18.316825
0.026841,+0000030,-0000040,-0000013,+0000071,-0000084,+0004121,-0000808,+0000520,-0002314,15:05:18.316825
0.027174,+0000030,-0000029,-0000011,+0000051,-0000097,+0004153,-0000816,+0000524,-0002328,15:05:18.316825
0.027507,+0000010,-0000021,-0000012,+0000057,-0000093,+0004143,-0000816,+0000524,-0002328,15:05:18.316825
0.027840,-0000005,-0000008,+0000001,+0000062,-0000092,+0004156,-0000816,+0000524,-0002328,15:05:18.316825
0.028173,+0000016,-0000020,-0000014,+0000064,-0000087,+0004151,-0000812,+0000534,-0002346,15:05:18.316825
0.028506,+0000010,-0000036,-0000002,+0000058,-0000091,+0004154,-0000812,+0000534,-0002346,15:05:18.316825
0.028839,+0000014,-0000044,-0000014,+0000056,-0000090,+0004134,-0000812,+0000534,-0002346,15:05:18.316825
0.029172,+0000016,-0000019,-0000014,+0000071,-0000093,+0004151,-0000806,+0000524,-0002338,15:05:18.316825
0.029505,-0000011,-0000010,-0000016,+0000078,-0000088,+0004166,-0000806,+0000524,-0002338,15:05:18.316825
0.029838,-0000001,-0000005,+0000003,+0000072,-0000094,+0004161,-0000806,+0000524,-0002338,15:05:18.316825
0.030171,+0000013,-0000021,-0000005,+0000060,-0000084,+0004178,-0000810,+0000520,-0002377,15:05:18.316825
0.030504,+0000012,-0000040,-0000014,+0000071,-0000090,+0004157,-0000810,+0000520,-0002377,15:05:18.316825
0.030837,+0000025,-0000043,-0000015,+0000041,-0000080,+0004158,-0000810,+0000520,-0002377,15:05:18.316825
0.031170,+0000016,-0000018,-0000018,+0000064,-0000085,+0004157,-0000802,+0000518,-0002365,15:05:18.316825
0.031503,+0000002,-0000005,-0000002,+0000069,-0000092,+0004158,-0000802,+0000518,-0002365,15:05:18.316825
0.031836,+0000014,-0000024,-0000007,+0000088,-0000127,+0004138,-0000802,+0000518,-0002365,15:05:18.316825
0.032169,+0000010,-0000015,-0000008,+0000058,-0000101,+0004160,-0000810,+0000526,-0002340,15:05:18.316825
0.032502,+0000019,-0000032,-0000002,+0000064,-0000100,+0004161,-0000810,+0000526,-0002340,15:05:18.316825
0.032835,+0000028,-0000031,-0000016,+0000071,-0000076,+0004135,-0000810,+0000526,-0002340,15:05:18.316825
0.033194,+0000008,-0000007,-0000002,+0000066,-0000073,+0004151,-0000814,+0000518,-0002331,15:05:18.316825
0.033501,+0000002,-0000018,-0000007,+0000058,-0000085,+0004140,-0000814,+0000518,-0002331,15:05:18.316825
0.033834,+0000027,-0000035,-0000019,+0000059,-0000093,+0004140,-0000814,+0000518,-0002331,15:05:18.316825
0.034168,+0000018,-0000027,-0000005,+0000062,-0000093,+0004159,-0000812,+0000526,-0002336,15:05:18.316825
0.034500,+0000013,-0000013,-0000010,+0000060,-0000098,+0004160,-0000812,+0000526,-0002336,15:05:18.316825
0.034833,+0000021,-0000023,-0000002,+0000080,-0000083,+0004138,-0000812,+0000526,-0002336,15:05:18.316825
0.035166,+0000019,-0000028,-0000010,+0000077,-0000084,+0004144,-0000820,+0000516,-0002344,15:05:18.316825
0.035499,+0000002,-0000013,-0000019,+0000075,-0000102,+0004140,-0000820,+0000516,-0002344,15:05:18.316825
0.035832,+0000009,-0000014,-0000002,+0000052,-0000090,+0004134,-0000820,+0000516,-0002344,15:05:18.316825
0.036165,+0000011,-0000011,-0000013,+0000065,-0000071,+0004148,-0000792,+0000528,-0002326,15:05:18.316825
0.036498,+0000006,-0000021,-0000005,+0000077,-0000093,+0004148,-0000792,+0000528,-0002326,15:05:18.316825
