===BEGIN_METADATA===
Test Name: 2026-07-13_114604_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Raw Calib
Test Type: Calibration
Loads (N): 5 35 70,Positions (mm): 60 100 120 154
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 0.0,kB2: 1.0,dB2: 1.0,cB2: 0.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 0.0,kC2: 1.0,dC2: 1.0,cC2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001544,-8388608,-8388608,0.001125,202069,696507,0.001356,-8388608,-8388608,11:46:07.241883
0.003402,-8388608,-8388608,0.002986,202024,696303,0.003215,-8388608,-8388608,11:46:07.241933
0.005258,-8388608,-8388608,0.004848,201830,696197,0.005082,-8388608,-8388608,11:46:07.242095
0.007114,-8388608,-8388608,0.006709,201952,696116,0.006941,-8388608,-8388608,11:46:07.243080
0.008972,-8388608,-8388608,0.00857,201932,696150,0.0088,-8388608,-8388608,11:46:07.243111
0.010831,-8388608,-8388608,0.010431,201887,696142,0.010661,-8388608,-8388608,11:46:07.243133
0.012691,-8388608,-8388608,0.012318,201962,696431,0.012523,-8388608,-8388608,11:46:07.243153
0.014551,-8388608,-8388608,0.014181,201759,696297,0.014386,-8388608,-8388608,11:46:07.243174
0.016417,-8388608,-8388608,0.016072,201980,696193,0.016271,-8388608,-8388608,11:46:07.243195
0.018275,-8388608,-8388608,0.017933,201818,696175,0.018134,-8388608,-8388608,11:46:07.243215
0.020134,-8388608,-8388608,0.019795,201548,696201,0.020009,-8388608,-8388608,11:46:07.268176
0.021995,-8388608,-8388608,0.021663,201841,696238,0.021871,-8388608,-8388608,11:46:07.268206
0.023857,-8388608,-8388608,0.02353,202066,696369,0.023738,-8388608,-8388608,11:46:07.268227
0.025728,-8388608,-8388608,0.025413,201837,696314,0.025605,-8388608,-8388608,11:46:07.268245
0.027584,-8388608,-8388608,0.027294,201705,696230,0.027473,-8388608,-8388608,11:46:07.268261
0.029446,-8388608,-8388608,0.029155,201770,696031,0.029333,-8388608,-8388608,11:46:07.268278
0.031302,-8388608,-8388608,0.031016,201860,696349,0.031192,-8388608,-8388608,11:46:07.268778
0.033158,-8388608,-8388608,0.032877,202064,696014,0.033056,-8388608,-8388608,11:46:07.268802
0.035016,-8388608,-8388608,0.03474,201806,696113,0.034917,-8388608,-8388608,11:46:07.268820
0.036873,-8388608,-8388608,0.036601,201868,696421,0.036777,-8388608,-8388608,11:46:07.270077
0.038731,-8388608,-8388608,0.038462,201828,696091,0.038637,-8388608,-8388608,11:46:07.270107
0.040589,-8388608,-8388608,0.040325,201663,696149,0.040498,-8388608,-8388608,11:46:07.270127
0.042447,-8388608,-8388608,0.042186,201713,696180,0.042359,-8388608,-8388608,11:46:07.270145
0.044307,-8388608,-8388608,0.044053,201999,696053,0.044217,-8388608,-8388608,11:46:07.270162
0.046163,-8388608,-8388608,0.045914,202096,696287,0.046076,-8388608,-8388608,11:46:07.270180
0.048022,-8388608,-8388608,0.047784,201878,696153,0.047936,-8388608,-8388608,11:46:07.270559
0.04988,-8388608,-8388608,0.04965,202133,696151,0.049798,-8388608,-8388608,11:46:07.271007
0.051736,-8388608,-8388608,0.051511,201772,695965,0.051657,-8388608,-8388608,11:46:07.271037
0.053596,-8388608,-8388608,0.053404,201808,696354,0.053526,-8388608,-8388608,11:46:07.271056
0.055452,-8388608,-8388608,0.055267,202015,696056,0.055384,-8388608,-8388608,11:46:07.271075
0.05731,-8388608,-8388608,0.057128,201796,696084,0.057243,-8388608,-8388608,11:46:07.271093
0.05917,-8388608,-8388608,0.058989,201879,696353,0.059106,-8388608,-8388608,11:46:07.271111
0.061033,-8388608,-8388608,0.060852,202116,696267,0.060965,-8388608,-8388608,11:46:07.271522
0.062888,-8388608,-8388608,0.062717,201752,696294,0.062824,-8388608,-8388608,11:46:07.271551
0.064753,-8388608,-8388608,0.064581,201820,696183,0.064689,-8388608,-8388608,11:46:07.271942
0.066615,-8388608,-8388608,0.066443,202101,696068,0.066548,-8388608,-8388608,11:46:07.271970
0.068473,-8388608,-8388608,0.068305,202010,696193,0.068406,-8388608,-8388608,11:46:07.271989
0.070336,-8388608,-8388608,0.07018,201856,696125,0.070269,-8388608,-8388608,11:46:07.341267
0.072198,-8388608,-8388608,0.072045,201875,695999,0.072133,-8388608,-8388608,11:46:07.341298
0.074077,-8388608,-8388608,0.073919,202071,696058,0.074006,-8388608,-8388608,11:46:07.341317
0.075945,-8388608,-8388608,0.075802,201763,696151,0.075878,-8388608,-8388608,11:46:07.341337
