----------META DATA----------
SOFTWARE VERSION,2.3.0
DEVICE MAC ADDRESS,b8:27:eb:11:33:db
DEVICE OPERATOR,ALEX
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,02:47:00,Local Time
PLOT,2,#
TEST NUMBER,31,#
HEIGHT,74.8,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,S02
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (ADC*A + B = stored_value)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.029285919413946978,-1.6785281367782972,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,0.01173555874299126,-62.50358586517143,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
71.847,93.321,2.194,3.3587,0.0
103.948,93.368,2.482,3.4465,0.0
109.473,93.345,2.41,3.5344,0.0
114.576,93.392,2.338,3.4465,0.0
119.65999999999998,93.38,2.41,3.4758,0.0
124.83,93.368,2.194,3.5051,0.0
129.899,93.368,1.761,3.5344,0.0
134.986,93.427,2.41,3.6222,0.0
140.044,93.439,2.768,3.5637,0.0
145.114,93.427,2.696,3.5637,0.0
150.151,93.45,2.982,3.6515,0.0
155.337,93.45,2.696,3.6515,0.0
160.403,93.439,2.338,3.6222,0.0
165.452,93.497,2.553,3.6515,0.0
170.504,93.45,3.195,3.6808,0.0
175.65699999999998,93.427,2.553,3.6808,0.0
180.76199999999997,93.485,2.696,3.7101,0.0
185.861,93.462,2.41,3.7101,0.0
190.98299999999998,93.45,2.625,3.7101,0.0
196.076,93.474,2.266,3.7394,0.0
201.201,93.509,2.982,3.7979,0.0
206.30599999999998,93.45,2.553,3.7979,0.0
211.43399999999997,93.415,3.053,3.7979,0.0
216.51199999999997,93.591,2.911,3.8272,0.0
221.65099999999998,93.579,2.553,3.7979,0.0
226.75099999999998,93.568,2.194,3.8272,0.0
231.817,93.615,2.482,3.8565,0.0
236.85399999999998,93.591,2.338,3.8858,0.0
