Load (N),Position (mm),Strain_C1_avg,Strain_C2_avg
5.0,60.0,66443.70410646555,15155.01624608099
35.0,60.0,459521.76315679296,103897.50692903496
70.0,60.0,917560.9062104194,207093.52013039598
5.0,100.0,114727.50305226601,63438.98224724434
35.0,100.0,797320.1589292247,440472.241676491
70.0,100.0,1591161.6857694385,878862.1273402798
5.0,120.0,138796.31125346053,87456.54016206278
35.0,120.0,965893.6287179487,608770.3424032177
70.0,120.0,1926473.4921166485,1214407.205091938
5.0,154.0,179909.8493789799,128260.19670890865
35.0,154.0,1253979.0076548364,894395.4289369193
70.0,154.0,2502018.3796810424,1784808.112345009
