===BEGIN_METADATA===
Test Name: 2026-07-14_140517_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Amiga Probe Test @ 100 ft/min
Test Type: Not Calibration
Stalks: Medium B-IN no tops,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001565,+0695816,+0903280,0.001139,+0477487,+0715126,0.001376,+0249092,+0614833,14:05:20.018612
0.003422,+0695277,+0903278,0.003002,+0477436,+0715423,0.003235,+0249002,+0614806,14:05:20.018658
0.005283,+0695497,+0903427,0.004863,+0477241,+0715371,0.005100,+0248932,+0614993,14:05:20.018686
0.007140,+0695442,+0903242,0.006724,+0477262,+0715429,0.006959,+0248903,+0614897,14:05:20.019606
0.008998,+0695351,+0903580,0.008587,+0477394,+0715379,0.008818,+0248897,+0614932,14:05:20.019635
0.010856,+0695232,+0903492,0.010448,+0477304,+0715422,0.010683,+0249068,+0614859,14:05:20.039224
0.012717,+0695560,+0903444,0.012339,+0477454,+0715334,0.012546,+0248739,+0615001,14:05:20.039254
0.014577,+0695362,+0903660,0.014202,+0477372,+0715217,0.014409,+0249118,+0614890,14:05:20.039274
0.016445,+0695230,+0903681,0.016101,+0477290,+0715079,0.016290,+0248834,+0614573,14:05:20.039296
0.018304,+0695424,+0903390,0.017962,+0477245,+0715215,0.018149,+0248857,+0614886,14:05:20.039316
0.020160,+0695443,+0903369,0.019823,+0477327,+0715266,0.020016,+0248908,+0614907,14:05:20.039335
0.022022,+0695620,+0903531,0.021690,+0477084,+0715159,0.021877,+0249029,+0614607,14:05:20.039357
0.023881,+0695204,+0903602,0.023551,+0477291,+0715527,0.023735,+0248863,+0614689,14:05:20.039378
