===BEGIN_METADATA===
Test Name: 2026-07-17_105207_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Amiga Probe Test @ 50 ft/min WITH GASKETS
Test Type: Not Calibration
Stalks: Medium B-IN no tops,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001567,+0717233,+0916777,0.001159,+0385936,+0703742,0.001414,+0261784,+0626108,10:52:11.034602
0.003425,+0716892,+0916618,0.003020,+0385851,+0704100,0.003273,+0261535,+0626280,10:52:11.034645
0.005281,+0716985,+0916700,0.004888,+0385948,+0703882,0.005134,+0261598,+0626201,10:52:11.034671
0.007142,+0716753,+0916581,0.006750,+0385794,+0704101,0.006992,+0261670,+0626214,10:52:11.034693
0.008998,+0716931,+0916715,0.008611,+0385948,+0703982,0.008853,+0261832,+0626103,10:52:11.034713
0.010856,+0717060,+0916786,0.010480,+0385966,+0703789,0.010714,+0261815,+0626334,10:52:11.043934
0.012717,+0716844,+0916484,0.012359,+0385759,+0703871,0.012575,+0261742,+0626140,10:52:11.043962
0.014577,+0716910,+0916655,0.014223,+0385789,+0704028,0.014436,+0261663,+0626069,10:52:11.043980
0.016439,+0716902,+0916795,0.016126,+0385779,+0704274,0.016313,+0261554,+0626257,10:52:11.044000
0.018297,+0716714,+0916508,0.017991,+0384446,+0704397,0.018172,+0261749,+0626337,10:52:11.044459
0.020154,+0716901,+0916396,0.019852,+0385675,+0703817,0.020033,+0261739,+0626373,10:52:11.044483
0.022010,+0716736,+0916717,0.021713,+0385848,+0704158,0.021892,+0261693,+0626558,10:52:11.045135
0.023869,+0717025,+0916638,0.023574,+0385874,+0703912,0.023751,+0261765,+0626348,10:52:11.045276
0.025727,+0716827,+0916704,0.025437,+0385817,+0704292,0.025610,+0261619,+0626164,10:52:11.045297
0.027583,+0716815,+0916687,0.027298,+0385977,+0704087,0.027471,+0261662,+0626158,10:52:11.045320
0.029441,+0716749,+0916742,0.029159,+0384796,+0704063,0.029330,+0261844,+0626395,10:52:11.045763
0.031298,+0716977,+0916759,0.031020,+0385405,+0704289,0.031195,+0261766,+0625991,10:52:11.045790
0.033154,+0716849,+0916711,0.032883,+0386110,+0704391,0.033054,+0261684,+0626325,10:52:11.047859
0.035012,+0716902,+0916742,0.034746,+0384787,+0703789,0.034913,+0261718,+0626242,10:52:11.047884
