===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,4.274,4.918,,,7.238,7.909
1,4.628,5.312,,,7.238,7.909
2,4.935,5.620,5.342,6.029,7.515,8.213
3,5.254,5.933,5.342,6.029,7.856,8.527
4,5.537,6.215,5.342,6.029,8.188,9.127
5,5.875,6.551,5.687,6.328,8.888,9.609
6,6.215,6.870,5.952,6.675,8.888,9.609
7,6.442,7.104,5.952,6.675,9.233,9.932
8,6.907,7.604,6.624,7.284,9.554,10.225
9,7.237,7.912,6.945,7.644,9.812,10.478
10,7.564,8.222,7.249,7.931,10.151,10.861
11,7.852,8.503,7.526,8.164,10.465,11.191
12,8.200,8.841,7.957,8.665,10.782,11.509
13,8.533,9.168,8.306,8.961,11.094,11.783
14,8.835,9.515,8.588,9.288,,
15,9.137,9.791,8.912,9.586,,
