===BEGIN_METADATA===
Test Name: 2026-07-21_150101_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Trials,25 ft/min
Test Type: None
Stalks: Medium A-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001559,+0746742,+0880892,0.001139,+0449453,+0701449,0.001368,+0273374,+0627470,15:01:04.485320
0.003415,+0746629,+0880928,0.003002,+0449096,+0701481,0.003229,+0273345,+0627251,15:01:04.485320
0.005274,+0746467,+0880868,0.004865,+0449051,+0701502,0.005088,+0273337,+0627208,15:01:04.485320
0.007130,+0746495,+0880966,0.006730,+0449326,+0701449,0.006947,+0273043,+0627432,15:01:04.485320
0.008990,+0746402,+0880942,0.008591,+0449112,+0701248,0.008808,+0272798,+0627298,15:01:04.485320
0.010849,+0746319,+0880965,0.010456,+0449327,+0701244,0.010667,+0273041,+0627340,15:01:04.485320
0.012711,+0746700,+0881079,0.012342,+0449227,+0701185,0.012530,+0273209,+0627440,15:01:04.485320
0.014573,+0746544,+0881116,0.014207,+0449163,+0701303,0.014392,+0273276,+0627360,15:01:04.485320
0.016440,+0746521,+0880797,0.016112,+0449325,+0701518,0.016271,+0273192,+0627361,15:01:04.485320
0.018298,+0746403,+0881018,0.017979,+0448945,+0701262,0.018130,+0272871,+0627476,15:01:04.485320
0.020154,+0746395,+0880972,0.019842,+0449040,+0701292,0.019989,+0272873,+0627334,15:01:04.486322
0.022011,+0746570,+0880839,0.021703,+0449156,+0701452,0.021848,+0273043,+0627387,15:01:04.486322
0.023871,+0746511,+0880652,0.023570,+0448966,+0701429,0.023713,+0273192,+0627175,15:01:04.486322
0.025728,+0746570,+0880958,0.025431,+0449246,+0701490,0.025572,+0273288,+0627333,15:01:04.486322
0.027586,+0746310,+0880964,0.027300,+0448967,+0701462,0.027431,+0273172,+0627314,15:01:04.486322
0.029442,+0746515,+0880728,0.029161,+0449099,+0701281,0.029296,+0273305,+0627470,15:01:04.534406
0.031301,+0746533,+0880765,0.031046,+0449273,+0701172,0.031157,+0272940,+0627621,15:01:04.534406
0.033161,+0746476,+0880938,0.032911,+0449206,+0701385,0.033019,+0273309,+0627582,15:01:04.534406
0.035026,+0746585,+0881186,0.034778,+0449160,+0701457,0.034885,+0273391,+0627218,15:01:04.534406
0.036888,+0746617,+0880949,0.036680,+0448949,+0701331,0.036750,+0273044,+0627383,15:01:04.534406
0.038746,+0746620,+0880781,0.038552,+0448828,+0701405,0.038642,+0273145,+0627321,15:01:04.534406
0.040604,+0746438,+0881041,0.040440,+0449121,+0701461,0.040504,+0272943,+0627361,15:01:04.534406
0.042461,+0746530,+0880702,0.042301,+0449184,+0701601,0.042365,+0273171,+0627587,15:01:04.534406
0.044317,+0746437,+0880953,0.044162,+0449015,+0701430,0.044226,+0273126,+0627424,15:01:04.534406
0.046173,+0746571,+0880865,0.046024,+0449145,+0701516,0.046088,+0273138,+0627300,15:01:04.534406
0.048030,+0746470,+0880808,0.047886,+0449366,+0701570,0.047952,+0273194,+0627431,15:01:04.534406
0.049886,+0746393,+0880970,0.049747,+0449255,+0701425,0.049813,+0273037,+0627264,15:01:04.534406
0.051749,+0746555,+0880852,0.051616,+0449132,+0701263,0.051684,+0273186,+0627282,15:01:04.534406
0.053613,+0746428,+0880595,0.053477,+0449357,+0701169,0.053545,+0273104,+0627534,15:01:04.534406
0.055476,+0746627,+0880871,0.055348,+0449064,+0701438,0.055412,+0273117,+0627326,15:01:04.534406
