===BEGIN_METADATA===
Test Name: 2026-07-21_153844_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Trials,50 ft/min
Test Type: None
Stalks: Medium A-IN with tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001536,+0746283,+0873138,0.001108,+0456200,+0696588,0.001340,+0268792,+0620673,15:38:45.616314
0.003393,+0745904,+0873094,0.002971,+0455896,+0696807,0.003199,+0268729,+0620747,15:38:45.616314
0.005253,+0746177,+0873167,0.004838,+0455982,+0696734,0.005058,+0268725,+0620606,15:38:45.638236
0.007111,+0746248,+0873102,0.006699,+0455766,+0696493,0.006919,+0268864,+0620566,15:38:45.638236
0.008968,+0746192,+0873247,0.008568,+0455964,+0696550,0.008780,+0268681,+0620520,15:38:45.638236
0.010830,+0746003,+0873256,0.010430,+0455946,+0696623,0.010643,+0268817,+0620684,15:38:45.638236
0.012690,+0745942,+0873005,0.012323,+0456075,+0696515,0.012504,+0268650,+0620676,15:38:45.638236
0.014552,+0746105,+0873333,0.014188,+0456038,+0696604,0.014365,+0268564,+0620851,15:38:45.638236
0.016417,+0746371,+0873244,0.016091,+0455832,+0696539,0.016244,+0268789,+0620838,15:38:45.638236
0.018274,+0745901,+0873199,0.017951,+0455892,+0696614,0.018105,+0268799,+0620565,15:38:45.638236
0.020132,+0746240,+0873064,0.019813,+0455841,+0696619,0.019967,+0268772,+0620627,15:38:45.638236
0.021988,+0746166,+0873251,0.021676,+0455888,+0696609,0.021827,+0268493,+0620404,15:38:45.638236
0.023847,+0746312,+0873163,0.023539,+0455991,+0696546,0.023686,+0268694,+0620724,15:38:45.638236
0.025703,+0746199,+0872979,0.025400,+0455727,+0696689,0.025551,+0268707,+0620587,15:38:45.638236
0.027564,+0746190,+0873047,0.027261,+0455778,+0696446,0.027410,+0268798,+0620567,15:38:45.638236
0.029425,+0746044,+0873199,0.029126,+0455757,+0696851,0.029269,+0268741,+0620799,15:38:45.638236
0.031289,+0746287,+0872773,0.030987,+0455698,+0696814,0.031130,+0268585,+0620412,15:38:45.638236
0.033147,+0746259,+0873003,0.032853,+0455941,+0696718,0.032989,+0268903,+0620563,15:38:45.638236
0.035003,+0746017,+0872857,0.034714,+0455647,+0696504,0.034850,+0268709,+0620436,15:38:45.638236
0.036861,+0745860,+0873256,0.036575,+0455916,+0696588,0.036709,+0268982,+0620463,15:38:45.638236
0.038718,+0746080,+0873124,0.038436,+0455787,+0696607,0.038568,+0268959,+0620535,15:38:45.638236
0.040574,+0746201,+0873417,0.040297,+0455804,+0696630,0.040427,+0268649,+0620544,15:38:45.638236
0.042433,+0746324,+0873387,0.042160,+0456036,+0696427,0.042287,+0268762,+0620741,15:38:45.638236
0.044295,+0746287,+0873133,0.044021,+0455912,+0696508,0.044147,+0268883,+0620724,15:38:45.638236
0.046153,+0746068,+0873311,0.045888,+0455627,+0696654,0.046006,+0268677,+0620807,15:38:45.638236
0.048010,+0746164,+0873178,0.047749,+0455939,+0696977,0.047871,+0268892,+0620419,15:38:45.638236
0.049876,+0746097,+0873371,0.049613,+0455366,+0696516,0.049729,+0268285,+0620785,15:38:45.638236
0.051733,+0746246,+0873309,0.051477,+0455902,+0696712,0.051589,+0268704,+0620435,15:38:45.638236
0.053590,+0746042,+0872978,0.053338,+0456206,+0696527,0.053453,+0268852,+0620393,15:38:45.638236
0.055453,+0746445,+0873224,0.055206,+0455850,+0696729,0.055312,+0268976,+0620687,15:38:45.698436
0.057314,+0745903,+0873193,0.057077,+0456037,+0696747,0.057175,+0268722,+0620665,15:38:45.698436
0.059175,+0746074,+0873141,0.058941,+0455958,+0696571,0.059038,+0268750,+0620660,15:38:45.698436
0.061045,+0746069,+0873280,0.060829,+0455486,+0696933,0.060903,+0268556,+0620878,15:38:45.698436
0.062905,+0746237,+0873089,0.062714,+0456142,+0696879,0.062778,+0268672,+0620496,15:38:45.698436
0.064763,+0746305,+0873150,0.064576,+0455819,+0696623,0.064645,+0268932,+0620597,15:38:45.698436
0.066620,+0746046,+0873271,0.066442,+0456025,+0696720,0.066510,+0268692,+0620614,15:38:45.698436
0.068478,+0746337,+0873460,0.068303,+0455893,+0696839,0.068369,+0268897,+0620520,15:38:45.698436
