===BEGIN_METADATA===
Test Name: 2026-07-23_162712_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Trials for fitmet
Test Type: None
Stalks: None,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001611,+0649976,+0886811,0.001191,+0197298,+0698858,0.001425,+0297247,+0623244,16:27:13.845770
0.003469,+0649852,+0886979,0.003052,+0196960,+0698866,0.003284,+0296948,+0623083,16:27:13.845770
0.005326,+0650029,+0886868,0.004913,+0197252,+0698999,0.005149,+0297206,+0623312,16:27:13.845770
0.007182,+0649838,+0886920,0.006774,+0197213,+0698786,0.007008,+0297107,+0623179,16:27:13.845770
0.009040,+0650029,+0886900,0.008635,+0197190,+0699052,0.008867,+0297310,+0623331,16:27:13.887657
0.010899,+0649981,+0886750,0.010496,+0197146,+0698947,0.010728,+0297140,+0623038,16:27:13.887657
0.012759,+0649669,+0887174,0.012361,+0196975,+0698866,0.012591,+0297193,+0623064,16:27:13.887657
0.014619,+0649754,+0887102,0.014224,+0197141,+0698941,0.014454,+0297234,+0623188,16:27:13.887657
0.016494,+0649866,+0887046,0.016115,+0197088,+0698818,0.016327,+0297079,+0623134,16:27:13.887657
0.018352,+0649819,+0886908,0.017977,+0197166,+0698968,0.018186,+0297192,+0623365,16:27:13.887657
0.020211,+0650128,+0887189,0.019838,+0196922,+0698875,0.020047,+0297043,+0623238,16:27:13.887657
0.022070,+0649946,+0886893,0.021699,+0197002,+0698728,0.021906,+0297171,+0623066,16:27:13.887657
0.023927,+0649908,+0886768,0.023562,+0196855,+0699000,0.023765,+0297284,+0623358,16:27:13.887657
0.025793,+0649767,+0887196,0.025423,+0197052,+0699024,0.025624,+0297229,+0623258,16:27:13.887657
0.027649,+0649678,+0886892,0.027284,+0197120,+0698906,0.027483,+0297349,+0623206,16:27:13.887657
0.029508,+0649967,+0886975,0.029145,+0197284,+0699018,0.029344,+0297259,+0622982,16:27:13.887657
0.031370,+0649967,+0886893,0.031024,+0196960,+0698753,0.031208,+0297168,+0623273,16:27:13.887657
0.033230,+0649624,+0886977,0.032889,+0197082,+0698786,0.033070,+0297177,+0623236,16:27:13.887657
0.035100,+0650050,+0886846,0.034786,+0197211,+0698914,0.034938,+0297181,+0622995,16:27:13.888654
0.036957,+0650045,+0886909,0.036650,+0197103,+0698910,0.036801,+0297127,+0622984,16:27:13.888654
0.038813,+0649511,+0886877,0.038515,+0197105,+0698926,0.038666,+0297092,+0623407,16:27:13.888654
0.040671,+0649962,+0887032,0.040402,+0197035,+0698881,0.040533,+0296928,+0623140,16:27:13.888654
0.042531,+0649705,+0886983,0.042263,+0197219,+0698934,0.042392,+0297316,+0623220,16:27:13.888654
0.044390,+0649792,+0887077,0.044128,+0197088,+0698955,0.044251,+0297284,+0623263,16:27:13.888654
0.046246,+0649594,+0886813,0.045989,+0197179,+0699050,0.046116,+0297378,+0623218,16:27:13.888654
0.048112,+0649671,+0887036,0.047851,+0197110,+0699024,0.047975,+0297362,+0623119,16:27:13.888654
0.049969,+0650087,+0886840,0.049715,+0197145,+0698920,0.049835,+0297306,+0623015,16:27:13.888654
0.051825,+0649878,+0886792,0.051576,+0196866,+0698956,0.051699,+0297060,+0623208,16:27:13.888654
0.053683,+0650067,+0886968,0.053444,+0196979,+0698754,0.053558,+0297200,+0623350,16:27:13.888654
0.055540,+0650029,+0887119,0.055305,+0196951,+0698778,0.055419,+0297384,+0623098,16:27:13.888654
0.057398,+0649715,+0886850,0.057174,+0196927,+0698930,0.057278,+0296862,+0623207,16:27:13.888654
0.059254,+0649944,+0887081,0.059035,+0196941,+0699041,0.059137,+0296963,+0623310,16:27:13.888654
0.061111,+0650008,+0886908,0.060896,+0196960,+0699040,0.060998,+0297169,+0623109,16:27:13.888654
0.062969,+0650256,+0887014,0.062767,+0197198,+0698647,0.062859,+0297266,+0623081,16:27:13.888654
