===BEGIN_METADATA===
Test Name: 2026-07-24_103800_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8400
Note: Field Shakedown,video
Test Type: Field - Short Stalks,Manual Steer,50ft/s
Stalks: X-tra Early,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001597,+0440696,+0672945,0.001167,+0011525,+0421350,0.001398,+0137316,+0452635,10:38:02.820303
0.003455,+0439948,+0672732,0.003029,+0010420,+0421649,0.003258,+0136815,+0452836,10:38:02.821395
0.005312,+0440064,+0672887,0.004891,+0010427,+0421634,0.005117,+0136964,+0452690,10:38:02.821395
0.007170,+0439915,+0673098,0.006759,+0010707,+0421339,0.006977,+0136770,+0452695,10:38:02.821395
0.009027,+0440138,+0672793,0.008621,+0010613,+0421556,0.008837,+0137132,+0452992,10:38:02.821395
0.010887,+0439905,+0672899,0.010490,+0010497,+0421473,0.010697,+0136918,+0452748,10:38:02.858426
0.012750,+0439891,+0672806,0.012368,+0010844,+0421326,0.012560,+0136923,+0452616,10:38:02.858426
0.014612,+0440120,+0672628,0.014234,+0010564,+0421397,0.014426,+0137127,+0452858,10:38:02.858426
0.016484,+0440448,+0672865,0.016133,+0010483,+0421485,0.016312,+0137006,+0452783,10:38:02.858426
0.018343,+0439951,+0673084,0.017996,+0010524,+0421462,0.018172,+0137085,+0452642,10:38:02.858426
0.020206,+0440116,+0672757,0.019858,+0010620,+0421499,0.020031,+0136990,+0452769,10:38:02.858426
0.022070,+0440030,+0673031,0.021722,+0010582,+0421702,0.021891,+0137007,+0452853,10:38:02.858426
0.023927,+0440143,+0672829,0.023584,+0010509,+0421609,0.023751,+0136934,+0452727,10:38:02.858426
