----------META DATA----------
SOFTWARE VERSION,2.3.0,DEVICE MAC ADDRESS,b8:27:eb:b7:a5:0b
DEVICE OPERATOR,Alex
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,12:08:58,Local Time
PLOT,2,#
HEIGHT,84.0,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,s08
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.0066227479759960566,-0.09415581367181144,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,-0.011492785084918918,217.70208147107658,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
62.682,50.183,1.106,0.992,0.0
81.368,50.16,2.266,1.0052,0.0
86.79599999999999,50.137,1.978,1.0052,0.0
91.954,50.137,1.106,1.0118,0.0
97.04,50.114,1.688,1.0185,0.0
102.173,50.114,1.906,1.0317,0.0
107.332,50.08,2.625,1.0383,0.0
112.46499999999999,50.057,2.338,1.0383,0.0
117.514,50.045,2.768,1.0317,0.0
122.64599999999999,50.068,1.688,1.0383,0.0
127.751,50.034,2.482,1.045,0.0
132.896,50.057,2.482,1.0516,0.0
137.939,50.011,2.266,1.0582,0.0
143.064,50.011,2.338,1.0582,0.0
148.111,50.011,2.482,1.0714,0.0
153.184,49.953,2.266,1.0714,0.0
158.23999999999998,49.953,2.482,1.0781,0.0
163.373,49.953,1.906,1.0781,0.0
168.428,49.976,1.978,1.0781,0.0
173.51899999999998,49.953,2.768,1.0781,0.0
178.55599999999998,49.953,3.053,1.0847,0.0
183.584,49.919,2.625,1.0913,0.0
188.595,49.896,2.625,1.0781,0.0
193.652,49.907,2.839,1.0781,0.0
198.683,49.896,2.625,1.0913,0.0
203.735,49.907,2.911,1.0847,0.0
208.74499999999998,49.907,2.194,1.0913,0.0
213.766,49.896,2.553,1.0979,0.0
218.769,49.896,2.122,1.0979,0.0
223.77999999999997,49.884,2.05,1.0913,0.0
228.801,49.861,1.688,1.1112,0.0
233.832,49.873,2.122,1.1112,0.0
238.831,49.861,2.553,1.1112,0.0
243.98399999999998,49.838,2.911,1.1112,0.0
249.182,49.804,3.124,1.1244,0.0
254.243,49.804,2.839,1.1311,0.0
259.258,49.781,2.266,1.1443,0.0
264.35999999999996,49.781,2.982,1.1377,0.0
269.37699999999995,49.77,3.337,1.1575,0.0
274.38599999999997,49.747,3.053,1.1575,0.0
279.37999999999994,49.747,3.337,1.1575,0.0
284.408,49.747,3.053,1.1708,0.0
289.38399999999996,49.747,3.195,1.1774,0.0
294.388,49.712,3.124,1.1907,0.0
299.38899999999995,49.712,2.982,1.1973,0.0
304.399,49.689,2.122,1.2039,0.0
309.377,49.689,2.982,1.2105,0.0
314.405,49.678,2.911,1.2105,0.0
319.411,49.655,2.911,1.2238,0.0
324.407,49.632,3.124,1.2238,0.0
329.397,49.609,3.195,1.2304,0.0
334.477,49.586,3.479,1.2436,0.0
339.49399999999997,49.563,3.124,1.237,0.0
344.59799999999996,49.563,3.053,1.2503,0.0
349.60999999999996,49.563,3.408,1.2569,0.0
354.61199999999997,49.505,3.761,1.2569,0.0
359.579,49.517,3.408,1.2701,0.0
364.674,49.517,3.337,1.2768,0.0
369.67,49.494,3.337,1.2701,0.0
374.673,49.482,3.408,1.2768,0.0
379.667,49.517,3.266,1.2701,0.0
384.658,49.505,3.266,1.29,0.0
389.63599999999997,49.459,3.479,1.2834,0.0
394.623,49.448,3.266,1.2966,0.0
399.597,49.425,3.62,1.3032,0.0
404.62499999999994,49.402,3.549,1.2966,0.0
409.628,49.402,3.479,1.3032,0.0
414.64,49.425,3.408,1.3032,0.0
419.639,49.356,3.408,1.3099,0.0
424.666,49.356,2.839,1.3165,0.0
429.65899999999993,49.356,2.768,1.3297,0.0
434.667,49.356,3.266,1.3231,0.0
439.633,49.31,3.549,1.3364,0.0
444.635,49.287,3.408,1.3562,0.0
449.61999999999995,49.287,2.982,1.3562,0.0
454.62199999999996,49.264,3.408,1.3496,0.0
459.638,49.287,3.195,1.3628,0.0
464.645,49.241,3.053,1.3695,0.0
469.644,49.241,3.408,1.3761,0.0
474.636,49.218,2.839,1.3761,0.0
479.623,49.229,3.266,1.3893,0.0
484.616,49.195,3.266,1.396,0.0
489.59799999999996,49.16,2.768,1.4092,0.0
494.587,49.172,2.911,1.4092,0.0
499.56899999999996,49.172,3.479,1.4158,0.0
504.70099999999996,49.16,3.195,1.4225,0.0
509.71199999999993,49.137,3.479,1.4357,0.0
514.7189999999999,49.114,3.479,1.4357,0.0
519.701,49.114,3.337,1.4423,0.0
524.678,49.103,4.183,1.4423,0.0
529.669,49.103,4.042,1.4423,0.0
534.6759999999999,49.091,3.761,1.4489,0.0
539.671,49.091,3.761,1.4622,0.0
544.709,49.114,3.479,1.4754,0.0
549.727,49.08,3.408,1.4754,0.0
554.736,49.08,3.549,1.4821,0.0
559.716,49.057,3.69,1.4821,0.0
564.718,49.057,3.549,1.4821,0.0
569.703,49.034,3.831,1.4887,0.0
574.7019999999999,49.011,3.902,1.4953,0.0
579.715,48.988,4.042,1.5019,0.0
584.731,48.999,3.972,1.5085,0.0
589.7719999999999,48.999,3.69,1.5085,0.0
594.8979999999999,48.999,3.972,1.5152,0.0
599.8820000000001,48.999,3.479,1.5218,0.0
604.903,48.999,3.761,1.5152,0.0
609.9169999999999,48.977,3.69,1.5284,0.0
614.982,48.977,3.761,1.535,0.0
619.9979999999999,48.988,3.761,1.5218,0.0
625.0559999999999,48.954,3.549,1.5284,0.0
630.054,48.965,3.902,1.5417,0.0
635.083,48.942,3.761,1.5417,0.0
640.106,48.919,3.69,1.5483,0.0
645.126,48.931,3.62,1.5549,0.0
650.138,48.931,3.479,1.5549,0.0
655.164,48.908,3.972,1.5615,0.0
660.15,48.885,3.549,1.5615,0.0
665.138,48.896,3.62,1.5682,0.0
670.1709999999999,48.908,3.337,1.5748,0.0
675.211,48.885,3.124,1.5682,0.0
680.215,48.896,3.195,1.5814,0.0
685.237,48.908,3.266,1.588,0.0
690.283,48.896,2.982,1.588,0.0
695.3209999999999,48.885,3.337,1.6013,0.0
700.3499999999999,48.885,3.69,1.6013,0.0
705.4549999999999,48.885,3.761,1.6079,0.0
710.4889999999999,48.862,4.112,1.6079,0.0
715.537,48.85,3.972,1.6278,0.0
720.54,48.804,3.831,1.6344,0.0
725.555,48.816,3.761,1.6278,0.0
730.55,48.793,3.479,1.6344,0.0
735.5939999999999,48.781,3.479,1.641,0.0
740.6039999999999,48.781,3.62,1.6476,0.0
745.6419999999999,48.781,3.69,1.6542,0.0
750.683,48.747,3.62,1.6476,0.0
755.83,48.735,3.408,1.6609,0.0
760.865,48.712,3.831,1.6741,0.0
