----------META DATA----------
SOFTWARE VERSION,2.3.0,DEVICE MAC ADDRESS,b8:27:eb:b7:a5:0b
DEVICE OPERATOR,Josh
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,12:39:06,Local Time
PLOT,3,#
HEIGHT,84.0,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,s08
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.0066227479759960566,-0.09415581367181144,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,-0.011492785084918918,217.70208147107658,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
63.812999999999995,49.93,0.739,0.3165,0.0
84.68199999999999,49.896,-0.075,0.3429,0.0
92.21399999999998,49.953,-0.823,0.3496,0.0
99.573,49.85,-0.373,0.3562,0.0
106.25699999999999,49.85,-0.373,0.3761,0.0
111.315,49.838,-1.353,0.3761,0.0
116.31599999999999,49.804,-0.598,0.3827,0.0
121.35499999999999,49.804,-0.448,0.3893,0.0
126.51299999999999,49.815,-0.523,0.3959,0.0
131.56099999999998,49.758,-0.448,0.4026,0.0
136.662,49.781,-0.298,0.4092,0.0
141.711,49.747,0.074,0.4224,0.0
146.75,49.747,-0.075,0.429,0.0
151.76299999999998,49.701,0.074,0.4357,0.0
156.772,49.758,-0.075,0.4423,0.0
161.761,49.724,-0.0,0.4555,0.0
166.902,49.712,-0.224,0.4555,0.0
171.957,49.712,0.592,0.4622,0.0
177.106,49.701,0.074,0.4754,0.0
182.14999999999998,49.678,0.592,0.4886,0.0
187.212,49.62,-0.075,0.4953,0.0
192.24099999999999,49.643,-0.224,0.5019,0.0
197.33399999999997,49.586,0.518,0.5019,0.0
202.363,49.563,0.297,0.5218,0.0
207.446,49.54,0.371,0.5284,0.0
212.48499999999999,49.505,-0.149,0.535,0.0
217.607,49.471,-0.149,0.5483,0.0
222.62099999999998,49.436,-0.075,0.5615,0.0
227.67,49.574,-0.0,0.5615,0.0
232.678,49.425,0.148,0.5747,0.0
237.72,49.39,0.886,0.5814,0.0
242.74099999999999,49.482,1.252,0.588,0.0
247.78599999999997,49.333,1.252,0.588,0.0
252.82399999999998,49.298,0.886,0.5946,0.0
257.94899999999996,49.264,0.813,0.6012,0.0
262.935,49.241,1.761,0.6145,0.0
268.186,49.195,1.106,0.6277,0.0
273.938,49.16,1.106,0.6343,0.0
279.51899999999995,49.16,1.543,0.641,0.0
284.67199999999997,49.149,0.739,0.6608,0.0
289.686,49.149,0.886,0.6608,0.0
294.71999999999997,49.126,0.959,0.6675,0.0
299.729,49.08,0.959,0.6675,0.0
304.767,49.103,1.471,0.6807,0.0
309.782,49.08,1.252,0.6873,0.0
314.86199999999997,49.045,1.833,0.6873,0.0
319.87899999999996,48.999,1.761,0.7006,0.0
324.995,49.022,1.543,0.7072,0.0
330.005,48.999,2.194,0.7138,0.0
335.09099999999995,48.988,2.482,0.7138,0.0
340.075,48.977,1.833,0.7337,0.0
345.08299999999997,48.977,1.471,0.7337,0.0
350.06299999999993,48.999,1.978,0.7469,0.0
355.055,48.942,1.616,0.7536,0.0
360.022,48.954,1.398,0.7536,0.0
365.14,48.942,1.471,0.7602,0.0
370.143,48.908,1.761,0.7602,0.0
375.137,48.919,2.41,0.78,0.0
380.12199999999996,48.885,2.122,0.78,0.0
385.1,48.885,1.398,0.7867,0.0
390.085,48.908,1.833,0.7933,0.0
395.10599999999994,48.873,1.833,0.8065,0.0
400.082,48.827,1.906,0.8065,0.0
405.089,48.804,1.325,0.8264,0.0
410.076,48.827,1.325,0.8264,0.0
415.06499999999994,48.77,1.179,0.833,0.0
420.039,48.724,1.543,0.833,0.0
425.041,48.712,1.106,0.8397,0.0
430.02599999999995,48.712,1.252,0.8595,0.0
435.13199999999995,48.701,1.398,0.8728,0.0
440.138,48.666,1.106,0.8794,0.0
445.143,48.689,2.338,0.886,0.0
450.113,48.643,1.906,0.8926,0.0
455.10299999999995,48.643,2.122,0.8926,0.0
460.07899999999995,48.655,2.122,0.8993,0.0
465.073,48.609,2.553,0.9191,0.0
470.042,48.586,2.696,0.9257,0.0
475.03799999999995,48.586,2.338,0.9257,0.0
480.015,48.586,2.194,0.9456,0.0
485.099,48.563,2.553,0.9456,0.0
490.08299999999997,48.563,2.625,0.9522,0.0
495.085,48.54,3.337,0.9721,0.0
500.07,48.528,3.124,0.9655,0.0
505.055,48.505,2.696,0.9787,0.0
510.02599999999995,48.459,3.053,0.9854,0.0
515.127,48.448,3.408,0.9787,0.0
520.1089999999999,48.448,3.761,0.992,0.0
525.1329999999999,48.448,2.982,0.9986,0.0
530.1199999999999,48.425,3.124,1.0118,0.0
535.111,48.402,2.982,1.0185,0.0
540.0859999999999,48.402,3.053,1.0185,0.0
545.071,48.402,2.911,1.0185,0.0
550.059,48.379,2.982,1.0251,0.0
555.049,48.379,2.982,1.0317,0.0
560.02,48.367,3.124,1.0317,0.0
565.116,48.356,3.408,1.0317,0.0
570.105,48.356,3.972,1.0383,0.0
575.1129999999999,48.321,3.62,1.0516,0.0
580.086,48.321,3.195,1.0582,0.0
585.066,48.333,2.982,1.0516,0.0
590.034,48.333,2.768,1.0582,0.0
595.026,48.31,2.696,1.0648,0.0
600.0179999999999,48.264,3.195,1.0714,0.0
605.0400000000001,48.287,2.911,1.0714,0.0
610.0169999999999,48.287,2.982,1.0781,0.0
615.084,48.252,3.69,1.0847,0.0
620.093,48.229,3.62,1.0913,0.0
625.105,48.264,3.549,1.0979,0.0
630.0939999999999,48.195,2.982,1.0979,0.0
635.091,48.195,3.266,1.1046,0.0
640.058,48.161,3.62,1.1178,0.0
645.053,48.149,3.69,1.1244,0.0
650.0469999999999,48.149,3.053,1.1443,0.0
655.044,48.138,3.408,1.1244,0.0
660.0269999999999,48.103,3.479,1.1377,0.0
665.0859999999999,48.149,3.053,1.1443,0.0
670.129,48.115,3.053,1.1509,0.0
675.1610000000001,48.126,3.337,1.1708,0.0
680.209,48.126,3.337,1.1774,0.0
685.28,48.103,2.768,1.1774,0.0
690.307,48.103,2.911,1.184,0.0
695.3629999999999,48.08,3.124,1.1907,0.0
700.4129999999999,48.103,3.337,1.2039,0.0
705.439,48.092,2.696,1.2105,0.0
710.461,48.069,3.266,1.2171,0.0
715.602,48.069,3.408,1.2238,0.0
720.625,48.08,3.62,1.2304,0.0
725.7679999999999,48.092,3.408,1.237,0.0
730.824,48.057,3.337,1.2436,0.0
735.885,48.046,3.549,1.2503,0.0
740.927,48.046,3.761,1.2503,0.0
746.127,48.069,2.982,1.2635,0.0
751.1909999999999,48.023,3.479,1.2701,0.0
756.2289999999999,48.0,3.761,1.2701,0.0
761.247,48.0,3.408,1.2834,0.0
