----------META DATA----------
SOFTWARE VERSION,2.3.0,DEVICE MAC ADDRESS,b8:27:eb:cf:c2:71
DEVICE OPERATOR,josh
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,11:31:45,Local Time
PLOT,1,#
HEIGHT,84.0,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,s05
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.006649793301398306,-0.2712503166612166,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,-0.011226144443058505,186.5055507047524,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
64.69500000000001,36.659,4.323,1.3845,0.0
91.66,36.659,3.266,1.4045,0.0
99.58099999999999,36.401,4.323,1.4111,0.0
107.25399999999999,36.39,3.69,1.4111,0.0
114.913,36.367,3.549,1.4111,0.0
122.461,36.412,3.266,1.4244,0.0
130.094,36.39,3.124,1.4178,0.0
137.587,36.367,3.195,1.4178,0.0
145.096,36.356,3.972,1.4244,0.0
152.495,36.39,3.831,1.4311,0.0
159.87599999999998,36.3,3.549,1.4377,0.0
167.22199999999998,36.311,3.62,1.4377,0.0
174.514,36.322,3.62,1.451,0.0
181.78,36.266,4.602,1.451,0.0
189.00300000000001,36.322,4.672,1.4643,0.0
196.329,36.3,4.323,1.4643,0.0
203.57699999999997,36.244,4.811,1.471,0.0
210.87499999999997,36.176,4.112,1.4909,0.0
218.094,36.187,4.253,1.4909,0.0
225.427,36.109,4.042,1.4976,0.0
232.68999999999997,36.064,3.831,1.5109,0.0
239.88099999999997,36.086,3.831,1.5242,0.0
247.194,36.03,4.323,1.5308,0.0
254.5,36.03,4.042,1.5375,0.0
261.77099999999996,35.997,3.831,1.5308,0.0
269.10499999999996,35.963,4.323,1.5641,0.0
276.337,35.941,4.532,1.5774,0.0
283.553,35.873,4.672,1.5707,0.0
290.755,35.929,4.95,1.584,0.0
298.05199999999996,35.862,5.157,1.584,0.0
305.36199999999997,35.862,4.95,1.604,0.0
312.623,35.783,4.672,1.604,0.0
319.929,35.828,4.672,1.6173,0.0
327.146,35.738,4.462,1.6306,0.0
334.40500000000003,35.75,5.019,1.6372,0.0
341.68499999999995,35.75,5.157,1.6372,0.0
349.006,35.772,4.672,1.6505,0.0
356.317,35.761,5.296,1.6439,0.0
363.534,35.705,5.019,1.6505,0.0
370.71999999999997,35.716,5.365,1.6572,0.0
378.027,35.682,5.434,1.6638,0.0
385.335,35.671,4.741,1.6771,0.0
392.54999999999995,35.66,5.434,1.6838,0.0
399.85099999999994,35.682,5.296,1.6771,0.0
407.167,35.66,5.434,1.6838,0.0
414.429,35.615,5.778,1.6904,0.0
421.65999999999997,35.57,5.019,1.7037,0.0
429.044,35.514,5.088,1.7037,0.0
436.268,35.592,4.741,1.7037,0.0
443.428,35.626,4.95,1.717,0.0
450.60699999999997,35.559,4.602,1.7237,0.0
457.822,35.491,4.811,1.717,0.0
465.109,35.39,5.019,1.737,0.0
472.325,35.424,4.532,1.737,0.0
479.64599999999996,35.346,4.602,1.737,0.0
486.959,35.413,4.323,1.7503,0.0
494.241,35.39,4.462,1.7503,0.0
501.467,35.323,4.532,1.7636,0.0
508.668,35.334,4.811,1.7702,0.0
515.933,35.346,4.602,1.7835,0.0
523.136,35.244,5.157,1.7835,0.0
530.312,35.188,5.296,1.7968,0.0
537.472,35.267,5.846,1.8101,0.0
544.7489999999999,35.244,5.365,1.8101,0.0
552.045,35.188,5.157,1.8234,0.0
559.5120000000001,35.267,4.95,1.8234,0.0
567.037,35.289,4.95,1.8367,0.0
574.591,35.233,4.532,1.8567,0.0
582.034,35.177,4.393,1.8633,0.0
589.454,35.177,4.393,1.8766,0.0
596.862,35.099,4.462,1.87,0.0
604.395,35.155,4.323,1.8899,0.0
611.9259999999999,35.132,5.019,1.9032,0.0
619.571,35.076,5.64,1.9032,0.0
627.093,35.076,5.019,1.9099,0.0
634.9509999999999,35.267,5.503,1.9099,0.0
642.457,35.301,5.778,1.9298,0.0
649.9039999999999,35.211,5.846,1.9232,0.0
657.241,35.256,5.503,1.9431,0.0
664.5289999999999,35.177,5.157,1.9498,0.0
671.74,35.177,5.296,1.9498,0.0
679.0509999999999,35.177,5.296,1.9697,0.0
686.247,35.155,5.709,1.9764,0.0
693.4279999999999,35.155,5.709,1.9764,0.0
700.63,35.099,5.434,1.9897,0.0
707.955,35.076,5.434,1.9897,0.0
715.255,34.998,5.296,2.003,0.0
722.448,35.087,5.915,2.003,0.0
729.742,35.031,5.709,2.0096,0.0
737.0550000000001,35.009,5.709,2.0229,0.0
744.328,34.941,5.434,2.0229,0.0
751.5769999999999,34.975,5.296,2.0229,0.0
758.813,34.964,6.461,2.0296,0.0
766.03,34.784,5.915,2.0229,0.0
773.207,34.739,6.052,2.0362,0.0
780.5179999999999,34.728,6.461,2.0362,0.0
787.701,34.683,6.325,2.0495,0.0
794.981,34.739,6.393,2.0562,0.0
