Note: Testing data processing pipeline
Estimation Method: quasi-static average
Test Type: Lab Medium
===BEGIN_STIFFNESSES===
Stalk,Stiffness (N/m^2),Estimate 1,Estimate 2,Estimate 3,Estimate 4
1,17.69846556121351,15.62082810818219,18.738031564993985,19.20200614612113,17.232996425556728
2,17.58136017669536,16.61585549086518,19.67936814772663,19.284575486306277,14.74564158188335
3,16.604244329957538,15.32514807471956,17.709796503314116,15.431770184180733,17.95026255761574
4,17.50323861469071,16.19654366991202,17.887288283849674,17.157266847250863,18.771855657750272
5,15.210262786530425,15.61778697064921,17.04693027331412,17.230964693242928,10.94536920891544
6,17.338613742190248,16.946305011696726,18.266114201328154,19.74303715341308,14.398998602323033
7,18.374281423461063,17.724273274567693,18.271176214303413,18.57942260544969,18.92225359952345
8,17.928420427965882,17.457188375597397,17.85707385780584,19.048838838688813,17.350580639771486
9,16.35254156475617,16.93516757312166,17.650324658556716,17.60246016798711,13.222213859359194
10,17.610321027121064,16.98313913992326,17.895773187043744,21.032275108109875,14.530096673407366
11,18.239545437953367,17.433833172729226,19.3524776904307,16.83344109632155,19.338429792331993
12,17.610104607928328,16.428258961144554,18.655461414773292,18.438158487269952,16.918539568525517
13,14.969054088073573,16.09247144867529,17.788532454348438,15.703774049106398,10.291438400164168
14,22.399916290187583,16.00894302551181,18.393818103484477,17.641038113373412,37.55586591838064
15,18.659717801100328,17.40573961862705,19.774227189006456,19.781782014906245,17.677122381861565
16,17.07989051529564,16.861566871210332,19.424355897171584,17.190276905556733,14.843362387243912
