Note: First full trials
Estimation Method: quasi-static average
Test Type: Lab Medium. Halves
===BEGIN_STIFFNESSES===
Stalk,Stiffness (N/m^2),Estimate 1,Estimate 2,Estimate 3,Estimate 4
1,22.006991955548624,17.640384883531944,22.047621605404654,26.332969377709276,nan
2,79.29917402294008,18.111005814739787,22.273421057473882,156.09171626215107,120.72055295739555
3,19.931941497082747,17.64163736041971,20.12598437377078,20.242175336274137,21.717968917866365
4,84.3096244763315,18.499518506911887,20.28809822740667,248.8723429455596,49.578538225447836
5,22.608291231912197,21.01569080502424,22.410634375678043,32.336362795551615,14.670476951394907
6,25.064342023629358,20.579943462447915,21.916126686339684,40.69753440874832,17.063763536981533
7,22.900136207475747,20.96950769288974,21.36520557033746,33.69235029833335,15.573481268342437
8,25.12602997127856,21.58457367091851,22.056859539448567,34.3438950215849,22.51879165316227
9,16.675261988647,18.828087880817307,20.995526784099493,10.202171301024201,nan
10,44.97727587356797,19.718748767044715,21.88317208577847,115.73498016132397,22.572202480124723
11,24.419618940464403,20.02114915345347,21.788480548232968,32.58021620042989,23.2886298597413
12,29.642820728676174,19.184012003848885,20.96651441142707,27.60915381617509,50.81160268325365
13,32.49328405955787,20.30972121867179,22.690433548364798,71.02694735101967,15.946034120175238
14,25.692954516474906,20.944084105247168,23.312504404079792,34.62981108414975,23.885418472422916
15,25.374642529992656,20.787579243732996,23.56232485412028,34.64581926174762,22.502846760369728
16,22.924510487017177,19.60731010895863,23.170492675180004,31.08932788045529,17.83091128347479
