Note: Validation w/DARLING. 25ft/min
Estimation Method: quasi-static average
Test Type: Medium Lab w/o tops
===BEGIN_STIFFNESSES===
Stalk,Stiffness (N/m^2),Estimate 1,Estimate 2,Estimate 3,Estimate 4
1,19.56630009898572,17.01442662084001,21.160508063637717,nan,20.523965612479437
2,25.51169148710572,26.615762212661725,31.134073926852807,nan,18.785238321802627
3,17.95049938544727,15.868493285970503,19.546672274071756,nan,18.436332596299543
4,18.981545902379604,17.216328329754106,20.586599474982368,nan,19.141709902402336
5,20.970227147626066,18.802187125527457,22.319656170376046,nan,21.78883814697469
6,22.53106383798254,19.134977375685168,21.863932976021918,nan,26.59428116224053
7,19.782292816738682,19.137668607727022,20.906948403391524,nan,19.3022614390975
8,20.415845033069328,19.039922525587002,21.050854279170764,nan,21.15675829445022
9,19.752689302582013,17.82783286242632,21.081136333984624,nan,20.349098711335092
10,19.013261753297964,17.634636535397544,20.793448744539763,nan,18.61169997995659
11,19.833106118075122,18.05127051995692,21.513831562977714,nan,19.93421627129074
12,19.54589878912653,17.702778381002915,21.106978685017395,nan,19.827939301359272
13,20.87014148231649,18.700158305696892,22.172260431563878,nan,21.7380057096887
14,21.232147045935307,19.050353524909063,23.13214422915015,nan,21.513943383746707
15,20.882874357785244,18.52127015405381,22.068968453656076,nan,22.058384465645855
16,21.40783174827402,17.89051899878086,21.89973615509118,nan,24.433240090950022
