DARLING Data collected by Alex on 16 medium stiffness artificial PVC stalks
A-side, deflected inwards
To be used for comparison with Hi-STIFFS measurements of the same stalks

Stalk,Test_01,Test_02,Test_03,Test_04,Test_05,Test_06,Test_07,Test_08,Test_09,Test_10,Test_11,Test_12
S01,18.87912111924833,18.31999923423678,18.25540072018399,17.766059851192164,18.181633087259772,17.975492052459575,18.05069479913197,17.92347012653937,17.79815998734197,17.36181024188357,,
S02,19.80455301714826,18.43353567778073,18.071005572328996,18.195026684946907,17.844254980260434,17.82368571164267,18.11858657998972,17.831556004862097,19.80250291265286,17.884797544955482,17.596176852612512,
S03,17.362326744130943,17.80738165933848,17.280984262789943,17.833036299684938,17.555788330142764,17.854112727378084,17.47989109984829,17.443552434818972,17.359663399848607,17.512899714930548,,
S04,18.671088838277708,18.515685597784806,18.607697949374334,18.047847183575424,19.043320839109477,18.67494293574565,18.645019206280303,18.774869539950853,18.77448773560886,18.834643337670432,18.881858031025153,
S05,20.244724661513708,20.24862758748804,19.55860801723715,20.04302211812349,19.472751563010505,19.835855560770046,20.693945545626605,20.137641600717775,20.055682440144977,19.8987875381365,20.63925003466845,
S06,19.93255259831475,20.49191093603164,19.724259860515573,19.829527284609103,19.636183157788924,19.782403450066585,20.02123192896074,19.60031370090665,19.31641523571795,19.439823413762557,,
S07,18.819988056325045,18.498869924139854,18.658205219625298,18.419960351494492,18.283461880029016,18.4799223085663,17.91679626171965,17.89827088953438,18.46052094159727,18.4706905722725,18.27543977804557,
S08,21.3384069629887,20.039859142765895,19.46364945858846,20.853572691313953,20.743854542552274,19.943798410269487,21.168970075349222,21.688195307874768,20.817806929560255,20.359333374565292,,
S09,17.75514839438404,18.441272412424514,19.379050341458335,18.63697920138548,19.702476261782397,18.75736921346137,19.231300724480956,19.048675605301053,18.539368524664596,19.294715880730685,19.237336555398553,
S10,18.083357209871703,18.11685855555037,17.76762134696724,17.86047791314932,18.328794677223616,18.46714299488942,18.140132037724744,18.210294392475408,18.17567705864475,17.978017146458416,17.99328716702895,
S11,20.03401261580436,20.092618901717323,19.73840997516672,19.802380636913036,19.685092939364306,19.60235279750556,19.470071776920754,19.423036067429308,19.102590546561512,19.738563751728275,19.53468882940522,19.81824482189511
S12,19.157462074499087,19.09573667245687,19.599348660847948,19.480514220699096,19.975872614876174,19.448143566803115,19.557826139268983,19.88904481332786,19.371143252237896,19.650931926949703,19.126441329157963,
S13,19.397814955282843,20.118125615988593,20.015224510344883,19.583377743901206,19.692394453591856,20.23288602863453,19.87744774041707,20.06769964039543,19.792649612406446,19.5305042921289,,
S14,20.305849163163792,20.243715310893666,19.7087584028103,19.774911118446617,19.60658328283009,19.85719921205406,20.192973561840574,20.01728704033825,19.852906780728315,19.67256517200725,19.55393002448776,
S15,19.228335053270055,19.463167271103597,20.308383922530755,19.80957587254399,19.69361781413497,19.1810891554735,19.473123197508492,19.541039033669904,20.141511434018806,19.184447936810155,19.4284533539573,
S16,18.850804212400682,19.53662692666745,19.4914329393722,19.337174369995527,19.008972533129768,18.646130162605996,18.477993062246366,18.01742921703783,18.642925076974723,18.902304956692607,18.823089458925768,
